,year,AFG,AGO,ALB,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGR,BHR,BIH,BLR,BLZ,BRA,BRB,BRN,BTN,BWA,BGD,BOL,MMR,CAN,CHE,CHL,CHN,CMR,COL,CPV,CUB,CYP,CAF,COM,CRI,CZE,CIV,DEU,DJI,DMA,DNK,DZA,COD,DOM,ECU,EGY,ERI,ESP,EST,ETH,SLV,FIN,FJI,FRA,GAB,GEO,GHA,GIN,GNB,GNQ,GRC,GUY,GTM,HKG,HRV,HTI,HND,HUN,IDN,IND,IRL,IRQ,ISL,ISR,ITA,IRN,JOR,JPN,JAM,KAZ,KEN,KHM,KIR,KWT,XKX,KGZ,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,Laos,MAR,MDG,MDV,MEX,MLI,MLT,MNE,MNG,MRT,MUS,MWI,MAC,MKD,MYS,FSM,MDA,MOZ,NAM,NGA,NOR,NPL,NZL,NLD,NIC,NER,PRK,OMN,PER,PNG,POL,PRT,PAK,PAN,PRY,PHL,QAT,ROU,RWA,COG,RUS,SAU,SEN,SGP,SLB,SLE,SOM,SUR,SVK,SVN,SWE,SWZ,SYC,Serbia ,KOR,SDN,SYR,STP,TCD,TGO,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,THA,BHS,GMB,UGA,UKR,UZB,ARE,GBR,USA,URY,VCT,VUT,VEN,VNM,WSM,YEM,ZAF,ZMB,ZWE
14,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2017,97.3,70.7,51.5,56.4,82.9,84.6,79.7,97.4,69.6,66.3,71.3,88.4,86.4,12.0,89.3,92.8,60.5,22.8,0.0,100.0,61.7,99.4,78.7,81.4,89.9,80.3,95.8,96.1,92.5,60.9,89.8,1.2,81.2,72.9,84.1,98.6,42.4,92.0,87.0,89.9,13.8,72.6,95.4,19.8,99.3,90.1,56.4,4.6,0.0,26.9,99.8,86.5,74.7,77.3,84.1,57.0,96.1,93.5,9.2,34.2,75.3,46.4,58.1,80.9,93.5,100.0,44.7,51.8,64.1,79.3,90.1,11.0,60.3,11.3,90.6,71.8,66.9,94.9,55.5,9.5,79.9,98.9,14.4,95.7,99.5,99.8,88.9,78.9,0.0,36.2,11.4,53.8,,31.2,92.2,93.6,99.0,95.0,61.2,55.0,79.8,9.4,66.8,87.8,85.1,44.3,0.0,77.1,74.9,33.5,100.0,72.6,76.5,98.6,90.6,22.7,66.4,87.2,98.4,98.4,97.8,83.0,96.1,38.5,0.0,36.3,98.4,16.7,76.1,32.1,30.8,84.9,95.1,97.2,97.4,90.9,83.3,11.6,93.4,65.7,51.8,80.7,99.8,76.2,0.0,16.2,82.9,6.1,93.4,93.2,90.7,46.9,97.4,85.5,0.0,67.1,74.6,45.1,95.8,98.9,20.0,79.6,51.8,53.4,95.7,83.7,76.6,96.3,42.3,3.2,78.1,67.9,99.8,99.2,40.4,53.3,77.2,66.7,99.1,15.2,21.1,66.6,10.6,70.0,21.6,90.6
23,2018,98.3,54.8,67.5,52.6,67.2,84.3,81.1,95.5,54.8,67.9,49.7,80.4,94.3,6.5,94.4,75.4,50.0,7.7,0.0,20.0,80.0,98.2,78.9,46.8,89.2,81.2,95.9,91.7,85.9,72.0,82.2,40.2,64.4,79.3,96.4,96.6,46.8,96.2,80.8,90.8,18.0,85.2,96.7,19.2,99.1,90.5,47.0,1.2,0.0,36.1,99.8,85.5,78.5,81.1,63.0,60.8,92.3,91.8,9.5,61.0,87.1,19.1,70.5,73.8,95.3,100.0,67.2,83.6,87.4,82.4,89.4,13.2,80.8,11.9,94.3,79.0,68.2,91.7,27.7,49.3,79.5,87.3,14.1,92.1,98.5,99.3,92.8,89.2,0.0,39.1,19.9,67.7,,24.9,90.5,96.7,99.0,95.3,60.2,60.6,82.5,6.7,69.8,84.8,90.0,69.1,3.8,71.8,73.7,28.1,100.0,78.1,80.7,98.7,90.0,0.0,16.5,80.9,97.8,98.5,98.3,88.2,94.8,15.8,0.0,17.7,94.7,51.9,81.5,46.0,54.0,86.1,97.1,97.7,95.4,91.1,82.3,6.2,87.7,19.7,58.4,80.0,99.8,65.9,,11.7,84.9,66.3,96.1,39.7,90.6,67.0,97.0,87.2,13.8,45.8,81.9,7.5,90.4,98.6,20.0,95.9,12.6,61.6,93.6,90.8,79.0,96.4,59.0,0.0,80.7,75.9,99.7,99.0,53.5,54.8,71.1,83.4,98.0,18.4,27.3,78.1,5.4,74.6,14.4,59.1
24,2019,99.3,58.2,80.6,33.0,53.0,86.2,85.5,89.4,23.3,73.4,27.9,61.8,98.8,3.7,96.6,85.4,39.1,5.9,79.5,20.0,77.6,94.6,77.6,17.6,78.3,83.1,96.3,89.0,76.0,58.4,79.2,59.7,15.6,80.3,94.3,91.7,42.5,97.6,74.3,91.8,18.1,84.7,96.7,18.7,96.9,89.9,32.1,0.0,0.0,51.1,99.8,83.3,81.9,86.4,82.4,64.9,82.1,93.9,23.9,87.2,81.4,16.4,79.0,77.6,96.2,100.0,85.4,95.9,95.9,85.0,88.1,14.7,89.0,13.3,96.7,85.3,71.3,89.5,60.6,55.7,80.0,41.0,13.8,89.1,98.6,99.1,96.0,78.4,0.0,69.1,20.0,81.3,,30.4,63.5,97.3,98.9,96.9,66.5,66.9,85.5,10.7,83.2,84.2,94.5,23.2,6.2,80.6,73.6,19.1,100.0,82.9,82.4,98.8,92.0,16.6,15.7,68.2,97.3,98.5,98.6,93.3,93.9,22.2,0.0,16.1,88.5,75.2,86.4,69.8,49.2,91.3,96.3,97.1,94.0,89.3,86.3,0.0,86.6,19.4,60.0,80.0,89.4,13.2,,9.6,87.2,82.6,96.6,18.3,92.0,90.1,96.8,76.1,,62.3,85.2,24.5,60.3,92.3,20.0,93.4,16.6,37.9,92.2,91.6,85.2,96.5,65.7,0.0,68.6,82.6,98.7,88.9,68.6,53.1,69.9,85.0,15.3,17.6,40.7,93.6,0.0,62.6,12.3,23.7
