Country Name,Country Code,Year,Value
East Asia & Pacific,EAS,2008,14134059989615.9
East Asia & Pacific,EAS,2009,14564521831208.3
East Asia & Pacific,EAS,2010,16938756587419.1
East Asia & Pacific,EAS,2011,19638672525945
East Asia & Pacific,EAS,2012,21019132105911.6
East Asia & Pacific,EAS,2013,21262544412410.1
East Asia & Pacific,EAS,2014,21900031790821.4
East Asia & Pacific,EAS,2015,21766948388560.2
East Asia & Pacific,EAS,2016,22480427869996.2
European Union,EUU,1960,358941480685.342
European Union,EUU,1961,390791519256.294
European Union,EUU,1962,426910351684.9
European Union,EUU,1963,470299472386.586
European Union,EUU,1964,521200319101.867
European Union,EUU,1965,567593387090.375
European Union,EUU,1966,615287019323.785
European Union,EUU,1967,661170320899.702
European Union,EUU,1968,687217213519.1
European Union,EUU,1969,754800249691.045
European Union,EUU,1970,855292146036.516
European Union,EUU,1971,967486236381.365
European Union,EUU,1972,1158401562188.61
European Union,EUU,1973,1470832859740.72
European Union,EUU,1974,1653028067253.59
European Union,EUU,1975,1927117026841.85
European Union,EUU,1976,1995883364685.02
European Union,EUU,1977,2260221868415.27
European Union,EUU,1978,2769905163479.49
European Union,EUU,1979,3382851307190.78
European Union,EUU,1980,3861239352728.53
European Union,EUU,1981,3416534450611.25
European Union,EUU,1982,3288164387534.7
European Union,EUU,1983,3187220429927.19
European Union,EUU,1984,3060219815449.45
European Union,EUU,1985,3162767439491.53
European Union,EUU,1986,4337015473173.89
European Union,EUU,1987,5366348328002.87
European Union,EUU,1988,5985919929295.46
European Union,EUU,1989,6111982965832.69
European Union,EUU,1990,7579123917337.64
European Union,EUU,1991,7865713057341.23
European Union,EUU,1992,8571123408971.34
European Union,EUU,1993,7815484531819.77
European Union,EUU,1994,8299163343409.4
European Union,EUU,1995,9626424133285.32
European Union,EUU,1996,9841349845359.83
European Union,EUU,1997,9289515973951.65
European Union,EUU,1998,9605566115360.42
European Union,EUU,1999,9590851414393.62
European Union,EUU,2000,8912444181839.19
European Union,EUU,2001,9009859801008.85
European Union,EUU,2002,9822705393482.28
European Union,EUU,2003,11957243598418.9
European Union,EUU,2004,13806710766586
European Union,EUU,2005,14441217356828.2
European Union,EUU,2006,15405419702532.5
European Union,EUU,2007,17795826802969.5
European Union,EUU,2008,19136672544394.8
European Union,EUU,2009,17101456870607.7
European Union,EUU,2010,16992731157166.1
European Union,EUU,2011,18352575953426.8
European Union,EUU,2012,17290201940776.9
European Union,EUU,2013,18026881017254.8
European Union,EUU,2014,18632423873526.3
European Union,EUU,2015,16410700117941.6
European Union,EUU,2016,16487344364513.9
Latin America & Caribbean,LCN,1960,81231814846.363
Latin America & Caribbean,LCN,1961,86287335349.4088
Latin America & Caribbean,LCN,1962,99366717908.2988
Latin America & Caribbean,LCN,1963,99955845906.0715
Latin America & Caribbean,LCN,1964,111011134837.996
Latin America & Caribbean,LCN,1965,119371791469.707
Latin America & Caribbean,LCN,1966,131018820033.415
Latin America & Caribbean,LCN,1967,134187210192.191
Latin America & Caribbean,LCN,1968,144510148767.745
Latin America & Caribbean,LCN,1969,161958447586.971
Latin America & Caribbean,LCN,1970,176071905100.07
Latin America & Caribbean,LCN,1971,196968821795.516
Latin America & Caribbean,LCN,1972,221446080247.827
Latin America & Caribbean,LCN,1973,289954046146.875
Latin America & Caribbean,LCN,1974,376428081259.377
Latin America & Caribbean,LCN,1975,394878139738.537
Latin America & Caribbean,LCN,1976,439009649467.299
Latin America & Caribbean,LCN,1977,483105144772.74
Latin America & Caribbean,LCN,1978,548082288899.465
Latin America & Caribbean,LCN,1979,653361957732.235
Latin America & Caribbean,LCN,1980,774610663634.314
Latin America & Caribbean,LCN,1981,892197077887.729
Latin America & Caribbean,LCN,1982,834249556962.449
Latin America & Caribbean,LCN,1983,740171057904.183
Latin America & Caribbean,LCN,1984,729654325488.334
Latin America & Caribbean,LCN,1985,751412828440.244
Latin America & Caribbean,LCN,1986,764534086642.951
Latin America & Caribbean,LCN,1987,803851944552.642
Latin America & Caribbean,LCN,1988,919123365001.321
Latin America & Caribbean,LCN,1989,1006401717319.53
Latin America & Caribbean,LCN,1990,1170503151627.96
Latin America & Caribbean,LCN,1991,1440164640565.46
Latin America & Caribbean,LCN,1992,1358402572233.26
Latin America & Caribbean,LCN,1993,1564941586767.48
Latin America & Caribbean,LCN,1994,1797150604612.08
Latin America & Caribbean,LCN,1995,1916099952742.19
Latin America & Caribbean,LCN,1996,2060739358051.35
Latin America & Caribbean,LCN,1997,2255377958184.28
Latin America & Caribbean,LCN,1998,2271734570154.72
Latin America & Caribbean,LCN,1999,2050793815133.05
Latin America & Caribbean,LCN,2000,2262091810679.88
Latin America & Caribbean,LCN,2001,2204817296105.27
Latin America & Caribbean,LCN,2002,1976797807992.51
Latin America & Caribbean,LCN,2003,2035302568313.9
Latin America & Caribbean,LCN,2004,2350657774176.39
Latin America & Caribbean,LCN,2005,2845509423691.62
Latin America & Caribbean,LCN,2006,3337244559997.56
Latin America & Caribbean,LCN,2007,3936347648225.09
Latin America & Caribbean,LCN,2008,4576034696193.34
Latin America & Caribbean,LCN,2009,4302163169714.6
Latin America & Caribbean,LCN,2010,5334533033072.82
Latin America & Caribbean,LCN,2011,6064277798886.03
Latin America & Caribbean,LCN,2012,6121206635064.58
Latin America & Caribbean,LCN,2013,6272989482508.83
Latin America & Caribbean,LCN,2014,6391549877362.08
Latin America & Caribbean,LCN,2015,5459206256454.35
Latin America & Caribbean,LCN,2016,5299865625774.02
Middle East & North Africa,MEA,1968,32598497785.5043
Middle East & North Africa,MEA,1969,36384816241.1937
Middle East & North Africa,MEA,1970,41243011986.7202
Middle East & North Africa,MEA,1971,47614954968.8215
Middle East & North Africa,MEA,1972,58137916907.7533
Middle East & North Africa,MEA,1973,78314872620.6397
Middle East & North Africa,MEA,1974,142659976452.862
Middle East & North Africa,MEA,1975,155791345570.2
Middle East & North Africa,MEA,1976,193704316864.941
Middle East & North Africa,MEA,1977,224691986322.579
Middle East & North Africa,MEA,1978,238550083389.823
Middle East & North Africa,MEA,1979,311753032318.839
Middle East & North Africa,MEA,1980,402410542622.525
Middle East & North Africa,MEA,1981,415941395552.503
Middle East & North Africa,MEA,1982,414275165387.925
Middle East & North Africa,MEA,1983,420830232870.135
Middle East & North Africa,MEA,1984,426458764085.173
Middle East & North Africa,MEA,1985,432783155355.763
Middle East & North Africa,MEA,1986,442829428060.743
Middle East & North Africa,MEA,1987,411135918932.23
Middle East & North Africa,MEA,1988,408590542564.906
Middle East & North Africa,MEA,1989,420719668267.302
Middle East & North Africa,MEA,1990,550957452061.798
Middle East & North Africa,MEA,1991,553975106196.129
Middle East & North Africa,MEA,1992,603445097423.173
Middle East & North Africa,MEA,1993,607554327421.48
Middle East & North Africa,MEA,1994,633819758524.703
Middle East & North Africa,MEA,1995,708751921751.876
Middle East & North Africa,MEA,1996,802386209546.278
Middle East & North Africa,MEA,1997,832734025493.755
Middle East & North Africa,MEA,1998,809445659306.921
Middle East & North Africa,MEA,1999,866936558879.285
Middle East & North Africa,MEA,2000,967021642510.449
Middle East & North Africa,MEA,2001,970615931120.003
Middle East & North Africa,MEA,2002,966820093048.206
Middle East & North Africa,MEA,2003,1089098416129.6
Middle East & North Africa,MEA,2004,1271214902549.4
Middle East & North Africa,MEA,2005,1530143773484.47
Middle East & North Africa,MEA,2006,1790939429141.46
Middle East & North Africa,MEA,2007,2123322295847.04
Middle East & North Africa,MEA,2008,2647704729411.95
Middle East & North Africa,MEA,2009,2368231329944.26
Middle East & North Africa,MEA,2010,2767962267741.37
Middle East & North Africa,MEA,2011,3282392899960.52
Middle East & North Africa,MEA,2012,3529758430134.79
Middle East & North Africa,MEA,2013,3524023587337.77
Middle East & North Africa,MEA,2014,3563559183199.12
Middle East & North Africa,MEA,2015,3147279271333.8
Middle East & North Africa,MEA,2016,3144797691272.85
North America,NAC,1960,584477920198.99
North America,NAC,1961,604157219440.397
North America,NAC,1962,647173002027.413
North America,NAC,1963,683353535761.531
North America,NAC,1964,734790505460.858
North America,NAC,1965,797723909391.131
North America,NAC,1966,875492805408.936
North America,NAC,1967,926623934246.798
North America,NAC,1968,1013409031841.72
North America,NAC,1969,1097952410241.71
North America,NAC,1970,1163966395224.42
North America,NAC,1971,1267253061477.52
North America,NAC,1972,1395767220992.02
North America,NAC,1973,1560140359214.08
North America,NAC,1974,1709546297648.26
North America,NAC,1975,1863102029787.65
North America,NAC,1976,2084548864401.62
North America,NAC,1977,2298010156934.65
North America,NAC,1978,2575679667449.81
North America,NAC,1979,2875732302185.42
North America,NAC,1980,3136972126345.01
North America,NAC,1981,3517909963656.99
North America,NAC,1982,3659283025119.14
North America,NAC,1983,3979574111781.89
North America,NAC,1984,4397051258071.62
North America,NAC,1985,4712529999482.75
North America,NAC,1986,4968766427343.98
North America,NAC,1987,5302830242049.45
North America,NAC,1988,5761398451214.26
North America,NAC,1989,6224250243275.25
North America,NAC,1990,6575110950908.47
North America,NAC,1991,6786006083611.19
North America,NAC,1992,7133366589284.92
North America,NAC,1993,7457709121892.44
North America,NAC,1994,7888761439501.61
North America,NAC,1995,8270122373385.4
North America,NAC,1996,8731442777972.13
North America,NAC,1997,9264273191726.28
North America,NAC,1998,9724112027406.81
North America,NAC,1999,10340031087640.9
North America,NAC,2000,11030552667252.6
North America,NAC,2001,11361884260892.6
North America,NAC,2002,11739401906646.5
North America,NAC,2003,12407237511367.9
North America,NAC,2004,13302608706074.6
North America,NAC,2005,14267952115864.7
North America,NAC,2006,15176717496461.2
North America,NAC,2007,15948507238205.8
North America,NAC,2008,16273823136997.2
North America,NAC,2009,15795698382986.4
North America,NAC,2010,16583580836811.1
North America,NAC,2011,17312124677047.8
North America,NAC,2012,17985081294447.6
North America,NAC,2013,18539718715830.2
North America,NAC,2014,19191755961783.7
North America,NAC,2015,19679438002855
North America,NAC,2016,20160296406469
Pacific island small states,PSS,1975,1119628656.50705
Pacific island small states,PSS,1976,1122702099.50737
Pacific island small states,PSS,1977,1171337765.53249
Pacific island small states,PSS,1978,1358461653.63425
Pacific island small states,PSS,1979,1664351537.51441
Pacific island small states,PSS,1980,1904927595.90678
Pacific island small states,PSS,1981,1963995650.83804
Pacific island small states,PSS,1982,1918438076.32243
Pacific island small states,PSS,1983,1837237466.17526
Pacific island small states,PSS,1984,2014185769.40517
Pacific island small states,PSS,1985,1906817963.83447
Pacific island small states,PSS,1986,2070081366.108
Pacific island small states,PSS,1987,2033588818.81467
Pacific island small states,PSS,1988,2130603255.0409
Pacific island small states,PSS,1989,2224857784.68561
Pacific island small states,PSS,1990,2396520508.53893
Pacific island small states,PSS,1991,2548876959.76577
Pacific island small states,PSS,1992,2794581115.05935
Pacific island small states,PSS,1993,2946263929.07455
Pacific island small states,PSS,1994,3395406278.25741
Pacific island small states,PSS,1995,3668261062.14152
Pacific island small states,PSS,1996,3939097726.92624
Pacific island small states,PSS,1997,3935303220.26046
Pacific island small states,PSS,1998,3383565222.10163
Pacific island small states,PSS,1999,3685135085.34515
Pacific island small states,PSS,2000,3447191071.35042
Pacific island small states,PSS,2001,3373827097.70278
Pacific island small states,PSS,2002,3545230257.97584
Pacific island small states,PSS,2003,4157082463.76922
Pacific island small states,PSS,2004,4802142869.55194
Pacific island small states,PSS,2005,5271518870.10471
Pacific island small states,PSS,2006,5541929392.89878
Pacific island small states,PSS,2007,6078976595.05599
Pacific island small states,PSS,2008,6554173386.85826
Pacific island small states,PSS,2009,5778915418.32836
Pacific island small states,PSS,2010,6404608139.42234
Pacific island small states,PSS,2011,7589010905.92656
Pacific island small states,PSS,2012,8110535070.84161
Pacific island small states,PSS,2013,8376051896.5881
Pacific island small states,PSS,2014,8769297682.30012
Pacific island small states,PSS,2015,8596930890.68014
Pacific island small states,PSS,2016,9019651488.34122
South Asia,SAS,1962,52969959487.1425
South Asia,SAS,1963,59564124018.8379
South Asia,SAS,1964,68207240591.276
South Asia,SAS,1965,73302133559.0127
South Asia,SAS,1966,61638106877.0695
South Asia,SAS,1967,67859668331.0437
South Asia,SAS,1968,71227636447.081
South Asia,SAS,1969,78199356804.7733
South Asia,SAS,1970,84723556607.1639
South Asia,SAS,1971,90042201738.5115
South Asia,SAS,1972,90429767477.282
South Asia,SAS,1973,103394104059.765
South Asia,SAS,1974,125253027719.799
South Asia,SAS,1975,134416247897.745
South Asia,SAS,1976,131167736496.194
South Asia,SAS,1977,151656859736.336
South Asia,SAS,1978,172583702486.213
South Asia,SAS,1979,193318644211.614
South Asia,SAS,1980,233086150890.282
South Asia,SAS,1981,247106727889.629
South Asia,SAS,1982,255647758194.56
South Asia,SAS,1983,270545959907.086
South Asia,SAS,1984,269355371620.121
South Asia,SAS,1985,292874261367.599
South Asia,SAS,1986,310147312221.755
South Asia,SAS,1987,344338564247.538
South Asia,SAS,1988,370046274628.889
South Asia,SAS,1989,373481452092.266
South Asia,SAS,1990,402050004575.523
South Asia,SAS,1991,357724016271.72
South Asia,SAS,1992,379830007892.912
South Asia,SAS,1993,376239667457.364
South Asia,SAS,1994,426649315425.987
South Asia,SAS,1995,474034412840.605
South Asia,SAS,1996,518624561849.029
South Asia,SAS,1997,544005563623.853
South Asia,SAS,1998,551628275407.375
South Asia,SAS,1999,590948715637.076
South Asia,SAS,2000,614756473708.65
South Asia,SAS,2001,630828017007.045
South Asia,SAS,2002,663250167513.213
South Asia,SAS,2003,774466662241.158
South Asia,SAS,2004,897926604903.83
South Asia,SAS,2005,1028639938471.39
South Asia,SAS,2006,1176253735122.35
South Asia,SAS,2007,1488693557083.01
South Asia,SAS,2008,1515641609304.52
South Asia,SAS,2009,1665589062548.31
South Asia,SAS,2010,2042141855806.9
South Asia,SAS,2011,2272006394117.54
South Asia,SAS,2012,2297909547839.05
South Asia,SAS,2013,2356659793779.43
South Asia,SAS,2014,2577691553786.73
South Asia,SAS,2015,2682804385971.41
South Asia,SAS,2016,2892480763179.47
Sub-Saharan Africa,SSF,1960,30293454848.2105
Sub-Saharan Africa,SSF,1961,31465076775.5305
Sub-Saharan Africa,SSF,1962,34104849889.4766
Sub-Saharan Africa,SSF,1963,39106436783.5605
Sub-Saharan Africa,SSF,1964,38154669432.4731
Sub-Saharan Africa,SSF,1965,42511265775.887
Sub-Saharan Africa,SSF,1966,45892007068.4289
Sub-Saharan Africa,SSF,1967,45355789870.4112
Sub-Saharan Africa,SSF,1968,48511689901.6278
Sub-Saharan Africa,SSF,1969,55619101230.4241
Sub-Saharan Africa,SSF,1970,65441663595.2528
Sub-Saharan Africa,SSF,1971,66584540143.7838
Sub-Saharan Africa,SSF,1972,75015704819.2867
Sub-Saharan Africa,SSF,1973,95886132380.8826
Sub-Saharan Africa,SSF,1974,125666113209.184
Sub-Saharan Africa,SSF,1975,138201570744.764
Sub-Saharan Africa,SSF,1976,150065750976.478
Sub-Saharan Africa,SSF,1977,165419484974.18
Sub-Saharan Africa,SSF,1978,182804718774.66
Sub-Saharan Africa,SSF,1979,220049397934.685
Sub-Saharan Africa,SSF,1980,276325613788.158
Sub-Saharan Africa,SSF,1981,278746905466.921
Sub-Saharan Africa,SSF,1982,260407279021.102
Sub-Saharan Africa,SSF,1983,242438533416.832
Sub-Saharan Africa,SSF,1984,230830117319.801
Sub-Saharan Africa,SSF,1985,215111614796.826
Sub-Saharan Africa,SSF,1986,238400378521.777
Sub-Saharan Africa,SSF,1987,280930550942.236
Sub-Saharan Africa,SSF,1988,295523690332.111
Sub-Saharan Africa,SSF,1989,309182519793.758
Sub-Saharan Africa,SSF,1990,309656772694.718
Sub-Saharan Africa,SSF,1991,319139026333.247
Sub-Saharan Africa,SSF,1992,313874505716.532
Sub-Saharan Africa,SSF,1993,300038498591.01
Sub-Saharan Africa,SSF,1994,292189333027.886
Sub-Saharan Africa,SSF,1995,337411634256.534
Sub-Saharan Africa,SSF,1996,348828092040.987
Sub-Saharan Africa,SSF,1997,361006709281.608
Sub-Saharan Africa,SSF,1998,340572456123.532
Sub-Saharan Africa,SSF,1999,342916454500.386
Sub-Saharan Africa,SSF,2000,367679644790.853
Sub-Saharan Africa,SSF,2001,342345476693.071
Sub-Saharan Africa,SSF,2002,366969503176.655
Sub-Saharan Africa,SSF,2003,468505411662.939
Sub-Saharan Africa,SSF,2004,583461060225.834
Sub-Saharan Africa,SSF,2005,685226908393.033
Sub-Saharan Africa,SSF,2006,802075288542.163
Sub-Saharan Africa,SSF,2007,933327105483.533
Sub-Saharan Africa,SSF,2008,1067466936503.72
Sub-Saharan Africa,SSF,2009,1022616202357.64
Sub-Saharan Africa,SSF,2010,1365815003522.17
Sub-Saharan Africa,SSF,2011,1537231271076.8
Sub-Saharan Africa,SSF,2012,1612110026187.15
Sub-Saharan Africa,SSF,2013,1698517981177.86
Sub-Saharan Africa,SSF,2014,1780285270973.27
Sub-Saharan Africa,SSF,2015,1605874046218.37
Sub-Saharan Africa,SSF,2016,1512596044161.42
