Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;Net foreign income | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;Net foreign income | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;KN;2014;p0p100;5988.72216797;43219.7109375;37230.9882812;-3780.58129883;33450.40625;53739.0;321827936.0;2322584064.0;2000756096.0;-203164656.0;1797591424.0;0.9855414033;2.2468941212;;1.7217450142;2.7000000477;0.4978248179;
;KN;2013;p0p100;5813.92138672;41224.7460938;35410.8242188;-614.388793945;34796.4335938;53169.0;309120384.0;2191878656.0;1882758144.0;-32666438.0;1850091648.0;0.9708756804;2.2332437038;;1.7254092693;2.7000000477;0.492683053;
;KN;2012;p0p100;5686.29931641;39237.3203125;33551.0234375;-1150.93652344;32400.0859375;52591.0;299048160.0;2063529984.0;1764481792.0;-60528900.0;1703952896.0;0.9609987736;2.2376887798;;1.7356439829;2.7000000477;0.4970998764;
;KN;2011;p0p100;5630.35107422;39918.4492188;34288.0976562;-1462.7376709;32825.359375;52006.0;292812032.0;2075998848.0;1783186816.0;-76071136.0;1707115648.0;0.9796304107;2.3103556633;;1.8029761314;2.7000000477;0.5143225193;
;KN;2010;p0p100;5630.42822266;39408.4375;33778.0078125;-1511.00439453;32267.0019531;51445.0;289657376.0;2027366912.0;1737709568.0;-77733624.0;1659975936.0;0.9392020106;2.2378277779;;1.7659475803;2.7000000477;0.5329001546;
;KN;2009;p0p100;5669.02197266;40758.046875;35089.0273438;-1728.7253418;33360.3007812;50886.0;288473856.0;2074014080.0;1785540224.0;-87967920.0;1697572352.0;0.9417626858;2.2586069107;;1.7991118431;2.7000000477;0.5712850094;
;KN;2008;p0p100;5702.01953125;42489.9257812;36787.90625;-1670.63867188;35117.265625;50332.0;286994048.0;2138602880.0;1851608832.0;-84086584.0;1767522304.0;0.9331794977;2.2596669197;;1.8032541275;2.7000000477;0.5579841137;
;KN;2007;p0p100;5690.24951172;40415.53125;34725.28125;-1623.92883301;33101.3515625;49783.0;283277696.0;2012006400.0;1728728704.0;-80844048.0;1647884672.0;0.9047433138;2.2358238697;;1.7836306095;2.7000000477;0.5832014084;
;KN;2006;p0p100;5642.70849609;40970.7460938;35328.0390625;-1879.87988281;33448.1601562;49210.0;277677696.0;2016170496.0;1738492800.0;-92508888.0;1645983872.0;0.8522620797;2.157998085;;1.7262716293;2.7000000477;0.5906769037;
;KN;2005;p0p100;5558.65869141;40724.9765625;35166.3164062;-2432.99658203;32733.3222656;48611.0;270211968.0;1979681792.0;1709469824.0;-118270392.0;1591199488.0;0.7410578728;1.9131281376;;1.5455493927;2.7000000477;0.5310319066;
;KN;2004;p0p100;5454.23339844;37940.6328125;32486.4003906;-2783.67236328;29702.7285156;47971.0;261645040.0;1820050176.0;1558405120.0;-133535552.0;1424869632.0;0.7455378771;1.9614336491;;1.6023342609;2.7000000477;0.5569264293;
;KN;2003;p0p100;5362.00244141;37134.640625;31772.640625;-3263.57788086;28509.0625;47306.0;253654880.0;1756691328.0;1503036544.0;-154386816.0;1348649728.0;0.7152891755;1.9180364609;;1.5803307295;2.7000000477;0.5697734356;
;KN;2002;p0p100;5278.57617188;39076.8515625;33798.2734375;-2810.04272461;30988.2324219;46641.0;246198080.0;1822583424.0;1576385280.0;-131063208.0;1445322112.0;0.7149839997;1.9594824314;;1.6144981384;2.7000000477;0.5891889334;
;KN;2001;p0p100;5163.36572266;38632.3945312;33469.0273438;-2683.0637207;30785.9648438;45990.0;237463200.0;1776703744.0;1539240576.0;-123394104.0;1415846528.0;0.6999867558;1.9654099941;;1.6087188721;2.7000000477;0.5771280527;
;KN;2000;p0p100;5001.265625;37128.3007812;32127.0332031;-2473.76367188;29653.2675781;45374.0;226927424.0;1684659456.0;1457731968.0;-112244552.0;1345487360.0;0.6729283929;1.935510397;;1.5853835344;2.7000000477;0.5647565126;
;KN;1999;p0p100;4807.44970703;33952.7578125;29145.3066406;-2260.2644043;26885.0429688;44824.0;215489136.0;1521898368.0;1306409216.0;-101314088.0;1205095168.0;0.6911794543;2.0164282322;;1.6667585373;2.7000000477;0.6193118095;
;KN;1998;p0p100;4619.54931641;33215.6835938;28596.1367188;-2135.79956055;26460.3378906;44317.0;204724576.0;1472019456.0;1267294976.0;-94652224.0;1172642816.0;0.6687740088;1.9828914404;;1.6382262707;2.7000000477;0.6060832739;
;KN;1997;p0p100;4438.29785156;33798.0195312;29359.7226562;-1711.97680664;27647.7460938;43846.0;194601600.0;1481907968.0;1287306368.0;-75063336.0;1212243072.0;0.6502272487;1.9481403828;;1.6134833097;2.7000000477;0.5935323238;
;KN;1996;p0p100;4248.86181641;31962.3671875;27713.5039062;-1395.0032959;26318.5;43373.0;184285888.0;1386303744.0;1202017792.0;-60505476.0;1141512320.0;0.6207914948;1.8561025858;;1.5704060793;2.7000000477;0.6034190655;
;KN;1995;p0p100;4056.78466797;30524.8339844;26468.0488281;-884.623413086;25583.4257812;42891.0;173999552.0;1309240704.0;1135241088.0;-37942384.0;1097298688.0;0.6180599332;1.8962347507;;1.5959141254;2.7000000477;0.6635004282;
;KN;1994;p0p100;3875.65600586;29217.1757812;25341.5195312;-1166.36315918;24175.15625;42373.0;164223168.0;1238019328.0;1073796224.0;-49422304.0;1024373888.0;0.6053473949;;;1.5953694582;2.7000000477;0.7782534361;
;KN;1993;p0p100;3712.91796875;28092.5273438;24379.609375;-1132.96911621;23246.6386719;41846.0;155370768.0;1175559936.0;1020189120.0;-47410224.0;972778880.0;0.5734501481;;;1.5444587469;2.7000000477;0.9340250492;
;KN;1992;p0p100;3570.25952148;26561.25;22990.9882812;-1020.80395508;21970.1855469;41361.0;147669504.0;1098599808.0;950930304.0;-42221472.0;908708864.0;0.5638757348;;;1.5570883751;2.7000000477;1.1653482914;
;KN;1991;p0p100;3440.63305664;25687.890625;22247.2578125;-639.895080566;21607.3613281;41013.0;141110688.0;1053537408.0;912426752.0;-26244016.0;886182720.0;0.5378823876;;;1.5240386724;2.7000000477;1.2177329063;
;KN;1990;p0p100;3305.50537109;26366.9472656;23061.4414062;-351.098724365;22710.3417969;40834.0;134977008.0;1076667904.0;941690880.0;-14336765.0;927354112.0;0.5234665275;;;1.5362600088;2.7000000477;1.2289228439;
;KN;1989;p0p100;3130.80786133;25126.4316406;21995.6230469;-1031.56408691;20964.0585938;40852.0;127899760.0;1026464960.0;898565184.0;-42141456.0;856423744.0;0.4868710339;;;1.4860473871;2.7000000477;1.2950896025;
;KN;1988;p0p100;2910.75268555;23670.6464844;20759.8945312;-419.044738769;20340.8496094;41047.0;119477664.0;971609088.0;852131392.0;-17200530.0;834930880.0;0.460590452;;;1.4638593197;2.7000000477;1.4521173239;
;KN;1987;p0p100;2661.60766602;21456.3183594;18794.7109375;-90.4431762695;18704.2675781;41351.0;110060136.0;887240256.0;777180096.0;-3739915.75;773440192.0;0.4281874299;;;1.4098501205;2.7000000477;1.5606821775;
;KN;1986;p0p100;2410.86254883;20007.9082031;17597.0449219;-141.605682373;17455.4394531;41697.0;100525736.0;834269760.0;733744000.0;-5904532.0;727839488.0;0.4054265022;;;1.3696806431;2.7000000477;1.5810041428;
;KN;1985;p0p100;2180.43139648;17956.921875;15776.4902344;-110.89982605;15665.5888672;42013.0;91606464.0;754424128.0;662817664.0;-4659234.5;658158400.0;0.3795659244;;;1.3086030483;2.7000000477;1.5618897676;
;KN;1984;p0p100;1986.92578125;16422.9433594;14436.0175781;89.6433563232;14525.6601562;42294.0;84035040.0;694592000.0;610556928.0;3791376.0;614348288.0;0.3727743626;;;1.3301500082;2.7000000477;1.5699385405;
;KN;1983;p0p100;1836.97241211;15031.1806641;13194.2089844;251.649917603;13445.8583984;42542.0;78148480.0;639456512.0;561308032.0;10705691.0;572013696.0;0.3593231142;;;1.3320634365;2.7000000477;1.4938393831;
;KN;1982;p0p100;1726.97180176;14769.8378906;13042.8652344;169.451065064;13212.3164062;42762.0;73848768.0;631587776.0;557739008.0;7246066.5;564985088.0;0.3607257009;;;1.396304965;2.7000000477;1.5160340071;
;KN;1981;p0p100;1638.13256836;14626.8974609;12988.765625;-150.313339233;12838.453125;42976.0;70400384.0;628605568.0;558205184.0;-6459866.0;551745344.0;0.3394341767;;;1.3942327499;2.7000000477;1.4463614225;
;KN;1980;p0p100;1550.49938965;14385.5996094;12835.0996094;-248.815414429;12586.2851562;43210.0;66997076.0;621601728.0;554604672.0;-10751314.0;543853376.0;0.2941299081;;;1.3213307858;2.7000000477;1.2711131573;
;KN;1979;p0p100;1454.44641113;13210.0507812;11755.6044922;;11527.1210938;43457.0;63205880.0;574069184.0;510863296.0;;500934112.0;0.274184823;;;1.3413751125;2.7000000477;1.2603611946;
;KN;1978;p0p100;1355.2923584;12222.1621094;10866.8691406;;10655.4726562;43703.0;59230344.0;534145152.0;474914784.0;;465676128.0;0.2481677979;;;1.3134547472;2.7000000477;1.1956261396;
;KN;1977;p0p100;1260.05456543;11645.5615234;10385.5068359;;10184.0830078;43942.0;55369320.0;511729248.0;456359936.0;;447508992.0;0.2357417345;;;1.3337869644;2.7000000477;1.1630378962;
;KN;1976;p0p100;1172.49621582;10909.3974609;9736.90136719;;9548.2109375;44148.0;51763364.0;481628096.0;429864736.0;;421534432.0;0.2342778295;;;1.4058191776;2.6146707535;1.170804739;
;KN;1975;p0p100;1096.04846191;10250.2851562;9154.23730469;;8976.94726562;44276.0;48528644.0;453841632.0;405312992.0;;397463296.0;0.2441626787;;;1.5450155735;2.1697957516;1.2709072828;
;KN;1974;p0p100;1030.17675781;9976.39941406;8946.22265625;;8773.66894531;44331.0;45668768.0;442263744.0;396594976.0;;388945504.0;0.2239070088;;;1.5434795618;2.0532324314;1.1795452833;
;KN;1973;p0p100;971.258789062;9457.28222656;8486.0234375;;8322.44921875;44316.0;43042304.0;419108928.0;376066624.0;;368817664.0;0.173099786;;;1.2963427305;1.9592192173;0.9192841649;
;KN;1972;p0p100;915.025024414;9089.47949219;8174.45361328;;8017.24121094;44326.0;40559400.0;402900256.0;362340832.0;;355372224.0;0.1675274819;;;1.3232402802;1.9212781191;0.9067578912;
;KN;1971;p0p100;856.926940918;8638.62890625;7781.70166016;;7632.28662109;44495.0;38128964.0;384375776.0;346246816.0;;339598592.0;0.154098928;;;1.2702169418;1.9748727083;0.836187005;
;KN;1970;p0p100;796.26965332;8047.70166016;7251.43261719;;7112.23779297;44885.0;35740564.0;361221088.0;325480544.0;;319232800.0;0.1381305605;;;1.1963549852;2.0;0.7737860084;
;KN;1969;p0p100;;;;;;45534.0;;;;;;;;;;2.0;;
;KN;1968;p0p100;;;;;;46402.0;;;;;;;;;;2.0;;
;KN;1967;p0p100;;;;;;47380.0;;;;;;;;;;1.7619082928;;
;KN;1966;p0p100;;;;;;48358.0;;;;;;;;;;1.7142900229;;
;KN;1965;p0p100;;;;;;49214.0;;;;;;;;;;1.7142900229;;
;KN;1964;p0p100;;;;;;49930.0;;;;;;;;;;1.7142900229;;
;KN;1963;p0p100;;;;;;50525.0;;;;;;;;;;1.7142900229;;
;KN;1962;p0p100;;;;;;50966.0;;;;;;;;;;1.7142900229;;
;KN;1961;p0p100;;;;;;51193.0;;;;;;;;;;1.7142900229;;
;KN;1960;p0p100;;;;;;51195.0;;;;;;;;;;1.7142900229;;
;KN;1959;p0p100;;;;;;50972.0;;;;;;;;;;;;
;KN;1958;p0p100;;;;;;50544.0;;;;;;;;;;;;
