Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;Net foreign income | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;Net foreign income | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;TC;2014;p0p100;3523.30395508;25489.3164062;21966.0117188;170.467407227;22136.4804688;33739.0;118872752.0;859984064.0;741111296.0;5751400.0;746862720.0;0.926481545;1.4422184229;;1.1051398516;;0.3195397854;
;TC;2013;p0p100;3499.50708008;24827.2636719;21327.7558594;;21493.7949219;33108.0;115861680.0;821981056.0;706119360.0;;711616576.0;0.8958553672;1.4070090055;;1.0870584249;;0.3104047775;
;TC;2012;p0p100;3535.48901367;25016.4707031;21480.9824219;;21648.2871094;32431.0;114659448.0;811309184.0;696649728.0;;702075584.0;0.8821825981;1.402561307;;1.0878845453;;0.3115773201;
;TC;2011;p0p100;3631.11450195;26232.7050781;22601.5898438;;22777.0292969;31731.0;115218896.0;832389952.0;717171072.0;;722737920.0;0.8755394816;1.4098690748;;1.1002463102;;0.3138596416;
;TC;2010;p0p100;3777.48364258;25670.3730469;21892.890625;;22064.5683594;30994.0;117079328.0;795627584.0;678548224.0;;683869248.0;0.8632027507;1.4043228626;;1.108199954;;0.3344153166;
;TC;2009;p0p100;3961.16821289;26049.5214844;22088.3515625;;22262.5664062;30245.0;119805536.0;787867776.0;668062208.0;;673331328.0;0.892505765;1.4614927769;;1.1641640663;;0.3696654439;
;TC;2008;p0p100;4129.17773438;33218.9921875;29089.8144531;;29311.9765625;29481.0;121732288.0;979329088.0;857596800.0;;864146368.0;0.8808934093;1.4564282894;;1.1622555256;;0.3596387804;
;TC;2007;p0p100;4167.609375;31582.0332031;27414.4238281;;27625.6386719;28640.0;119360336.0;904509440.0;785149120.0;;791198272.0;0.855148375;1.4429130554;;1.1510852575;;0.3763753176;
;TC;2006;p0p100;4064.68823242;30975.5078125;26910.8222656;;27117.9804688;27642.0;112356112.0;856225024.0;743868928.0;;749595200.0;0.8431105614;1.4576355219;;1.1660226583;;0.3989769816;
;TC;2005;p0p100;3866.0637207;27460.5859375;23594.5214844;;23778.1738281;26448.0;102249656.0;726277568.0;624027904.0;;628885120.0;0.7967279553;1.4043924809;;1.1345596313;;0.3898208439;
;TC;2004;p0p100;3666.99414062;25371.7382812;21704.7460938;;21874.4257812;25028.0;91777528.0;635003904.0;543226368.0;;547473152.0;0.764718771;1.3737008572;;1.1222035885;;0.3900464773;
;TC;2003;p0p100;3535.85400391;24349.0605469;20813.2070312;;20976.0488281;23410.0;82774344.0;570011520.0;487237184.0;;491049312.0;0.7188510895;1.3161356449;;1.0844056606;;0.3909722865;
;TC;2002;p0p100;3485.77636719;23978.0351562;20492.2578125;;20652.6171875;21742.0;75787752.0;521330432.0;445542656.0;;449029216.0;0.7034074068;1.3162503242;;1.0845127106;;0.3957780302;
;TC;2001;p0p100;3491.45556641;25530.734375;22039.2773438;;22210.0214844;20185.0;70475032.0;515337856.0;444862816.0;;448309280.0;0.6961352825;1.3345766068;;1.0923718214;;0.3918884695;
;TC;2000;p0p100;3492.44946289;25508.5742188;22016.125;;22186.7207031;18873.0;65913000.0;481423328.0;415510336.0;;418729984.0;0.6635392904;1.3031061888;;1.0673789978;;0.3802292943;
;TC;1999;p0p100;3443.28979492;25690.90625;22247.6171875;;22419.4316406;17864.0;61510928.0;458942336.0;397431424.0;;400500736.0;0.6418887377;1.2786103487;;1.0568859577;;0.3927035332;
;TC;1998;p0p100;3326.86450195;24658.7246094;21331.859375;;21496.7714844;17115.0;56939284.0;422034080.0;365094784.0;;367917248.0;0.6282961965;1.2719513178;;1.0508613586;;0.3887799382;
;TC;1997;p0p100;3161.73291016;23029.5527344;19867.8203125;;20021.8378906;16528.0;52257120.0;380632448.0;328375328.0;;330920928.0;0.6182271242;1.264706254;;1.0474513769;;0.3853130937;
;TC;1996;p0p100;2986.56103516;22188.0917969;19201.53125;;19349.9199219;15966.0;47683432.0;354255072.0;306571648.0;;308940832.0;0.6041314602;1.2333153486;;1.0434800386;;0.4009509385;
;TC;1995;p0p100;2823.43432617;21098.6582031;18275.2246094;;18416.328125;15332.0;43288896.0;323484640.0;280195744.0;;282359136.0;0.5889108777;1.2336659431;;1.0382812023;;0.4316648245;
;TC;1994;p0p100;2679.35473633;20647.6035156;17968.2480469;;18106.3359375;14597.0;39110540.0;301393056.0;262282528.0;;264298192.0;0.570514679;;;1.0266205072;;0.5008062124;
;TC;1993;p0p100;2548.5859375;19339.8652344;16791.2792969;;16920.6210938;13789.0;35142452.0;266677408.0;231534944.0;;233318432.0;0.5734067559;;;1.0544595718;;0.6376937628;
;TC;1992;p0p100;2428.56518555;18373.9882812;15945.4238281;;16068.3046875;12968.0;31493634.0;238273888.0;206780256.0;;208373776.0;0.5598618388;;;1.0555948019;;0.7900229692;
;TC;1991;p0p100;2310.921875;17775.3105469;15464.3896484;;15583.2675781;12206.0;28207112.0;216965456.0;188758336.0;;190209360.0;0.5488674045;;;1.0618486404;;0.8484352231;
;TC;1990;p0p100;2185.05029297;17027.4042969;14842.3544922;;14956.2294922;11552.0;25241702.0;196700576.0;171458880.0;;172774368.0;0.5384364724;;;1.0789387226;;0.8630911112;
;TC;1989;p0p100;2047.23059082;16163.4042969;14116.1738281;;14224.2714844;11017.0;22554340.0;178072224.0;155517888.0;;156708800.0;0.528873086;;;1.1021906137;;0.9605585933;
;TC;1988;p0p100;1901.33605957;15146.796875;13245.4609375;;13346.7597656;10582.0;20119938.0;160283408.0;140163472.0;;141235408.0;0.520917058;;;1.1304190159;;1.1213517189;
;TC;1987;p0p100;1753.3885498;14159.5;12406.1123047;;12500.8076172;10224.0;17926644.0;144766736.0;126840088.0;;127808256.0;0.51101017;;;1.1488281488;;1.2717348337;
;TC;1986;p0p100;1617.60180664;13269.3818359;11651.7802734;;11740.5224609;9875.0;15973818.0;131035144.0;115061328.0;;115937664.0;0.5017638206;;;1.1574254036;;1.3360006809;
;TC;1985;p0p100;1498.16027832;12462.0322266;10963.8710938;;11047.2148438;9506.0;14241512.0;118464072.0;104222560.0;;105014824.0;0.492839843;;;1.1601469517;;1.3846992254;
;TC;1984;p0p100;1397.53210449;11769.0380859;10371.5058594;;10450.2148438;9095.0;12710555.0;107039400.0;94328848.0;;95044704.0;0.4841946065;;;1.1796714067;;1.3923327923;
;TC;1983;p0p100;1309.34411621;11152.28125;9842.9375;;9917.52148438;8669.0;11350704.0;96679128.0;85328424.0;;85974992.0;0.4757225811;;;1.2041484118;;1.3503894806;
;TC;1982;p0p100;1229.9440918;10599.453125;9369.50878906;;9440.39550781;8244.0;10139659.0;87381888.0;77242232.0;;77826624.0;0.4671654999;;;1.2346972227;;1.3405687809;
;TC;1981;p0p100;1151.84436035;10052.1767578;8900.33203125;;8967.55957031;7858.0;9051193.0;78990000.0;69938808.0;;70467080.0;0.4588587284;;;1.2869011164;;1.3350168467;
;TC;1980;p0p100;1073.32568359;9493.99414062;8420.66894531;;8484.16308594;7519.0;8070335.5;71385344.0;63315008.0;;63792420.0;0.450728327;;;1.3825273514;;1.3299839497;
;TC;1979;p0p100;988.034912109;8880.50390625;7892.46923828;;7951.86035156;7264.0;7177085.5;64507980.0;57330896.0;;57762312.0;0.4427481294;;;1.4789383411;;1.3896161318;
;TC;1978;p0p100;903.522949219;8265.203125;7361.6796875;;7416.95556641;7053.0;6372547.5;58294476.0;51921928.0;;52311788.0;0.434894681;;;1.5715936422;;1.4306076765;
;TC;1977;p0p100;820.227722168;7651.02636719;6830.79882812;;6881.96728516;6886.0;5648088.0;52684968.0;47036880.0;;47389228.0;0.4271595776;;;1.65016222;;1.4389113188;
;TC;1976;p0p100;744.272033691;7082.32519531;6338.05322266;;6385.41845703;6723.0;5003741.0;47614472.0;42610732.0;;42929168.0;0.4195792377;;;1.7190905809;;1.4317057133;
;TC;1975;p0p100;677.116394043;6571.48583984;5894.36962891;;5938.31835938;6548.0;4433758.0;43030088.0;38596332.0;;38884108.0;0.4121364951;;;1.7806606293;;1.4647455215;
;TC;1974;p0p100;619.656738281;6127.81738281;5508.16064453;;5549.14208984;6346.0;3932341.5;38887128.0;34954788.0;;35214856.0;0.4048239291;;;1.9053987265;;1.4561281204;
;TC;1973;p0p100;569.728759766;5736.75683594;5167.02783203;;5205.39404297;6126.0;3490158.25;35143372.0;31653212.0;;31888244.0;0.3976382613;;;2.0332837105;;1.4418760538;
;TC;1972;p0p100;522.704895019;5363.13476562;4840.4296875;;4876.29736328;5922.0;3095458.25;31760482.0;28665024.0;;28877432.0;0.3905791044;;;2.1064355373;;1.4434468746;
;TC;1971;p0p100;476.056884766;4986.62060547;4510.56396484;;4543.91357422;5756.0;2740183.5;28702990.0;25962806.0;;26154766.0;0.3836477399;;;2.1592226028;;1.4214216471;
;TC;1970;p0p100;429.588928223;4604.95654297;4175.36767578;;4206.16455078;5633.0;2419874.5;25939720.0;23519846.0;;23693326.0;0.3768395782;;;2.2285034657;;1.4413654804;
;TC;1969;p0p100;;;;;;5571.0;;;;;;;;;;;;
;TC;1968;p0p100;;;;;;5559.0;;;;;;;;;;;;
;TC;1967;p0p100;;;;;;5590.0;;;;;;;;;;;;
;TC;1966;p0p100;;;;;;5629.0;;;;;;;;;;;;
;TC;1965;p0p100;;;;;;5672.0;;;;;;;;;;;;
;TC;1964;p0p100;;;;;;5710.0;;;;;;;;;;;;
;TC;1963;p0p100;;;;;;5740.0;;;;;;;;;;;;
;TC;1962;p0p100;;;;;;5763.0;;;;;;;;;;;;
;TC;1961;p0p100;;;;;;5763.0;;;;;;;;;;;;
;TC;1960;p0p100;;;;;;5726.0;;;;;;;;;;;;
;TC;1959;p0p100;;;;;;5656.0;;;;;;;;;;;;
;TC;1958;p0p100;;;;;;5559.0;;;;;;;;;;;;
