Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;Net foreign income | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;Net foreign income | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;MH;2014;p0p100;338.072601318;3588.60546875;3250.53295898;-151.887542725;3098.64550781;52898.0;17883364.0;189830048.0;171946688.0;-8034547.5;163912144.0;0.9580454826;1.1553391218;;0.8853106499;;0.2559784353;
;MH;2013;p0p100;333.021636963;3616.18896484;3283.16748047;-619.520324707;2663.64697266;52793.0;17581212.0;190909472.0;173328256.0;-32706336.0;140621920.0;0.9883350134;1.2025198936;;0.9290696979;;0.2652917802;
;MH;2012;p0p100;326.82345581;3570.85571289;3244.0324707;-727.781188965;2516.2512207;52663.0;17211504.0;188051984.0;170840480.0;-38327140.0;132513344.0;0.9901742339;1.2195625305;;0.9459431767;;0.2709243596;
;MH;2011;p0p100;319.196746826;3463.55102539;3144.35449219;44.371837616;3188.72631836;52542.0;16771235.0;181981904.0;165210672.0;2331385.0;167542064.0;0.9641286731;1.2027273178;;0.9385951757;;0.2677465379;
;MH;2010;p0p100;311.169891357;3396.46606445;3085.29614258;170.473327637;3255.76953125;52425.0;16313082.0;178059728.0;161746656.0;8937064.0;170683712.0;0.9346977472;1.178024888;;0.9296203256;;0.28052634;
;MH;2009;p0p100;303.757354736;3235.56567383;2931.80834961;302.100006103;3233.90820312;52320.0;15892585.0;169284784.0;153392208.0;15805872.0;169198080.0;0.9178677797;1.1643804312;;0.9274967909;;0.2945147753;
;MH;2008;p0p100;298.186004639;3231.45410156;2933.26806641;288.901855469;3222.16992188;52218.0;15570676.0;168740080.0;153169392.0;15085877.0;168255264.0;0.9041042924;1.158012867;;0.9241147041;;0.2859504521;
;MH;2007;p0p100;293.748382568;3290.76513672;2997.01660156;326.116699219;3323.13354492;52137.0;15315160.0;171570624.0;156255456.0;17002746.0;173258208.0;0.880638063;1.1511323452;;0.9183169007;;0.3002660573;
;MH;2006;p0p100;289.060241699;3221.09790039;2932.03759766;512.865112305;3444.90283203;52078.0;15053679.0;167748336.0;152694656.0;26708988.0;179403648.0;0.866820097;1.1609740257;;0.9287109375;;0.317776233;
;MH;2005;p0p100;283.649841309;3159.44311523;2875.79345703;477.929718018;3353.72290039;52055.0;14765392.0;164464816.0;149699424.0;24878632.0;174578048.0;0.8465420008;1.1559952497;;0.9338881969;;0.320872575;
;MH;2004;p0p100;277.51486206;3079.69189453;2802.17700195;;3268.04248047;52074.0;14451309.0;160371872.0;145920560.0;;170180048.0;0.827971518;1.1522188187;;0.9412704706;;0.3271592259;
;MH;2003;p0p100;270.930847168;3056.85522461;2785.92431641;;3248.33544922;52116.0;14119832.0;159311072.0;145191232.0;;169290256.0;0.8037543893;1.1400244236;;0.9393020868;;0.3386565745;
;MH;2002;p0p100;263.789642334;3048.40039062;2784.61083984;;3245.74291992;52158.0;13758740.0;158998464.0;145239728.0;;169291456.0;0.7880126238;1.1423358917;;0.9412175417;;0.3434844315;
;MH;2001;p0p100;256.17086792;2985.63989258;2729.46875;;3181.10742188;52183.0;13367764.0;155799648.0;142431872.0;;165999728.0;0.753824532;1.1195647717;;0.9163812995;;0.328751862;
;MH;2000;p0p100;249.371444702;2852.80078125;2603.42944336;;3034.97314453;52159.0;13006965.0;148799232.0;135792272.0;;158301168.0;0.751668036;1.1435847282;;0.9367144108;;0.3336830139;
;MH;1999;p0p100;245.603408814;2700.23974609;2454.63647461;;2863.10229492;52079.0;12790780.0;140625792.0;127835008.0;;149107504.0;0.7718555331;1.1910872459;;0.9845402837;;0.3658222854;
;MH;1998;p0p100;246.991897583;2717.76806641;2470.77612305;;2881.89379883;51925.0;12825054.0;141120112.0;128295056.0;;149642336.0;0.7676217556;1.2038779259;;0.9946204424;;0.3679728806;
;MH;1997;p0p100;253.467285156;2806.56030273;2553.09301758;;2977.64208984;51692.0;13102231.0;145076720.0;131974488.0;;153920272.0;0.73552984;1.1656576395;;0.9654176235;;0.3551363349;
;MH;1996;p0p100;262.713134766;2964.45605469;2701.74291992;;3150.17675781;51401.0;13503718.0;152376000.0;138872288.0;;161922240.0;0.7238551378;1.1447838545;;0.9685754776;;0.3721693158;
;MH;1995;p0p100;270.880096435;3286.62329102;3015.7434082;;3512.91162109;51015.0;13818948.0;167667088.0;153848144.0;;179211184.0;0.7084028721;1.1496282816;;0.9675531983;;0.4022597075;
;MH;1994;p0p100;272.965881348;3212.28051758;2939.31469727;;3425.23706055;50575.0;13805249.0;162461088.0;148655840.0;;173231360.0;0.689078033;;;0.9605956674;;0.4685979784;
;MH;1993;p0p100;268.866363525;3047.94262695;2779.07617188;;3240.13916016;50048.0;13456224.0;152543424.0;139087200.0;;162162480.0;0.6711470485;;;0.9561233521;;0.5782240629;
;MH;1992;p0p100;261.643859863;2915.33374023;2653.68994141;;3094.69311523;49378.0;12919450.0;143953344.0;131033896.0;;152809760.0;0.6520517468;;;0.9524178505;;0.712803781;
;MH;1991;p0p100;254.892837524;2779.62939453;2524.73657227;;2945.21166992;48475.0;12355930.0;134742528.0;122386600.0;;142769136.0;0.6329392791;;;0.9486070275;;0.7579532266;
;MH;1990;p0p100;250.740707397;2795.91113281;2545.17041016;;2968.10864258;47298.0;11859534.0;132241008.0;120381472.0;;140385600.0;0.6055813432;;;0.9400780797;;0.7520103455;
;MH;1989;p0p100;248.907104492;2830.10131836;2581.19433594;;3009.30444336;45814.0;11403430.0;129658256.0;118254832.0;;137868272.0;0.5767233372;;;0.9311118722;;0.8114635348;
;MH;1988;p0p100;247.373352051;2959.5612793;2712.18798828;;3159.88134766;44063.0;10900012.0;130407144.0;119507136.0;;139233856.0;0.5502172112;;;0.9249839187;;0.9175643921;
;MH;1987;p0p100;243.271865845;2940.57836914;2697.30639648;;3142.12841797;42153.0;10254639.0;123954200.0;113699560.0;;132450144.0;0.5276030898;;;0.9188867211;;1.0171933174;
;MH;1986;p0p100;235.817810059;2829.76367188;2593.94580078;;3022.00488281;40204.0;9480819.0;113767824.0;104287000.0;;121496688.0;0.5113294721;;;0.9137420654;;1.0547202826;
;MH;1985;p0p100;226.583465576;2472.7980957;2246.21459961;;2620.27539062;38333.0;8685624.0;94789768.0;86104144.0;;100443016.0;0.4985799789;;;0.9092245698;;1.0852096081;
;MH;1984;p0p100;219.105209351;2561.23461914;2342.12963867;;2729.56811523;36561.0;8010705.5;93641304.0;85630600.0;;99795744.0;0.4823258817;;;0.9103549719;;1.0744662285;
;MH;1983;p0p100;213.373123169;2652.21240234;2438.83911133;;2840.03979492;34892.0;7445015.0;92540992.0;85095976.0;;99094672.0;0.4637775123;;;0.9094211459;;1.0198682547;
;MH;1982;p0p100;208.897796631;2474.71655273;2265.81860352;;2640.16967773;33330.0;6962563.5;82482296.0;75519736.0;;87996856.0;0.4473879635;;;0.9160161018;;0.9945617318;
;MH;1981;p0p100;207.032272339;2402.8581543;2195.82568359;;2559.30664062;31893.0;6602880.5;76634352.0;70031472.0;;81623968.0;0.420639962;;;0.9139150381;;0.9480852485;
;MH;1980;p0p100;208.911956787;2365.09521484;2156.18334961;;2513.9519043;30576.0;6387692.0;72315152.0;65927464.0;;76866592.0;0.3871562481;;;0.9199712873;;0.8850075006;
;MH;1979;p0p100;214.008987427;2552.91992188;2338.91088867;;2725.09155273;29418.0;6295716.5;75101800.0;68806080.0;;80166744.0;0.3466128111;;;0.8969475627;;0.8427753448;
;MH;1978;p0p100;219.840133667;2655.94677734;2436.10668945;;2837.87231445;28405.0;6244559.0;75442168.0;69197608.0;;80609760.0;0.307744056;;;0.8615390062;;0.7842512727;
;MH;1977;p0p100;224.460845947;2622.49072266;2398.02978516;;2794.73461914;27470.0;6165939.5;72039816.0;65873880.0;;76771360.0;0.2896432579;;;0.8668201566;;0.7558513284;
;MH;1976;p0p100;226.896133423;2627.85400391;2400.95776367;;2798.47387695;26552.0;6024546.0;69774776.0;63750232.0;;74305080.0;0.2695579231;;;0.8555905223;;0.7125592232;
;MH;1975;p0p100;226.162567139;2703.44482422;2477.28222656;;2886.23266602;25576.0;5784334.0;69143304.0;63358968.0;;73818288.0;0.2485466152;;;0.8319113851;;0.6843181849;
;MH;1974;p0p100;220.216506958;2814.6652832;2594.44873047;;3020.22387695;24531.0;5402131.0;69046552.0;63644424.0;;74089112.0;0.2274311036;;;0.8292751908;;0.6337418556;
;MH;1973;p0p100;207.978988647;2661.51928711;2453.5402832;;2856.14892578;23439.0;4874819.5;62383348.0;57508532.0;;66945276.0;0.2020427734;;;0.8003541827;;0.5675604939;
;MH;1972;p0p100;192.102966309;2153.22167969;1961.11865234;;2286.83691406;22341.0;4291772.5;48105124.0;43813352.0;;51090224.0;0.2174457908;;;0.9084881544;;0.6225466728;
;MH;1971;p0p100;177.042602539;2080.78857422;1903.74584961;;2218.50732422;21313.0;3773309.0;44347848.0;40574536.0;;47283044.0;0.2119899541;;;0.9242919087;;0.6084637046;
;MH;1970;p0p100;163.385070801;2132.05224609;1968.66723633;;2291.18334961;20395.0;3332238.5;43483208.0;40150968.0;;46728684.0;0.1989325434;;;0.9113637209;;0.5894575715;
;MH;1969;p0p100;;;;;;19622.0;;;;;;;;;;;;
;MH;1968;p0p100;;;;;;18961.0;;;;;;;;;;;;
;MH;1967;p0p100;;;;;;18388.0;;;;;;;;;;;;
;MH;1966;p0p100;;;;;;17842.0;;;;;;;;;;;;
;MH;1965;p0p100;;;;;;17284.0;;;;;;;;;;;;
;MH;1964;p0p100;;;;;;16710.0;;;;;;;;;;;;
;MH;1963;p0p100;;;;;;16114.0;;;;;;;;;;;;
;MH;1962;p0p100;;;;;;15547.0;;;;;;;;;;;;
;MH;1961;p0p100;;;;;;15051.0;;;;;;;;;;;;
;MH;1960;p0p100;;;;;;14662.0;;;;;;;;;;;;
;MH;1959;p0p100;;;;;;14390.0;;;;;;;;;;;;
;MH;1958;p0p100;;;;;;14208.0;;;;;;;;;;;;
