;SC;1966;p99p100;42911.3359375;;2058165.625;;1.7708716393;1.7708717585;1162233.0;;;0.2453580648;0.2453580648;24231.7597656
;SC;1966;p99p99.5;25356.5644531;;1216182.25;;;;1162233.0;;;0.072491765;0.072491765;24231.7597656
;SC;1966;p99.5p100;60466.0507812;;;;1.6057480574;;1806102.75;;;0.1728662997;0.1728662997;37656.0
;SC;1966;p99.75p100;72767.1484375;;3490146.0;;;;;;;0.104016833;0.104016833;
;SC;1965;p0p100;1453.5715332;1865.97265625;73339.625;94147.2265625;;;;42741756.0;2156525568.0;;;
;SC;1965;p99p100;39461.1210938;;1991002.0;;1.7968964577;1.7968964577;1108022.625;;;0.2714767158;0.2714767158;21960.7089844
;SC;1965;p99p99.5;22863.34375;;1153564.875;;;;1108022.625;;;0.0786453262;0.0786453262;21960.7089844
;SC;1965;p99.5p100;56058.84375;;;;1.6301896572;;1735035.0;;;0.1928313822;0.1928313822;34387.9257812
;SC;1965;p99.75p100;68405.265625;;3451372.25;;;;;;;0.1176502034;0.1176502034;
;SC;1964;p0p100;1355.17407227;1739.6583252;75681.71875;97153.8125;;;;38989488.0;2177425920.0;;;
;SC;1964;p99p100;37114.46875;;2072712.75;;1.7679384947;1.7679384947;1172389.625;;;0.2738720477;0.2738720477;20993.0761719
;SC;1964;p99p99.5;21341.9140625;;1191871.0;;;;1172389.625;;;0.0787422583;0.0787422583;20993.0761719
;SC;1964;p99.5p100;52886.96875;;;;1.602866888;;1842668.125;;;0.1951297969;0.1951297969;32995.234375
;SC;1964;p99.75p100;66280.7109375;;3701545.0;;;;;;;0.1222732961;0.1222732961;
;SC;1963;p0p100;1325.37304688;1701.40222168;72322.5234375;92841.5625;;;;36907912.0;2013978880.0;;;
;SC;1963;p99p100;37907.7148438;;2068535.75;;1.6912695169;1.6912695169;1223066.875;;;0.2860151529;0.2860151529;22413.7617188
;SC;1963;p99p99.5;22839.7089844;;1246309.75;;;;1223066.875;;;0.0861632377;0.0861632377;22413.7617188
;SC;1963;p99.5p100;52975.6640625;;;;1.5190119743;;1903051.75;;;0.1998519003;0.1998519003;34875.078125
;SC;1963;p99.75p100;63576.1953125;;3469205.25;;;;;;;0.1199212074;0.1199212074;
;SC;1962;p0p100;1256.96179199;1613.58154297;66085.2890625;84834.7265625;;;;33940868.0;1784455296.0;;;
;SC;1962;p99p100;34941.8359375;;1837081.625;;1.6825298071;1.6825296879;1091856.875;;;0.2779861987;0.2779861987;20767.4394531
;SC;1962;p99p99.5;20384.6875;;1071733.375;;;;1091856.875;;;0.0810870603;0.0810870603;20767.4394531
;SC;1962;p99.5p100;49498.9414062;;;;1.4859528542;;1751352.75;;;0.1968991458;0.1968991458;33311.2460938
;SC;1962;p99.75p100;60043.0;;3156785.75;;;;;;;0.1194207817;0.1194207817;
;SC;1961;p0p100;1142.87768555;1467.13012695;61432.8828125;78862.359375;;;;30241454.0;1625563008.0;;;
;SC;1961;p99p100;32166.265625;;1729027.0;;1.6069979668;1.6069979668;1075936.0;;;0.2814494967;0.2814494967;20016.3691406
;SC;1961;p99p99.5;20001.2148438;;1075121.375;;;;1075936.0;;;0.0875036567;0.0875036567;20016.3691406
;SC;1961;p99.5p100;44331.2734375;;;;1.4612779617;;1630716.625;;;0.1939458251;0.1939458251;30337.3300781
;SC;1961;p99.75p100;56896.4414062;;3058343.5;;;;;;;0.124458611;0.124458611;
;SC;1955;p0p100;1436.36364746;1843.88256836;52274.828125;67106.015625;;;;31707096.0;1153943808.0;;;
;SC;1955;p99p100;33989.5078125;;1237009.625;;1.9367740154;1.9367740154;638695.875;;;0.2366355807;0.2366355807;17549.546875
;SC;1955;p95p99;7141.61230469;;259910.890625;;;;145284.984375;;;0.1988804489;0.1988804489;3992.01831055
;SC;1955;p99p99.5;11021.8769531;;401128.75;;;;638695.875;;;0.0383672565;0.0383672565;17549.546875
