Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency
;HU;1998;p95p100;6289309.38892;;8671286.21153;1.9581006765;;1.9581006765;4428417.0;;;0.18969;;0.18969;;3211943.75;
;HU;1998;p99.5p100;18776028.2685;;25887153.098;1.8898631334;;1.8898631334;13697898.0;;;0.05663;;0.05663;;9935126.0;
;HU;1997;p0p100;1598539.48997;;2199701.25;;;;;13383309.0307;18416361.8032;;;;;;
;HU;1997;p99p100;12686832.8181;;17457962.2108;1.837202549;;1.837202549;9502470.0;;;0.07937;;0.07937;;6905516.5;
;HU;1997;p99.9p100;35309401.8142;;48588186.776;1.7980350256;;1.7980349064;27022938.0;;;0.02209;;0.02209;;19637772.0;
;HU;1997;p99.99p100;98113245.0486;;135010632.599;1.7980350256;;1.7980349064;75087880.0;;;0.00614;;0.00614;;54566928.0;
;HU;1997;p90p100;4270224.65194;;5876125.40296;1.9549859762;;1.9549859762;3005712.25;;;0.26713;;0.26713;;2184273.75;
;HU;1997;p90p95;;;;;;;3005712.25;;;0.08043;;0.08043;;2184273.75;
;HU;1997;p95p99;;;;;;;4269568.0;;;0.10733;;0.10733;;3102727.5;
;HU;1997;p99.5p99.9;;;;;;;13199987.0;;;0.03214;;0.03214;;9592530.0;
;HU;1997;p99.9p99.99;;;;;;;27022938.0;;;0.01595;;0.01595;;19637772.0;
;HU;1997;p99p99.5;;;;;;;9502470.0;;;0.02514;;0.02514;;6905516.5;
;HU;1997;p95p100;5968825.5431;;8213518.08358;1.9237350225;;1.9237351418;4269568.0;;;0.1867;;0.1867;;3102727.5;
;HU;1997;p99.5p100;17337883.3254;;23858130.4137;1.8074358702;;1.8074358702;13199987.0;;;0.05423;;0.05423;;9592530.0;
;HU;1996;p0p100;1584914.28579;;2120168.25;;;;;13275008.0896;17758216.2786;;;;;;
;HU;1996;p99p100;12291274.7423;;16442258.5463;1.9535838366;;1.9535838366;8416459.0;;;0.07755;;0.07755;;6291654.5;
;HU;1996;p99.9p100;38304939.5536;;51241204.2643;1.9965384007;;1.9965385199;25665022.0;;;0.02417;;0.02417;;19185676.0;
;HU;1996;p99.99p100;120889307.829;;161715794.047;1.9965384007;;1.9965384007;80998088.0;;;0.00763;;0.00763;;60549452.0;
;HU;1996;p90p100;4102168.32114;;5487544.09536;1.9128388166;;1.9128386974;2868796.0;;;0.25883;;0.25883;;2144544.75;
;HU;1996;p90p95;;;;;;;2868796.0;;;0.07941;;0.07941;;2144544.75;
;HU;1996;p95p99;;;;;;;4006182.25;;;0.10187;;0.10187;;2994788.5;
;HU;1996;p99.5p99.9;;;;;;;11770306.0;;;0.03028;;0.03028;;8798795.0;
;HU;1996;p99.9p99.99;;;;;;;25665022.0;;;0.01654;;0.01654;;19185676.0;
;HU;1996;p99p99.5;;;;;;;8416459.0;;;0.0231;;0.0231;;6291654.5;
;HU;1996;p95p100;5687289.37048;;7607988.93666;1.8990621567;;1.8990621567;4006182.25;;;0.17942;;0.17942;;2994788.5;
;HU;1996;p99.5p100;17258974.4427;;23087639.4825;1.9615156651;;1.9615156651;11770306.0;;;0.05445;;0.05445;;8798795.0;
;HU;1995;p0p100;1651041.13366;;2185806.5;;;;;13828553.1807;18307564.1252;;;;;;
;HU;1995;p99p100;11638452.669;;15408099.1533;1.7938696146;;1.7938697338;8589308.0;;;0.07049;;0.07049;;6487903.5;
;HU;1995;p99.9p100;31239356.9018;;41357654.8637;1.7653499842;;1.7653499842;23427454.0;;;0.01892;;0.01892;;17695844.0;
;HU;1995;p99.99p100;84769999.8364;;112226650.729;1.7653501034;;1.7653501034;63571896.0;;;0.00513;;0.00513;;48018804.0;
;HU;1995;p90p100;4179853.64508;;5533690.88157;1.8280240297;;1.8280241489;3027143.25;;;0.25316;;0.25316;;2286542.0;
;HU;1995;p90p95;;;;;;;3027143.25;;;0.08087;;0.08087;;2286542.0;
;HU;1995;p95p99;;;;;;;4202966.0;;;0.1018;;0.1018;;3174695.25;
;HU;1995;p99.5p99.9;;;;;;;11905370.0;;;0.02868;;0.02868;;8992679.0;
;HU;1995;p99.9p99.99;;;;;;;23427454.0;;;0.01379;;0.01379;;17695844.0;
;HU;1995;p99p99.5;;;;;;;8589308.0;;;0.02289;;0.02289;;6487903.5;
;HU;1995;p95p100;5688993.08393;;7531634.31714;1.7919808626;;1.7919807434;4202966.0;;;0.17229;;0.17229;;3174695.25;
;HU;1995;p99.5p100;15716777.0842;;20807375.9092;1.7477302551;;1.7477302551;11905370.0;;;0.0476;;0.0476;;8992679.0;
;HU;1994;p0p100;1709355.3885;;2109635.25;;;;;14300780.3465;17649595.0019;;;;;;
;HU;1994;p99p100;11719828.7085;;14464261.7525;1.6666018963;;1.6666017771;8678895.0;;;0.06856;;0.06856;;7032170.5;
;HU;1994;p99.9p100;26060294.3582;;32162835.1677;1.3998939991;;1.3998939991;22975194.0;;;0.01525;;0.01525;;18615906.0;
;HU;1994;p99.99p100;48903902.3236;;60355732.2827;1.3741691113;;1.3741692305;43921616.0;;;0.00286;;0.00286;;35587980.0;
;HU;1994;p90p100;4494240.45614;;5546657.03342;1.771066308;;1.7710661888;3131818.0;;;0.26292;;0.26292;;2537590.25;
;HU;1994;p90p95;;;;;;;3131818.0;;;0.08633;;0.08633;;2537590.25;
;HU;1994;p95p99;;;;;;;4327276.0;;;0.10803;;0.10803;;3506223.5;
;HU;1994;p99.5p99.9;;;;;;;11998112.0;;;0.02968;;0.02968;;9721603.0;
;HU;1994;p99.9p99.99;;;;;;;22975194.0;;;0.01239;;0.01239;;18615906.0;
;HU;1994;p99p99.5;;;;;;;8678895.0;;;0.02363;;0.02363;;7032170.5;
;HU;1994;p95p100;6037234.11382;;7450973.61537;1.7218623161;;1.7218623161;4327276.0;;;0.17659;;0.17659;;3506223.5;
;HU;1994;p99.5p100;15360621.4518;;18957619.1671;1.58005023;;1.58005023;11998112.0;;;0.04493;;0.04493;;9721603.0;
;HU;1993;p0p100;1703624.91166;;2040556.625;;;;;14229243.4365;17043409.4761;;;;;;
;HU;1993;p99p100;11663380.1185;;13970086.6123;1.7429192066;;1.7429192066;8015338.0;;;0.06846;;0.06846;;6691865.0;
;HU;1993;p99.9p100;32352309.0287;;38750735.6055;1.8524018526;;1.8524017334;20919186.0;;;0.01899;;0.01899;;17465060.0;
;HU;1993;p99.99p100;104210396.102;;124820441.815;2.0989894867;;2.0989894867;59466920.0;;;0.00612;;0.00612;;49647888.0;
;HU;1993;p90p100;4412422.41253;;5285082.25289;1.7630290985;;1.7630290985;2997728.25;;;0.259;;0.259;;2502750.75;
;HU;1993;p90p95;;;;;;;2997728.25;;;0.0851;;0.0851;;2502750.75;
;HU;1993;p95p99;;;;;;;4102966.5;;;0.10544;;0.10544;;3425494.75;
;HU;1993;p99.5p99.9;;;;;;;10621636.0;;;0.02722;;0.02722;;8867817.0;
;HU;1993;p99.9p99.99;;;;;;;20919186.0;;;0.01287;;0.01287;;17465060.0;
;HU;1993;p99p99.5;;;;;;;8015338.0;;;0.02225;;0.02225;;6691865.0;
;HU;1993;p95p100;5925166.80551;;7097007.26755;1.7297258377;;1.7297258377;4102966.5;;;0.1739;;0.1739;;3425494.75;
;HU;1993;p99.5p100;15745148.9327;;18859120.7762;1.7755383253;;1.7755382061;10621636.0;;;0.04621;;0.04621;;8867817.0;
;HU;1992;p0p100;1783702.15033;;2076545.625;;;;;14853948.3962;17292630.1347;;;;;;
;HU;1992;p99p100;11607390.191;;13513060.6388;1.6380642653;;1.638064146;8249408.5;;;0.06507;;0.06507;;7086041.0;
;HU;1992;p99.9p100;27232579.4761;;31703551.9401;1.5646544695;;1.5646544695;20262334.0;;;0.01527;;0.01527;;17404852.0;
;HU;1992;p99.99p100;69611496.646;;81040127.0098;1.795126915;;1.7951270342;45144508.0;;;0.0039;;0.0039;;38778036.0;
;HU;1992;p90p100;4569131.98137;;5319279.9169;1.738396287;;1.7383961678;3059877.75;;;0.25616;;0.25616;;2628360.5;
;HU;1992;p90p95;;;;;;;3059877.75;;;0.08545;;0.08545;;2628360.5;
;HU;1992;p95p99;;;;;;;4193982.5;;;0.10564;;0.10564;;3602529.0;
;HU;1992;p99.5p99.9;;;;;;;10998667.0;;;0.02712;;0.02712;;9447587.0;
;HU;1992;p99.9p99.99;;;;;;;20262334.0;;;0.01137;;0.01137;;17404852.0;
;HU;1992;p99p99.5;;;;;;;8249408.5;;;0.02268;;0.02268;;7086041.0;
;HU;1992;p95p100;6090036.32389;;7089882.28901;1.6904891729;;1.6904892921;4193982.5;;;0.17071;;0.17071;;3602529.0;
;HU;1992;p99.5p100;15123248.067;;17606142.7091;1.6007524729;;1.6007523537;10998667.0;;;0.04239;;0.04239;;9447587.0;
;HU;1991;p0p100;;;;;;;;0.0;;;;;;;
;HU;1990;p0p100;;;;;;;;0.0;;;;;;;
;HU;1989;p0p100;;;;;;;;0.0;;;;;;;
;HU;1988;p0p100;2165268.32713;;2578543.75;;;;;18125497.9543;21585033.5407;;;;;;
;HU;1988;p99p100;7573471.61827;;9018987.46793;1.4145056009;;1.4145054817;6376071.0;;;0.03498;;0.03498;;5354147.5;
;HU;1988;p99.9p100;14871766.9257;;17710276.9098;1.4150288105;;1.4150288105;12515842.0;;;0.00687;;0.00687;;10509869.0;
;HU;1988;p99.99p100;29218852.9838;;34795729.3789;1.4150288105;;1.4150286913;24590122.0;;;0.00135;;0.00135;;20648946.0;
;HU;1988;p90p100;3832482.02093;;4563971.32781;1.442414999;;1.4424151182;3164117.75;;;0.177;;0.177;;2656989.75;
;HU;1988;p90p95;;;;;;;3164117.75;;;0.06798;;0.06798;;2656989.75;
;HU;1988;p95p99;;;;;;;3953184.25;;;0.07404;;0.07404;;3319588.75;
;HU;1988;p99.5p99.9;;;;;;;7809859.0;;;0.01455;;0.01455;;6558136.0;
;HU;1988;p99.9p99.99;;;;;;;12515842.0;;;0.00552;;0.00552;;10509869.0;
;HU;1988;p99p99.5;;;;;;;6376071.0;;;0.01356;;0.01356;;5354147.5;
;HU;1988;p95p100;4721216.73089;;5622334.99714;1.4222294092;;1.4222294092;3953184.25;;;0.10902;;0.10902;;3319588.75;
;HU;1988;p99.5p100;9276050.3485;;11046530.0541;1.4144339561;;1.4144339561;7809859.0;;;0.02142;;0.02142;;6558136.0;
;HU;1987;p0p100;;;;;;;;17368565.3572;;;;;;;
;HU;1986;p0p100;2058121.97074;;2423315.5;;;;;17208925.5013;20262480.309;;;;;;
;HU;1986;p99p100;5427056.33974;;6390034.18381;1.2859719992;;1.2859719992;4969030.5;;;0.02637;;0.02637;;4220198.0;
;HU;1986;p99.9p100;9056125.65829;;10663046.209;1.2859719992;;1.2859719992;8291818.0;;;0.0044;;0.0044;;7042241.5;
;HU;1986;p99.99p100;15111951.453;;17793418.8119;1.2859719992;;1.2859719992;13836552.0;;;0.00073;;0.00073;;11751384.0;
;HU;1986;p90p100;3229334.40382;;3802348.07593;1.3119925261;;1.3119925261;2898147.75;;;0.15691;;0.15691;;2461397.0;
;HU;1986;p90p95;;;;;;;2898147.75;;;0.06486;;0.06486;;2461397.0;
;HU;1986;p95p99;;;;;;;3452425.0;;;0.06568;;0.06568;;2932144.75;
;HU;1986;p99.5p99.9;;;;;;;5797144.5;;;0.01098;;0.01098;;4923515.5;
;HU;1986;p99.9p99.99;;;;;;;8291818.0;;;0.00367;;0.00367;;7042241.5;
;HU;1986;p99p99.5;;;;;;;4969030.5;;;0.01099;;0.01099;;4220198.0;
;HU;1986;p95p100;3789180.46386;;4461533.32064;1.2922897339;;1.2922897339;3452425.0;;;0.09205;;0.09205;;2932144.75;
;HU;1986;p99.5p100;6331502.92091;;7454965.92752;1.2859719992;;1.2859721184;5797144.5;;;0.01538;;0.01538;;4923515.5;
;HU;1985;p0p100;;;;;;;;16680952.7261;;;;;;;
;HU;1984;p0p100;1949129.56466;;2481971.0;;;;;16282629.3584;20733877.6262;;;;;;
;HU;1984;p99p100;4822348.02118;;6140652.81111;1.2575060129;;1.2575060129;4883199.5;;;0.02474;;0.02474;;3834850.75;
;HU;1984;p99.9p100;7727406.70018;;9839879.13515;1.2575060129;;1.2575061321;7824915.5;;;0.00396;;0.00396;;6145025.5;
;HU;1984;p99.99p100;12382518.6502;;15767577.8737;1.2575060129;;1.2575060129;12538769.0;;;0.00064;;0.00064;;9846886.0;
;HU;1984;p90p100;2979421.91253;;3793918.5356;1.2877075672;;1.287707448;2946258.0;;;0.15286;;0.15286;;2313741.0;
;HU;1984;p90p95;;;;;;;2946258.0;;;0.06408;;0.06408;;2313741.0;
;HU;1984;p95p99;;;;;;;3478518.25;;;0.06404;;0.06404;;2731733.25;
;HU;1984;p99.5p99.9;;;;;;;5627920.0;;;0.0103;;0.0103;;4419691.5;
;HU;1984;p99.9p99.99;;;;;;;7824915.5;;;0.00332;;0.00332;;6145025.5;
;HU;1984;p99p99.5;;;;;;;4883199.5;;;0.01048;;0.01048;;3834850.75;
;HU;1984;p95p100;3460701.92056;;4406768.0067;1.2668520212;;1.2668520212;3478518.25;;;0.08878;;0.08878;;2731733.25;
;HU;1984;p99.5p100;5557788.72376;;7077143.91417;1.2575060129;;1.2575061321;5627920.0;;;0.01426;;0.01426;;4419691.5;
;HU;1983;p0p100;;;;;;;;16005949.672;;;;;;;
;HU;1982;p0p100;1893037.95042;;2496956.5;;;;;15803339.0737;20844933.517;;;;;;
;HU;1982;p99p100;4831520.05772;;6372875.62582;1.2057738304;;1.2057738304;5285299.5;;;0.02552;;0.02552;;4006987.0;
;HU;1982;p99.9p100;7151851.13846;;9433440.66779;1.2052897215;;1.2052897215;7826699.5;;;0.00378;;0.00378;;5933719.5;
;HU;1982;p99.99p100;10586257.1921;;13963493.8119;1.2052897215;;1.2052897215;11585176.0;;;0.00056;;0.00056;;8783164.0;
;HU;1982;p90p100;3153232.672;;4159179.59521;1.264197588;;1.264197588;3289975.75;;;0.16657;;0.16657;;2494256.25;
;HU;1982;p90p95;;;;;;;3289975.75;;;0.0709;;0.0709;;2494256.25;
;HU;1982;p95p99;;;;;;;3852071.5;;;0.07015;;0.07015;;2920402.25;
;HU;1982;p99.5p99.9;;;;;;;5950142.0;;;0.01058;;0.01058;;4511029.5;
;HU;1982;p99.9p99.99;;;;;;;7826699.5;;;0.00322;;0.00322;;5933719.5;
;HU;1982;p99p99.5;;;;;;;5285299.5;;;0.01116;;0.01116;;4006987.0;
;HU;1982;p95p100;3622197.97577;;4777754.60226;1.2403079271;;1.2403079271;3852071.5;;;0.09567;;0.09567;;2920402.25;
;HU;1982;p99.5p100;5437097.45017;;7171644.82429;1.2052897215;;1.2052897215;5950142.0;;;0.01436;;0.01436;;4511029.5;
;HU;1981;p0p100;;;;;;;;15708637.7802;;;;;;;
;HU;1980;p0p100;1821106.39396;;2355963.25;;;;;15239235.2955;19714981.1968;;;;;;
;HU;1980;p99p100;4793223.20799;;6200987.35829;1.2274593115;;1.2274593115;5051888.5;;;0.02632;;0.02632;;3904995.75;
;HU;1980;p99.9p100;7344067.32305;;9501011.45984;1.2274593115;;1.2274591923;7740388.5;;;0.00403;;0.00403;;5983145.5;
;HU;1980;p99.99p100;11252412.5218;;14557233.1541;1.2274593115;;1.2274591923;11859647.0;;;0.00062;;0.00062;;9167239.0;
;HU;1980;p90p100;3089999.3076;;3997528.55481;1.2572643757;;1.2572643757;3179545.0;;;0.16968;;0.16968;;2457716.5;
;HU;1980;p90p95;;;;;;;3179545.0;;;0.0723;;0.0723;;2457716.5;
;HU;1980;p95p99;;;;;;;3700912.0;;;0.07106;;0.07106;;2860721.25;
;HU;1980;p99.5p99.9;;;;;;;5744303.0;;;0.01093;;0.01093;;4440216.5;
;HU;1980;p99.9p99.99;;;;;;;7740388.5;;;0.00341;;0.00341;;5983145.5;
;HU;1980;p99p99.5;;;;;;;5051888.5;;;0.01136;;0.01136;;3904995.75;
;HU;1980;p95p100;3546654.26909;;4588302.55394;1.2397762537;;1.2397761345;3700912.0;;;0.09738;;0.09738;;2860721.25;
;HU;1980;p99.5p100;5450184.69314;;7050897.67699;1.2274591923;;1.2274591923;5744303.0;;;0.01496;;0.01496;;4440216.5;
;HU;1979;p0p100;;;;;;;;15204246.4575;;;;;;;
;HU;1978;p0p100;1811874.67966;;2460448.5;;;;;15237089.1531;20691316.884;;;;;;
;HU;1978;p99p100;5006483.57396;;6798591.06046;1.2166730165;;1.2166730165;5587854.0;;;0.02763;;0.02763;;4114896.5;
;HU;1978;p99.9p100;7544305.8145;;10244845.371;1.2166730165;;1.2166730165;8420377.0;;;0.00416;;0.00416;;6200767.0;
;HU;1978;p99.99p100;11368568.2539;;15438030.5776;1.2166730165;;1.2166730165;12688726.0;;;0.00063;;0.00063;;9343980.0;
;HU;1978;p90p100;3196548.89364;;4340776.99678;1.2736444473;;1.2736445665;3408154.25;;;0.17642;;0.17642;;2509765.5;
;HU;1978;p90p95;;;;;;;3408154.25;;;0.07455;;0.07455;;2509765.5;
;HU;1978;p95p99;;;;;;;4002276.5;;;0.07424;;0.07424;;2947277.0;
;HU;1978;p99.5p99.9;;;;;;;6321999.0;;;0.01147;;0.01147;;4655521.0;
;HU;1978;p99.9p99.99;;;;;;;8420377.0;;;0.00353;;0.00353;;6200767.0;
;HU;1978;p99p99.5;;;;;;;5587854.0;;;0.012;;0.012;;4114896.5;
;HU;1978;p95p100;3691651.15886;;5013104.74631;1.2525633574;;1.2525633574;4002276.5;;;0.10187;;0.10187;;2947277.0;
;HU;1978;p99.5p100;5664246.83425;;7691805.50034;1.2166730165;;1.2166730165;6321999.0;;;0.01563;;0.01563;;4655521.0;
;HU;1977;p0p100;;;;;;;;14827744.2077;;;;;;;
;HU;1976;p0p100;1670864.30437;;2237347.0;;;;;14044861.6533;18806571.5469;;;;;;
;HU;1976;p99p100;4536443.28114;;6074459.63097;1.1943258047;;1.1943258047;5086099.5;;;0.02715;;0.02715;;3798329.75;
;HU;1976;p99.9p100;6576312.71369;;8805917.68137;1.1918056011;;1.1918056011;7388720.0;;;0.00394;;0.00394;;5517940.5;
;HU;1976;p99.99p100;9526194.57505;;12755914.8868;1.1918056011;;1.1918056011;10703016.0;;;0.00057;;0.00057;;7993077.5;
;HU;1976;p90p100;2964119.05042;;3969061.31022;1.2683316469;;1.2683316469;3129356.0;;;0.1774;;0.1774;;2337022.0;
;HU;1976;p90p95;;;;;;;3129356.0;;;0.07541;;0.07541;;2337022.0;
;HU;1976;p95p99;;;;;;;3682350.0;;;0.07484;;0.07484;;2750001.25;
;HU;1976;p99.5p99.9;;;;;;;5700956.0;;;0.01125;;0.01125;;4257508.5;
;HU;1976;p99.9p99.99;;;;;;;7388720.0;;;0.00337;;0.00337;;5517940.5;
;HU;1976;p99p99.5;;;;;;;5086099.5;;;0.01196;;0.01196;;3798329.75;
;HU;1976;p95p100;3408066.14523;;4563522.33146;1.2392961979;;1.2392961979;3682350.0;;;0.10199;;0.10199;;2750001.25;
;HU;1976;p99.5p100;5075606.3271;;6796418.21267;1.1921541691;;1.1921541691;5700956.0;;;0.01519;;0.01519;;4257508.5;
;HU;1975;p0p100;;;;;;;;13815829.3835;;;;;;;
;HU;1974;p0p100;1586418.87198;;2093244.0;;;;;13272047.6093;17512168.1396;;;;;;
;HU;1974;p99p100;4465054.74835;;5891539.25657;1.1942471266;;1.1942471266;4933266.5;;;0.02815;;0.02815;;3738803.0;
;HU;1974;p99.9p100;6392846.45451;;8435217.02883;1.1832604408;;1.1832604408;7128791.5;;;0.00403;;0.00403;;5402738.5;
;HU;1974;p99.99p100;9132123.3927;;12049631.3027;1.1832604408;;1.1832603216;10183415.0;;;0.00058;;0.00058;;7717763.0;
;HU;1974;p90p100;2899254.00209;;3825500.40946;1.2815989256;;1.2815989256;2984943.5;;;0.18275;;0.18275;;2262216.25;
;HU;1974;p90p95;;;;;;;2984943.5;;;0.07715;;0.07715;;2262216.25;
;HU;1974;p95p99;;;;;;;3543184.0;;;0.07745;;0.07745;;2685293.25;
;HU;1974;p99.5p99.9;;;;;;;5555987.0;;;0.01167;;0.01167;;4210747.5;
;HU;1974;p99.9p99.99;;;;;;;7128791.5;;;0.00345;;0.00345;;5402738.5;
;HU;1974;p99p99.5;;;;;;;4933266.5;;;0.01245;;0.01245;;3738803.0;
;HU;1974;p95p100;3350668.28365;;4421131.39511;1.247784853;;1.247784853;3543184.0;;;0.1056;;0.1056;;2685293.25;
;HU;1974;p99.5p100;4982410.98544;;6574179.16856;1.1832604408;;1.1832603216;5555987.0;;;0.0157;;0.0157;;4210747.5;
;HU;1973;p0p100;;;;;;;;12307155.6112;;;;;;;
;HU;1972;p0p100;1404018.7446;;1946640.375;;;;;11639327.2209;16137665.1082;;;;;;
;HU;1972;p99p100;4217508.73169;;5847480.89057;1.2188045979;;1.2188044786;4797718.5;;;0.03004;;0.03004;;3460365.0;
;HU;1972;p99.9p100;6329946.68432;;8776328.54598;1.2136678696;;1.2136679888;7231243.5;;;0.00451;;0.00451;;5215551.0;
;HU;1972;p99.99p100;9494048.42206;;13163284.3591;1.2136678696;;1.2136678696;10845870.0;;;0.00068;;0.00068;;7822608.0;
;HU;1972;p90p100;2667133.92508;;3697921.13109;1.2923324108;;1.2923322916;2861432.0;;;0.18996;;0.18996;;2063814.25;
;HU;1972;p90p95;;;;;;;2861432.0;;;0.07964;;0.07964;;2063814.25;
;HU;1972;p95p99;;;;;;;3403307.25;;;0.08028;;0.08028;;2454643.0;
;HU;1972;p99.5p99.9;;;;;;;5447012.5;;;0.01247;;0.01247;;3928669.75;
;HU;1972;p99.9p99.99;;;;;;;7231243.5;;;0.00383;;0.00383;;5215551.0;
;HU;1972;p99p99.5;;;;;;;4797718.5;;;0.01306;;0.01306;;3460365.0;
;HU;1972;p95p100;3097772.18936;;4294991.3878;1.2620052099;;1.2620052099;3403307.25;;;0.11032;;0.11032;;2454643.0;
;HU;1972;p99.5p100;4768100.61313;;6610864.13647;1.2136679888;;1.2136678696;5447012.5;;;0.01698;;0.01698;;3928669.75;
;HU;1971;p0p100;;;;;;;;11212577.8575;;;;;;;
;HU;1970;p0p100;1325361.19571;;1778468.0;;;;;10795670.0316;14486431.1344;;;;;;
;HU;1970;p99p100;4258949.9952;;5714975.13628;1.2276331186;;1.2276331186;4655279.5;;;0.03213;;0.03213;;3469236.75;
;HU;1970;p99.9p100;6579929.38475;;8829437.50799;1.2346537113;;1.2346537113;7151347.0;;;0.00496;;0.00496;;5329372.5;
;HU;1970;p99.99p100;10192425.4102;;13676952.738;1.2346537113;;1.2346537113;11077562.0;;;0.00077;;0.00077;;8255290.5;
;HU;1970;p90p100;2665858.17991;;3577246.32414;1.3012627363;;1.3012627363;2749057.75;;;0.20114;;0.20114;;2048670.25;
;HU;1970;p90p95;;;;;;;2749057.75;;;0.08398;;0.08398;;2048670.25;
;HU;1970;p95p99;;;;;;;3288362.0;;;0.08503;;0.08503;;2450574.0;
;HU;1970;p99.5p99.9;;;;;;;5266768.0;;;0.01332;;0.01332;;3924934.5;
;HU;1970;p99.9p99.99;;;;;;;7151347.0;;;0.00419;;0.00419;;5329372.5;
;HU;1970;p99p99.5;;;;;;;4655279.5;;;0.01385;;0.01385;;3469236.75;
;HU;1970;p95p100;3105474.75002;;4167156.45938;1.2672438622;;1.2672438622;3288362.0;;;0.11716;;0.11716;;2450574.0;
;HU;1970;p99.5p100;4845934.87875;;6502635.00986;1.2346537113;;1.2346538305;5266768.0;;;0.01828;;0.01828;;3924934.5;
;HU;1969;p0p100;;;;;;;;9928312.38659;;;;;;;
;HU;1968;p0p100;1169755.62385;;1588003.625;;;;;9319053.13356;12651095.5416;;;;;;
;HU;1968;p99p100;3263202.8418;;4429966.25639;1.2127091885;;1.2127093077;3652950.0;;;0.0279;;0.0279;;2690837.0;
;HU;1968;p99.9p100;4923575.87899;;6684008.33847;1.2183389664;;1.2183389664;5486165.0;;;0.00421;;0.00421;;4041220.25;
;HU;1968;p99.99p100;7438596.00235;;10098277.9444;1.2183389664;;1.2183389664;8288562.0;;;0.00064;;0.00064;;6105522.5;
;HU;1968;p90p100;2111270.62217;;2866158.82241;1.2695852518;;1.2695852518;2257555.25;;;0.18049;;0.18049;;1662960.875;
;HU;1968;p90p95;;;;;;;2257555.25;;;0.07651;;0.07651;;1662960.875;
;HU;1968;p95p99;;;;;;;2658629.75;;;0.07608;;0.07608;;1958400.625;
;HU;1968;p99.5p99.9;;;;;;;4111556.0;;;0.01156;;0.01156;;3028655.5;
;HU;1968;p99.9p99.99;;;;;;;5486165.0;;;0.00357;;0.00357;;4041220.25;
;HU;1968;p99p99.5;;;;;;;3652950.0;;;0.01213;;0.01213;;2690837.0;
;HU;1968;p95p100;2432640.24076;;3302434.66403;1.2421566248;;1.2421566248;2658629.75;;;0.10398;;0.10398;;1958400.625;
;HU;1968;p99.5p100;3689928.79275;;5009268.75614;1.2183388472;;1.2183389664;4111556.0;;;0.01577;;0.01577;;3028655.5;
;HU;1967;p0p100;;;;;;;;8668509.70939;;;;;;;
;HU;1966;p0p100;1037357.87344;;1368689.875;;;;;8115708.26389;10707864.6759;;;;;;
;HU;1966;p99p100;3002155.61361;;3961043.81789;1.1960908175;;1.1960908175;3311658.0;;;0.02894;;0.02894;;2509973.0;
;HU;1966;p99.9p100;4351178.94576;;5740945.0681;1.191795826;;1.191795826;4817054.0;;;0.00419;;0.00419;;3650943.25;
;HU;1966;p99.99p100;6302851.10917;;8315981.12632;1.191795826;;1.191795826;6977689.5;;;0.00061;;0.00061;;5288532.5;
;HU;1966;p90p100;1987191.81086;;2621900.67753;1.2616683245;;1.2616684437;2078121.875;;;0.19156;;0.19156;;1575050.875;
;HU;1966;p90p95;;;;;;;2078121.875;;;0.08186;;0.08186;;1575050.875;
;HU;1966;p95p99;;;;;;;2441946.25;;;0.08076;;0.08076;;1850800.75;
;HU;1966;p99.5p99.9;;;;;;;3717887.25;;;0.012;;0.012;;2817862.25;
;HU;1966;p99.9p99.99;;;;;;;4817054.0;;;0.00358;;0.00358;;3650943.25;
;HU;1966;p99p99.5;;;;;;;3311658.0;;;0.01275;;0.01275;;2509973.0;
;HU;1966;p95p100;2276005.89917;;3002961.95691;1.2297412157;;1.2297412157;2441946.25;;;0.1097;;0.1097;;1850800.75;
;HU;1966;p99.5p100;3358316.5457;;4430962.51626;1.191795826;;1.191795826;3717887.25;;;0.01619;;0.01619;;2817862.25;
;HU;1965;p0p100;;;;;;;;7595171.7344;;;;;;;
;HU;1964;p0p100;1003326.77052;;1306855.0;;;;;7698647.36833;10027656.0959;;;;;;
;HU;1964;p99p100;3133786.80594;;4081825.65903;1.2614946365;;1.2614947557;3235705.75;;;0.03123;;0.03123;;2484185.5;
;HU;1964;p99.9p100;5050786.55914;;6578759.64513;1.2614946365;;1.2614946365;5215051.5;;;0.00503;;0.00503;;4003811.25;
