Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;FO;2014;p0p100;50616.2890625;338322.90625;287706.625;287706.625;48842.0;2472200704.0;16524366848.0;14052166656.0;14052166656.0;0.9546025991;9.978925705;;7.6466283798;5.6124668121;2.2109436989;
;FO;2013;p0p100;48415.5898438;320347.78125;271932.1875;271932.1875;48747.0;2360114688.0;15615992832.0;13255878656.0;13255878656.0;0.9399328232;9.9134016037;;7.6591172218;5.6163115501;2.1870274544;
;FO;2012;p0p100;46563.0625;303065.21875;256502.171875;256502.171875;48666.0;2266038016.0;14748972032.0;12482934784.0;12482934784.0;0.925488472;9.8810081482;;7.6641187668;5.7924757004;2.1950540543;
;FO;2011;p0p100;45170.4492188;299222.4375;254052.0;254052.0;48608.0;2195645184.0;14544604160.0;12348959744.0;12348959744.0;0.9112661481;9.854060173;;7.6900000572;5.3687114716;2.1936731339;
;FO;2010;p0p100;44189.515625;297092.96875;252903.46875;252903.46875;48550.0;2145400960.0;14423864320.0;12278463488.0;12278463488.0;0.8972623348;9.8025817871;;7.735558033;5.6240749359;2.3343162537;
;FO;2009;p0p100;43464.0625;282291.34375;238827.296875;238827.296875;48517.0;2108745856.0;13695929344.0;11587183616.0;11587183616.0;0.8834736943;9.7150764465;;7.7386236191;5.3608665466;2.4573011398;
;FO;2008;p0p100;42926.609375;291699.4375;248772.828125;248772.828125;48485.0;2081296640.0;14143047680.0;12061750272.0;12061750272.0;0.8698970079;9.6582956314;;7.7074904442;5.098130703;2.3849422932;
;FO;2007;p0p100;42245.2382812;298864.03125;256618.796875;256618.796875;48448.0;2046697216.0;14479364096.0;12432667648.0;12432667648.0;0.8565289378;9.7052707672;;7.7423887253;5.4437007904;2.5315623283;
;FO;2006;p0p100;41205.8984375;287124.53125;245918.625;245918.625;48383.0;1993665024.0;13891946496.0;11898280960.0;11898280960.0;0.8433663249;9.7914628983;;7.8325943947;5.9467782974;2.6800720692;
;FO;2005;p0p100;39959.1054688;258877.671875;218918.5625;218918.5625;48285.0;1929425408.0;12499908608.0;10570482688.0;10570482688.0;0.8304059505;9.8295984268;;7.9409894943;5.9969100952;2.7284269333;
;FO;2004;p0p100;38870.6367188;256301.078125;217430.453125;217430.453125;48143.0;1871348992.0;12339102720.0;10467753984.0;10467753984.0;0.8176447749;9.8632946014;;8.0575218201;5.9910564423;2.8005685806;
;FO;2003;p0p100;37935.71875;253606.21875;215670.5;215670.5;47974.0;1819928192.0;12166505472.0;10346576896.0;10346576896.0;0.805079639;9.8984565735;;8.1556501389;6.5876731873;2.9404432774;
;FO;2002;p0p100;36967.5117188;263509.9375;226542.421875;226542.421875;47769.0;1765901056.0;12587606016.0;10821704704.0;10821704704.0;0.7955446839;9.996846199;;8.2368125916;7.8947143555;3.0059118271;
;FO;2001;p0p100;35663.4257812;256265.484375;220602.0625;220602.0625;47526.0;1694939904.0;12179273728.0;10484333568.0;10484333568.0;0.7892099023;10.1603631973;;8.3164167404;8.3228178024;2.9835152626;
;FO;2000;p0p100;34012.1796875;230416.8125;196404.640625;196404.640625;47258.0;1607347584.0;10889037824.0;9281690624.0;9281690624.0;0.7885903716;10.3999576569;;8.5186424255;8.0831441879;3.0345709324;
;FO;1999;p0p100;32317.7324219;221808.15625;189490.421875;189490.421875;46937.0;1516897408.0;10411010048.0;8894111744.0;8894111744.0;0.7542970181;10.0899190903;;8.3402223587;6.9762401581;3.0989480019;
;FO;1998;p0p100;30692.8945312;213297.875;182604.984375;182604.984375;46580.0;1429675008.0;9935415296.0;8505740288.0;8505740288.0;0.7457164526;10.1378698349;;8.3757104874;6.7008266449;3.0987038612;
;FO;1997;p0p100;;;;;46251.0;;;;;;;;;6.6044592857;;
;FO;1996;p0p100;;;;;46058.0;;;;;;;;;5.7986717224;;
;FO;1995;p0p100;;;;;46040.0;;;;;;;;;5.6023664474;;
;FO;1994;p0p100;;;;;46250.0;;;;;;;;;6.3605518341;;
;FO;1993;p0p100;;;;;46640.0;;;;;;;;;6.4839391708;;
;FO;1992;p0p100;;;;;47101.0;;;;;;;;;6.0361332893;;
;FO;1991;p0p100;;;;;47457.0;;;;;;;;;6.396458149;;
;FO;1990;p0p100;;;;;47594.0;;;;;;;;;6.1885581017;;
;FO;1989;p0p100;;;;;47466.0;;;;;;;;;7.310174942;;
;FO;1988;p0p100;;;;;47117.0;;;;;;;;;6.7315249443;;
;FO;1987;p0p100;;;;;46621.0;;;;;;;;;6.8403167725;;
;FO;1986;p0p100;;;;;46077.0;;;;;;;;;8.0909919739;;
;FO;1985;p0p100;;;;;45573.0;;;;;;;;;10.5963916779;;
;FO;1984;p0p100;;;;;45122.0;;;;;;;;;10.3565912247;;
;FO;1983;p0p100;;;;;44700.0;;;;;;;;;9.1449918747;;
;FO;1982;p0p100;;;;;44307.0;;;;;;;;;8.33244133;;
;FO;1981;p0p100;;;;;43917.0;;;;;;;;;7.1233668327;;
;FO;1980;p0p100;;;;;43514.0;;;;;;;;;5.6359415054;;
;FO;1979;p0p100;;;;;43101.0;;;;;;;;;5.2609581947;;
;FO;1978;p0p100;;;;;42693.0;;;;;;;;;5.5146250725;;
;FO;1977;p0p100;;;;;42275.0;;;;;;;;;6.0031914711;;
;FO;1976;p0p100;;;;;41848.0;;;;;;;;;6.0450248718;;
;FO;1975;p0p100;;;;;41407.0;;;;;;;;;5.7461500168;;
;FO;1974;p0p100;;;;;40955.0;;;;;;;;;6.0949001312;;
;FO;1973;p0p100;;;;;40486.0;;;;;;;;;6.0494999886;;
;FO;1972;p0p100;;;;;40009.0;;;;;;;;;6.9492917061;;
;FO;1971;p0p100;;;;;39537.0;;;;;;;;;7.4263381958;;
;FO;1970;p0p100;;;;;39083.0;;;;;;;;;7.5;;
;FO;1969;p0p100;;;;;38646.0;;;;;;;;;7.5;;
;FO;1968;p0p100;;;;;38200.0;;;;;;;;;7.5;;
;FO;1967;p0p100;;;;;37768.0;;;;;;;;;6.9565448761;;
;FO;1966;p0p100;;;;;37334.0;;;;;;;;;6.9071397781;;
;FO;1965;p0p100;;;;;36900.0;;;;;;;;;6.9071397781;;
;FO;1964;p0p100;;;;;36454.0;;;;;;;;;6.9071397781;;
;FO;1963;p0p100;;;;;36014.0;;;;;;;;;6.9071397781;;
;FO;1962;p0p100;;;;;35570.0;;;;;;;;;6.9071397781;;
;FO;1961;p0p100;;;;;35115.0;;;;;;;;;6.9071397781;;
;FO;1960;p0p100;;;;;34661.0;;;;;;;;;6.9071397781;;
;FO;1959;p0p100;;;;;34192.0;;;;;;;;;;;
;FO;1958;p0p100;;;;;33743.0;;;;;;;;;;;
