Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Post-tax national income | individuals | Share | Adults | share of total (ratio);Post-tax national income | tax unit | Share | Adults | share of total (ratio);Fiscal income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Share | Adults | share of total (ratio);Net personal wealth | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
;GB;2014;p90p100;83811.5805761;;;;;2.05269670486;;;0.3495;;0.3999;;;0.3999;;40829.9882812;54828.8515625
;GB;2014;p90p95;;;;;;;;;;;0.1146;;;0.1146;;40829.9882812;54828.8515625
;GB;2014;p95p99;;;;;;;;;;;0.1465;;;0.1465;;56403.609375;75742.0078125
;GB;2014;p99.5p99.9;;;;;;;;;;;0.0493;;;0.0493;;178394.125;239557.875
;GB;2014;p99.9p99.95;570102.530555;;;765566.408457;;;;;;;0.0136;;;0.0136;;461280.15625;619433.5
;GB;2014;p99p99.5;;;;;;;;;;;0.0347;;;0.0347;;124557.398438;167262.828125
;GB;2014;p95p100;119587.109771;;;;;2.12020325661;;;0.2369;;0.2853;;;0.2853;;56403.609375;75742.0078125
;GB;2014;p0p90;13974.4178082;;;18765.6505247;;;;;;;;;;;;;
;GB;2014;p99.5p100;436348.332544;;;;;2.44597935677;;;0.0765;;0.1041;;;0.1041;;178394.125;239557.875
;GB;2014;p99.95p100;1726869.43935;;;2318939.42528;;;;;;;0.0412;;;0.0412;;;
;GB;2013;p0p100;20572.7301981;20572.1658489;;32151.775152;34785.8661741;;1.08617538414e+12;1.69751241221e+12;;;;;;;;;
;GB;2013;p99p100;298913.57461;;;;;2.3925178051;;;0.1096;;0.1453;;;0.1453;;124936.828125;171030.46875
;GB;2013;p99.9p100;1201414.53726;;;;;2.5102994442;;;0.042;;0.0584;;;0.0584;;478594.09375;655164.4375
;GB;2013;p90p100;84942.4702739;;;;;2.06922626495;;;0.3623;;0.4129;;;0.4129;;41050.3554688;56195.2929688
;GB;2013;p90p95;;;;;;;;;;;0.1173;;;0.1173;;41050.3554688;56195.2929688
;GB;2013;p95p99;;;;;;;;;;;0.1503;;;0.1503;;56640.0195312;77536.53125
;GB;2013;p99.5p99.9;;;;;;;;;;;0.0512;;;0.0512;;179231.921875;245356.9375
;GB;2013;p99.9p99.95;580177.147968;;;794225.111276;;;;;;;0.0141;;;0.0141;;478594.09375;655164.4375
;GB;2013;p99p99.5;;;;;;;;;;;0.0357;;;0.0357;;124936.828125;171030.46875
;GB;2013;p95p100;121622.647726;;;;;2.14729166031;;;0.2464;;0.2956;;;0.2956;;56640.0195312;77536.53125
;GB;2013;p0p90;13419.9095221;;;18370.9909479;;;;;;;;;;;;;
;GB;2013;p99.5p100;450941.876098;;;;;2.51596856117;;;0.0807;;0.1096;;;0.1096;;179231.921875;245356.9375
;GB;2013;p99.95p100;1822608.78717;;;2495033.9252;;;;;;;0.0443;;;0.0443;;;
;GB;2012;p0p100;20633.0660457;20633.0525106;118429.295896;31886.933118;34546.4162741;;1.08304955729e+12;1.67377582761e+12;;;;;;;;;
;GB;2012;p99p100;261975.805432;;2354521.58066;;;2.14430975914;;;0.0952;;0.126969002244;;0.198812427521;0.126969002244;;122172.5625;166154.140625
;GB;2012;p99.9p100;949041.096088;;;;;2.28493118286;;;0.0328;;0.0459961553765;;;0.0459961553765;;415347.78125;564871.125
;GB;2012;p90p100;80738.3013054;;614837.717618;;;1.97718501091;;;0.3398;;0.391305656569;;0.51916015625;0.391305656569;;40834.9765625;55535.3828125
;GB;2012;p90p95;;;306837.428359;;;;;;;;0.116376405979;;0.129544563293;0.116376405979;;40834.9765625;55535.3828125
;GB;2012;p95p99;;;564917.113431;;;;;;;;0.147960248346;;0.190803165436;0.147960248346;;56121.4140625;76324.875
;GB;2012;p99.5p99.9;;;;;;;;;;;0.046521092362;;;0.046521092362;;171379.203125;233074.953125
;GB;2012;p99.9p99.95;509626.741369;;;693090.094931;;;;;;;0.0123488708335;;;0.0123488708335;;415347.78125;564871.125
;GB;2012;p99p99.5;;;1157862.72095;;;;;;;;0.0344517545057;;0.0488841342926;0.0344517545057;;122172.5625;166154.140625
;GB;2012;p95p100;113452.59325;;922838.006876;;;2.02155613899;;;0.2278;;0.27492925059;;0.389615592957;0.27492925059;;56121.4140625;76324.875
;GB;2012;p0p90;13954.691501;;63272.8045932;18978.3181926;;;;;;;;;0.48083984375;;;;
;GB;2012;p99.5p100;381782.631639;;3551180.44037;;;2.22770690918;;;0.0677;;0.0925172477385;;0.149928293228;0.0925172477385;;171379.203125;233074.953125
;GB;2012;p99.95p100;1388427.50534;;;1888255.21379;;;;;;;0.033647284543;;;0.033647284543;;;
;GB;2011;p0p100;20778.0394259;20778.3668681;;32251.3618153;34967.6123563;;1.08398660296e+12;1.68254775583e+12;;;;;;;;;
;GB;2011;p99p100;268664.286729;;;;;2.19915008545;;;0.0966;;0.1293;;;0.1293;;122167.328125;173224.453125
;GB;2011;p99.9p100;997361.606529;;;;;2.35230112076;;;0.0333;;0.048;;;0.048;;423994.0;601192.9375
;GB;2011;p90p100;81347.3042164;;;;;1.98748612404;;;0.3446;;0.3915;;;0.3915;;40929.7460938;58035.421875
;GB;2011;p90p95;;;;;;;;;;;0.1157;;;0.1157;;40929.7460938;58035.421875
;GB;2011;p95p99;;;;;;;;;;;0.1465;;;0.1465;;56196.2539062;79682.234375
;GB;2011;p99.5p99.9;;;;;;;;;;;0.047;;;0.047;;172372.640625;244411.96875
;GB;2011;p99.9p99.95;519496.822806;;;736609.001783;;;;;;;0.0125;;;0.0125;;423994.0;601192.9375
;GB;2011;p99p99.5;;;;;;;;;;;0.0343;;;0.0343;;122167.328125;173224.453125
