Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
;BR;2015;p21p22;6580.92815831;8049.05515578;;;7866.48242188;0.0023148675;0.0021687686;6383.11474609
;BR;2015;p22p23;6969.10395037;8524.92187701;;;8261.94433594;0.0024514098;0.0022969879;6776.01806641
;BR;2015;p23p24;7360.11604125;9120.6103209;;;8807.79589844;0.0025889499;0.0024574925;7162.75097656
;BR;2015;p24p25;7768.24653597;9778.18931492;;;9443.63867188;0.0027325114;0.0026346731;7560.44287109
;BR;2015;p25p26;8201.24445445;10445.7756315;;;10114.2763672;0.0028848201;0.0028145502;7980.32617188
;BR;2015;p26p27;8658.94299453;11079.3996134;;;10771.4472656;0.0030458174;0.0029852763;8426.4375
;BR;2015;p27p28;9131.6802066;11645.1533654;;;11375.8330078;0.0032121046;0.0031377152;8894.14257812
;BR;2015;p28p29;9598.50189879;12121.6310163;;;11899.3408203;0.0033763109;0.0032660991;9368.453125
;BR;2015;p29p30;10025.1222819;12502.7232691;;;12327.7177734;0.0035263763;0.0033687821;9822.11035156
;BR;2015;p30p31;10367.6598083;12799.4864824;;;12663.5253906;0.0036468653;0.0034487431;10213.4140625
;BR;2015;p31p32;10605.5408864;13027.3753635;;;12924.1015625;0.0037305409;0.0035101464;10504.4619141
;BR;2015;p32p33;10741.9857248;13195.7422353;;;13120.7021484;0.0037785359;0.0035555118;10689.2265625
;BR;2015;p33p34;10806.2065466;13314.5572634;;;13262.4941406;0.0038011258;0.0035875258;10782.2822266
;BR;2015;p34p35;10831.5637863;13395.5326702;;;13360.28125;0.0038100453;0.0036093441;10824.2548828
;BR;2015;p35p36;10837.1735022;13452.351726;;;13426.7207031;0.0038120185;0.0036246537;10835.7138672
;BR;2015;p36p37;10840.0501777;13500.9314397;;;13476.5664062;0.0038130304;0.0036377432;10838.5087891
;BR;2015;p37p38;10845.4692626;13559.7310484;;;13526.9511719;0.0038149366;0.0036535864;10841.28125
;BR;2015;p38p39;10882.4596299;13650.0993916;;;13597.7167969;0.0038279481;0.0036779356;10855.0556641
;BR;2015;p39p40;10986.3740733;13796.6749967;;;13711.7871094;0.0038645004;0.0037174295;10921.4726562
;BR;2015;p40p41;11169.3474508;14025.268132;;;13895.5908203;0.003928862;0.0037790225;11064.5322266
;BR;2015;p41p42;11425.6416353;14337.1766991;;;14169.2314453;0.0040190145;0.0038630643;11286.8828125
;BR;2015;p42p43;11733.4273855;14707.7310624;;;14514.8662109;0.0041272794;0.0039629079;11572.9521484
;BR;2015;p43p44;12069.6198103;15111.5979453;;;14906.1005859;0.0042455364;0.0040717274;11898.5927734
;BR;2015;p44p45;12413.8902259;15526.2455342;;;15318.8251953;0.0043666349;0.0041834516;12241.9306641
;BR;2015;p45p46;12749.7834658;15933.1195393;;;15732.28125;0.0044847867;0.0042930814;12584.3681641
;BR;2015;p46p47;13066.0774506;16319.0750346;;;16130.3525391;0.0045960443;0.0043970747;12911.8183594
;BR;2015;p47p48;13358.440619;16678.1340682;;;16503.1601562;0.0046988842;0.0044938209;13216.2011719
;BR;2015;p48p49;13631.434878;17013.6148442;;;16848.9824219;0.004794911;0.0045842142;13497.2636719
;BR;2015;p49p50;13900.9593872;17340.7188838;;;17176.6015625;0.0048897173;0.0046723504;13764.7910156
;BR;2015;p50p51;14194.4557513;17687.0771467;;;17508.1679688;0.0049929558;0.0047656745;14041.2841797
;BR;2015;p51p52;14524.1574535;18067.3536743;;;17872.0097656;0.0051089297;0.0048681377;14354.0556641
;BR;2015;p52p53;14878.5802965;18474.134355;;;18267.1015625;0.0052335993;0.0049777422;14698.359375
;BR;2015;p53p54;15244.9917147;18898.54645;;;18684.0859375;0.005362486;0.0050920974;15060.7695312
;BR;2015;p54p55;15612.5297095;19333.0358608;;;19114.65625;0.0054917689;0.005209168;15429.3554688
;BR;2015;p55p56;15973.1189376;19772.0083032;;;19552.1171875;0.0056186076;0.0053274464;15794.4804688
;BR;2015;p56p57;16322.6118499;20212.6554017;;;19992.1152344;0.0057415431;0.005446176;16149.8183594
;BR;2015;p57p58;16662.2409289;20655.9864431;;;20433.5566406;0.005861009;0.0055656289;16493.640625
;BR;2015;p58p59;17000.4654277;21108.1625716;;;20879.7792969;0.0059799808;0.005687465;16830.4492188
;BR;2015;p59p60;17355.292038;21582.1593467;;;21340.0351562;0.0061047925;0.0058151805;17173.0429688
;BR;2015;p60p61;17754.1914887;22097.695886;;;21831.3828125;0.0062451069;0.0059540886;17545.125
;BR;2015;p61p62;18204.7029733;22659.823809;;;22372.1074219;0.0064035761;0.0061055506;17972.3164062
;BR;2015;p62p63;18686.566647;23253.1998796;;;22952.7402344;0.0065730736;0.0062654321;18442.3027344
;BR;2015;p63p64;19177.6123832;23860.8736066;;;23556.0214844;0.0067458008;0.0064291661;18932.328125
;BR;2015;p64p65;19657.7577298;24467.1509228;;;24165.453125;0.0069146939;0.0065925238;19421.0195312
;BR;2015;p65p66;20110.740799;25058.8229575;;;24766.3457031;0.0070740324;0.0067519462;19889.8671875
;BR;2015;p66p67;20526.5203647;25626.8631593;;;25347.2539062;0.0072202845;0.0069050011;20325.2597656
;BR;2015;p67p68;20904.5218862;26168.750039;;;25901.9550781;0.0073532481;0.0070510092;20721.2578125
;BR;2015;p68p69;21258.0537939;26691.6332889;;;26432.1484375;0.0074776043;0.0071918969;21083.3808594
;BR;2015;p69p70;21620.3414917;27216.6750995;;;26951.1523438;0.0076050404;0.0073333662;21433.7246094
;BR;2015;p70p71;22047.716456;27781.7945906;;;27488.9453125;0.0077553713;0.0074856342;21817.9960938
;BR;2015;p71p72;22573.2240504;28412.849557;;;28086.0800781;0.0079402206;0.0076556681;22294.5273438
;BR;2015;p72p73;23186.9924987;29109.9834416;;;28750.6425781;0.0081561161;0.0078435065;22866.6542969
;BR;2015;p73p74;23873.3887306;29870.0560486;;;29479.8261719;0.0083975587;0.0080483034;23519.4511719
;BR;2015;p74p75;24615.7643009;30689.2652694;;;30270.1503906;0.0086586922;0.0082690343;24236.65625
;BR;2015;p75p76;25397.4601737;31563.2732437;;;31117.5195312;0.0089336568;0.0085045304;25001.4003906
;BR;2015;p76p77;26203.5065158;32487.4379427;;;32017.3867188;0.0092171868;0.0087535409;25797.5097656
;BR;2015;p77p78;27023.4292101;33457.2763348;;;32965.0859375;0.0095055979;0.0090148579;26611.6738281
;BR;2015;p78p79;27855.764104;34469.3077623;;;33956.4609375;0.009798375;0.0092875436;27436.9941406
;BR;2015;p79p80;28715.2242083;35522.4538091;;;34988.9296875;0.0101006934;0.0095713073;28278.6113281
;BR;2015;p80p81;29640.573818;36621.2597232;;;36063.3085938;0.0104261888;0.0098673739;29162.6660156
;BR;2015;p81p82;30668.4061525;37787.501217;;;37190.1445312;0.0107877329;0.0101816105;30135.953125
;BR;2015;p82p83;31814.7421633;39062.2099548;;;38402.7382812;0.0111909611;0.0105250729;31220.5546875
;BR;2015;p83p84;33096.4606414;40499.0164058;;;39748.4609375;0.0116418106;0.0109122116;32431.4140625
;BR;2015;p84p85;34535.4576816;42165.7778383;;;41287.6171875;0.0121479835;0.0113613103;33787.6015625
;BR;2015;p85p86;36161.1195902;44147.0393206;;;43096.046875;0.0127198165;0.011895149;35314.2382812
;BR;2015;p86p87;38014.4002718;46545.5199997;;;45267.2773438;0.0133717153;0.0125414049;37045.640625
;BR;2015;p87p88;40154.7051285;49480.5334984;;;47913.0234375;0.014124576;0.0133322263;39030.5078125
;BR;2015;p88p89;42672.0120176;53078.5655987;;;51158.8085938;0.0150100486;0.014301694;41340.9023438
;BR;2015;p89p90;45708.8679567;57444.9035992;;;55127.71875;0.0160782747;0.015478177;44088.2265625
;BR;2015;p90p91;49493.8687032;62610.8768744;;;59896.0273438;0.0174096636;0.0168701168;47452.8164062
;BR;2015;p91p92;54310.2575829;68649.2681512;;;65467.6445312;0.0191038474;0.0184971243;51706.3554688
;BR;2015;p92p93;60479.9363106;75819.8927891;;;72017.3125;0.0212740563;0.0204292051;57137.5859375
;BR;2015;p93p94;68450.8137276;84540.0218319;;;79876.6171875;0.0240778439;0.0227787904;64119.1523438
;BR;2015;p94p95;78879.5184974;95491.5599913;;;89567.234375;0.0277461819;0.0257296152;73186.5390625
;BR;2015;p95p96;92778.0473386;109892.391765;;;101972.640625;0.0326350443;0.0296098311;85140.4765625
;BR;2015;p96p97;111845.791368;130217.447864;;;118750.664062;0.0393421985;0.0350862928;101253.796875
;BR;2015;p97p98;139538.584455;162653.788925;;;143525.359375;0.0490832478;0.043826066;123793.609375
;BR;2015;p98p99;188678.694876;230372.480639;;;186516.375;0.0663684756;0.0620724522;158099.828125
;BR;2015;p1p100;28715.8311572;37486.3972138;488.299316406;96.2036437988;389.656738281;0.9999897869;0.9999475047;58.8078460693
;BR;2015;p2p100;29007.9217318;37862.9476639;232.560394287;48.8885383606;774.474914551;0.9999577932;0.9997900274;124.732856751
;BR;2015;p3p100;29305.2957227;38245.1795834;144.323654175;47.9005966187;798.428039551;0.9999005823;0.9995781229;203.052627564
;BR;2015;p4p100;29607.9624598;38635.1251564;99.0734939575;46.9795875549;822.381103516;0.9998128939;0.9993597643;298.848480225
;BR;2015;p5p100;29915.8795178;39033.027972;71.7519760132;46.1201095581;846.334228516;0.9996877251;0.9991349518;416.934570312
;BR;2015;p6p100;30228.9532296;39439.1419848;53.8096008301;45.3173828125;870.287292481;0.9995164383;0.9989036852;561.776184082
;BR;2015;p7p100;30547.040178;39853.7320721;41.4255905151;44.5671348572;894.240417481;0.9992889003;0.9986659646;737.395385742
;BR;2015;p8p100;30869.94988;40277.0746275;32.5885505676;43.865562439;918.193542481;0.9989936565;0.99842179;947.263671875
;BR;2015;p9p100;31197.4489156;40709.4581941;26.1246109009;43.2092590332;942.146606445;0.9986181459;0.9981711614;1194.1784668
;BR;2015;p10p100;31529.2667889;41151.1841388;21.3017749786;42.5951728821;966.099731445;0.9981489623;0.9979140787;1480.12390137
;BR;2015;p11p100;31865.1038528;41598.6640891;17.6429195404;23.7223339081;1753.56542969;0.9975721674;0.9975569394;1806.11291504
;BR;2015;p12p100;32204.6416741;42045.3025659;14.8271112442;14.604724884;2878.88354492;0.996873663;0.9969387063;2172.01049805
;BR;2015;p13p100;32547.5562668;42488.0922511;12.633275032;10.1609640121;4181.50195312;0.996039629;0.9959895633;2576.33569336
;BR;2015;p14p100;32893.5346782;42925.8620279;10.9061956406;7.83044099808;5481.92138672;0.995057035;0.9946854843;3016.04125977
;BR;2015;p15p100;33242.2954733;43359.6134113;9.53520393372;6.58882856369;6580.77734375;0.9939142332;0.9930534643;3486.27001953
;BR;2015;p16p100;33593.613738;43792.9527671;8.44042682648;6.03805828094;7252.8203125;0.9926016418;0.9911783754;3980.0847168
;BR;2015;p17p100;33947.3513023;44231.2491271;7.56373691559;5.87532520294;7528.30664062;0.9911125281;0.989180623;4488.171875
;BR;2015;p18p100;34303.4929816;44678.234018;6.86273908615;5.87069749832;7610.37890625;0.9894439011;0.9871386458;4998.51318359
;BR;2015;p19p100;34662.1897594;45135.6697392;6.30677747726;5.9070930481;7640.92773438;0.9875975256;0.9850838829;5496.02246094
;BR;2015;p20p100;35023.8099781;45604.0953609;5.87436389923;5.93373584747;7685.56201172;0.9855810707;0.9830195064;5962.14501953
;BR;2015;p21p100;35388.9722867;46083.1928338;5.54415416718;5.8581700325;7866.48242188;0.9834086427;0.9809298627;6383.11474609
;BR;2015;p22p100;35758.3061876;46570.8099801;5.2771859169;5.6367855072;8261.94433594;0.9810937753;0.9787610941;6776.01806641
;BR;2015;p23p100;36132.1919309;47064.9124215;5.04445743561;5.34355163574;8807.79589844;0.9786423655;0.9764641062;7162.75097656
;BR;2015;p24p100;36510.771874;47564.1795589;4.82918405533;5.03663682938;9443.63867188;0.9760534155;0.9740066137;7560.44287109
;BR;2015;p25p100;36894.0055464;48067.9927662;4.62311983109;4.7524895668;10114.2763672;0.9733209042;0.9713719407;7980.32617188
;BR;2015;p26p100;37281.7455629;48576.4011074;4.42437791824;4.50973749161;10771.4472656;0.9704360841;0.9685573905;8426.4375
;BR;2015;p27p100;37673.8387478;49090.058657;4.23580312729;4.31529331207;11375.8330078;0.9673902667;0.9655721141;8894.14257812
;BR;2015;p28p100;38070.2576161;49610.1267901;4.06366539001;4.16914892197;11899.3408203;0.9641781622;0.9624343991;9368.453125
;BR;2015;p29p100;38471.2682593;50138.133768;3.91680264473;4.06710577011;12327.7177734;0.9608018512;0.9591682998;9822.11035156
;BR;2015;p30p100;38877.6417742;50675.7824881;3.80652761459;4.0017118454;12663.5253906;0.9572754749;0.9557995177;10213.4140625
;BR;2015;p31p100;39290.8299185;51224.7143142;3.74039435387;3.96350288391;12924.1015625;0.9536286097;0.9523507745;10504.4619141
;BR;2015;p32p100;39712.6724043;51786.439893;3.71520543098;3.94692587852;13120.7021484;0.9498980688;0.9488406283;10689.2265625
;BR;2015;p33p100;40145.0707104;52362.4204567;3.72324419022;3.94815778732;13262.4941406;0.9461195329;0.9452851165;10782.2822266
;BR;2015;p34p100;40589.5989581;52954.0547484;3.74987459183;3.96354341507;13360.28125;0.9423184071;0.9416975907;10824.2548828
;BR;2015;p35p100;41047.4148888;53562.6473967;3.78815960884;3.98925757408;13426.7207031;0.9385083619;0.9380882466;10835.7138672
;BR;2015;p36p100;41519.4499065;54189.3707731;3.83073449135;4.021007061;13476.5664062;0.9346963433;0.934463593;10838.5087891
;BR;2015;p37p100;42006.4245025;54835.2190197;3.87467336655;4.05377531052;13526.9511719;0.9308833128;0.9308258499;10841.28125
;BR;2015;p38p100;42509.0205511;55500.9527012;3.91605734825;4.08163785934;13597.7167969;0.9270683761;0.9271722636;10855.0556641
;BR;2015;p39p100;43027.4887628;56187.0322669;3.9397149086;4.09771776199;13711.7871094;0.923240428;0.923494328;10921.4726562
;BR;2015;p40p100;43561.507344;56893.5382169;3.93704009056;4.09435892105;13895.5908203;0.9193759276;0.9197768985;11064.5322266
;BR;2015;p41p100;44110.5269962;57620.1190729;3.90812301636;4.06656646729;14169.2314453;0.9154470654;0.9159978761;11286.8828125
;BR;2015;p42p100;44674.0594999;58366.3766956;3.86021304131;4.02114486694;14514.8662109;0.9114280508;0.9121348117;11572.9521484
;BR;2015;p43p100;45251.9653223;59132.3178563;3.80313587189;3.96698760986;14906.1005859;0.9073007714;0.9081719039;11898.5927734
;BR;2015;p44p100;45844.5071986;59918.4021497;3.74487566948;3.91142272949;15318.8251953;0.9030552348;0.9041001767;12241.9306641
;BR;2015;p45p100;46452.3365865;60725.5322643;3.6912727356;3.85993170738;15732.28125;0.8986885997;0.8999167249;12584.3681641
;BR;2015;p46p100;47076.4579382;61555.0213934;3.64599752426;3.81609892845;16130.3525391;0.894203813;0.8956236437;12911.8183594
;BR;2015;p47p100;47718.1632302;62408.529819;3.61058092117;3.78161096573;16503.1601562;0.8896077687;0.891226569;13216.2011719
;BR;2015;p48p100;48378.927134;63287.9605003;3.58435082436;3.75618886948;16848.9824219;0.8849088846;0.886732748;13497.2636719
;BR;2015;p49p100;49060.2505051;64195.3006173;3.56418418884;3.73736906052;17176.6015625;0.8801139735;0.8821485339;13764.7910156
;BR;2015;p50p100;49763.4363359;65132.3922594;3.544080019;3.72011470795;17508.1679688;0.8752242563;0.8774761836;14041.2841797
;BR;2015;p51p100;50489.3338947;66100.6640125;3.51742625237;3.6985578537;17872.0097656;0.8702313004;0.8727105094;14354.0556641
;BR;2015;p52p100;51238.6084129;67101.3579694;3.4860086441;3.67334461212;18267.1015625;0.8651223709;0.8678423716;14698.359375
;BR;2015;p53p100;52012.2260207;68135.9797304;3.45349049568;3.64673876762;18684.0859375;0.8598887713;0.8628646292;15060.7695312
;BR;2015;p54p100;52811.5137368;69206.3586975;3.42279458046;3.62059140205;19114.65625;0.8545262855;0.8577725315;15429.3554688
;BR;2015;p55p100;53638.1578355;70314.6547575;3.39600658417;3.59626817703;19552.1171875;0.8490345167;0.8525633635;15794.4804688
;BR;2015;p56p100;54494.1814538;71463.3512548;3.37429070473;3.57457685471;19992.1152344;0.8434159092;0.847235917;16149.8183594
;BR;2015;p57p100;55381.8923887;72655.2279126;3.35777235031;3.55568194389;20433.5566406;0.8376743663;0.841789741;16493.640625
;BR;2015;p58p100;56303.7888373;73893.3050801;3.34535264969;3.53898882866;20879.7792969;0.8318133571;0.836224112;16830.4492188
