Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency
;GH;1959;p99.95p99.99;61346.0273438;;135899.03125;;;;167725.453125;;;0.0067484914;0.0067484914;75712.75
;GH;1959;p99.9p99.95;41706.7304688;;92392.359375;;;;121477.476562;;;0.0057345266;0.0057345266;54836.0078125
;GH;1959;p99.9p99.99;50435.7382812;;111729.625;;;;121477.476562;;;0.0124830175;0.0124830175;54836.0078125
;GH;1959;p99.95p100;84015.265625;;186117.890625;;1.1096580029;1.1096580029;167725.453125;;;0.0115531757;0.0115531757;75712.75
;GH;1959;p99.995p100;244272.609375;;541133.875;;;;;;;0.0033594621;0.0033594621;
;GH;1958;p0p100;3384.74414062;5345.47998047;7214.14355469;11393.1972656;;;;12130736128.0;25855090688.0;;;
;GH;1958;p99.9p100;72209.484375;;153905.15625;;1.0169095993;1.0169095993;151345.953125;;;0.0213335324;0.0213335324;71008.7578125
;GH;1958;p99.99p100;157360.703125;;335393.9375;;0.7350180149;0.7350180149;456307.09375;;;0.0046498878;0.0046498878;214090.953125
;GH;1958;p99.95p99.99;75462.4609375;;160838.453125;;;;200545.234375;;;0.0089181019;0.0089181019;94092.15625
;GH;1958;p99.9p99.95;52572.5664062;;112051.609375;;;;151345.953125;;;0.0077655432;0.0077655432;71008.7578125
;GH;1958;p99.9p99.99;62746.359375;;133735.734375;;;;151345.953125;;;0.0166836455;0.0166836455;71008.7578125
;GH;1958;p99.5p100;35650.7265625;;;;1.026564002;;74018.671875;;;0.0526638404;0.0526638404;34728.2070312
;GH;1958;p99.75p100;49695.375;;105919.25;;;;;;;0.0367053747;0.0367053747;
;GH;1958;p99.95p100;91844.0625;;195753.71875;;0.9761075377;0.9761075377;200545.234375;;;0.0135679897;0.0135679897;94092.15625
;GH;1958;p99.995p100;176761.921875;;376745.125;;;;;;;0.0026115894;0.0026115894;
;GH;1957;p0p100;3346.49316406;5281.53759766;7607.84765625;12006.9365234;;;;11675035648.0;26541783040.0;;;
;GH;1957;p99.9p100;77877.1484375;;177044.28125;;1.055546999;1.0555468798;167727.53125;;;0.0232709721;0.0232709721;73778.953125
;GH;1957;p99.99p100;194961.25;;443220.84375;;1.0825576782;1.0825576782;409420.0625;;;0.0058268043;0.0058268043;180093.171875
;GH;1957;p99.95p99.99;78275.3046875;;177949.4375;;;;220571.5;;;0.0093562575;0.0093562575;97023.6328125
;GH;1957;p99.9p99.95;54136.1914062;;123072.085938;;;;167727.53125;;;0.0080879098;0.0080879098;73778.953125
;GH;1957;p99.9p99.99;64865.21875;;147463.234375;;;;167727.53125;;;0.0174441673;0.0174441673;73778.953125
;GH;1957;p99.5p100;39124.4765625;;;;1.4218492508;;62555.6914062;;;0.0584559329;0.0584559329;27516.6132812
;GH;1957;p99.75p100;54377.3242188;;123620.273438;;;;;;;0.0406225808;0.0406225808;
;GH;1957;p99.95p100;101615.28125;;231010.046875;;1.0473250151;1.0473250151;220571.5;;;0.0151830623;0.0151830623;97023.6328125
;GH;1957;p99.995p100;260109.8125;;591328.1875;;;;;;;0.0038869493;0.0038869493;
;GH;1956;p0p100;3243.57788086;5115.70117188;7606.86425781;11997.3828125;;;;11020615680.0;25845635072.0;;;
;GH;1956;p99.9p100;79604.171875;;186688.34375;;1.1084476709;1.1084476709;168423.234375;;;0.0245417729;0.0245417729;71815.90625
;GH;1956;p99.99p100;208556.34375;;489107.96875;;1.0751371384;1.0751371384;454926.125;;;0.0064308909;0.0064308909;193981.15625
;GH;1956;p99.95p99.99;80905.6484375;;189740.5625;;;;225894.46875;;;0.0099775027;0.0099775027;96321.71875
;GH;1956;p99.9p99.95;52766.3203125;;123747.992188;;;;168423.234375;;;0.0081333788;0.0081333788;71815.90625
;GH;1956;p99.9p99.99;65273.3085938;;153079.484375;;;;168423.234375;;;0.0181108806;0.0181108806;71815.90625
;GH;1956;p99.75p100;54068.6289062;;126802.171875;;;;;;;0.0416735634;0.0416735634;
;GH;1956;p99.95p100;106438.828125;;249621.1875;;1.1050345898;1.1050344706;225894.46875;;;0.0164083932;0.0164083932;96321.71875
;GH;1956;p99.995p100;274554.03125;;643886.3125;;;;;;;0.0042329738;0.0042329738;
;GH;1955;p0p100;3288.41162109;5182.96582031;7416.29833984;11689.0537109;;;;10883563520.0;24545511424.0;;;
;GH;1955;p99.9p100;78670.3515625;;177423.890625;;1.1122707129;1.1122708321;159515.015625;;;0.0239232033;0.0239232033;70729.5
;GH;1955;p99.99p100;216362.71875;;487959.125;;1.1958811283;1.1958811283;408033.125;;;0.0065806429;0.0065806429;180923.265625
;GH;1955;p99.95p99.99;77423.453125;;174611.78125;;;;212254.890625;;;0.0094178915;0.0094178915;94114.5390625
;GH;1955;p99.9p99.95;52122.9179688;;117551.921875;;;;159515.015625;;;0.0079246676;0.0079246676;70729.5
;GH;1955;p99.9p99.99;63368.1601562;;142913.125;;;;159515.015625;;;0.01734256;0.01734256;70729.5
;GH;1955;p99.75p100;53402.6992188;;120438.1875;;;;;;;0.0405991189;0.0405991189;
;GH;1955;p99.95p100;105214.617188;;237288.71875;;1.117942214;1.1179423332;212254.890625;;;0.0159985349;0.0159985349;94114.5390625
;GH;1955;p99.995p100;295592.34375;;666644.3125;;;;;;;0.0044952007;0.0044952007;
;GH;1954;p0p100;3615.61206055;5696.47509766;8257.35449219;13009.640625;;;;11653826560.0;26615072768.0;;;
;GH;1954;p99.9p100;75093.25;;171498.375;;1.0765193701;1.0765194893;159308.203125;;;0.0207688995;0.0207688995;69755.59375
;GH;1954;p99.99p100;191902.734375;;438268.53125;;1.0697683096;1.0697681904;409685.5;;;0.0053084949;0.0053084949;179387.203125
;GH;1954;p99.95p99.99;75228.046875;;171806.234375;;;;209702.4375;;;0.0083227204;0.0083227204;91821.4921875
;GH;1954;p99.9p99.95;51617.9375;;117885.328125;;;;159308.203125;;;0.0071376842;0.0071376842;69755.59375
;GH;1954;p99.9p99.99;62111.8398438;;141851.359375;;;;159308.203125;;;0.0154604046;0.0154604046;69755.59375
;GH;1954;p99.75p100;51891.546875;;118510.195312;;;;;;;0.0358801596;0.0358801596;
;GH;1954;p99.95p100;98565.765625;;225105.046875;;1.0734498501;1.0734498501;209702.4375;;;0.0136312153;0.0136312153;91821.4921875
;GH;1954;p99.995p100;252336.234375;;576286.875;;;;;;;0.003490116;0.003490116;
;GH;1953;p0p100;3304.62792969;5204.50537109;7533.30126953;11864.3027344;;;;10376164352.0;23653728256.0;;;
;GH;1953;p99.9p100;73057.7890625;;166544.109375;;1.1102255583;1.1102255583;150009.25;;;0.0221074354;0.0221074354;65804.453125
;GH;1953;p99.99p100;194884.984375;;444264.0;;1.1285604239;1.1285604239;393655.5;;;0.0058983136;0.0058983136;172684.578125
;GH;1953;p99.95p99.99;73191.8671875;;166849.75;;;;199005.828125;;;0.0088594668;0.0088594668;87297.75
;GH;1953;p99.9p99.95;48579.2695312;;110742.351562;;;;150009.25;;;0.0073496546;0.0073496546;65804.453125
;GH;1953;p99.9p99.99;59518.7421875;;135680.21875;;;;150009.25;;;0.0162091218;0.0162091218;65804.453125
;GH;1953;p99.75p100;49579.09375;;113021.570312;;;;;;;0.0375072807;0.0375072807;
;GH;1953;p99.95p100;97533.390625;;222339.21875;;1.1172497272;1.1172497272;199005.828125;;;0.0147577804;0.0147577804;87297.75
;GH;1953;p99.995p100;263414.96875;;600486.4375;;;;;;;0.0039862078;0.0039862078;
;GH;1952;p0p100;3092.40380859;4868.39599609;6789.70703125;10689.0898438;;;;9462002688.0;20774850560.0;;;
;GH;1952;p99.9p100;75928.75;;166709.78125;;1.1753380299;1.1753380299;141839.859375;;;0.0245529935;0.0245529935;64601.625
;GH;1952;p99.99p100;223816.09375;;491412.4375;;1.2014366388;1.2014365196;409020.71875;;;0.00723881;0.00723881;186290.390625
;GH;1952;p99.95p99.99;73987.375;;162447.28125;;;;192089.71875;;;0.0095703704;0.0095703704;87488.15625
;GH;1952;p99.9p99.95;47897.4648438;;105164.0625;;;;141839.859375;;;0.0077438131;0.0077438131;64601.625
;GH;1952;p99.9p99.99;59493.5546875;;130624.53125;;;;141839.859375;;;0.0173141826;0.0173141826;64601.625
;GH;1952;p99.75p100;50120.2421875;;110044.414062;;;;;;;0.0405187979;0.0405187979;
;GH;1952;p99.95p100;103956.6875;;228248.15625;;1.1882373095;1.1882371902;192089.71875;;;0.0168091804;0.0168091804;87488.15625
;GH;1952;p99.995p100;310451.96875;;681630.875;;;;;;;0.0050204229;0.0050204229;
;GH;1951;p0p100;2867.59790039;4512.74755859;7163.44091797;11273.1289062;;;;8553487360.0;21367150592.0;;;
;GH;1951;p99.9p100;56688.2070312;;141610.71875;;1.149782896;1.149782896;123163.007812;;;0.019768279;0.019768279;49303.4023438
;GH;1951;p99.99p100;154938.71875;;387046.71875;;1.1683225632;1.1683225632;331284.125;;;0.0054039806;0.0054039806;132616.390625
;GH;1951;p99.95p99.99;57033.4414062;;142473.140625;;;;165868.234375;;;0.0079557048;0.0079557048;66398.734375
;GH;1951;p99.9p99.95;36757.2070312;;91821.8203125;;;;123163.007812;;;0.0064085941;0.0064085941;49303.4023438
;GH;1951;p99.9p99.99;45769.3164062;;114334.640625;;;;123163.007812;;;0.0143642994;0.0143642994;49303.4023438
;GH;1951;p99.75p100;37378.5976562;;93374.09375;;;;;;;0.0325869955;0.0325869955;
;GH;1951;p99.95p100;76616.8359375;;191393.6875;;1.1538898945;1.1538898945;165868.234375;;;0.0133596854;0.0133596854;66398.734375
;GH;1951;p99.995p100;212148.9375;;529961.4375;;;;;;;0.0036996843;0.0036996843;
;GH;1943;p0p100;2223.42700195;3488.35473633;;;;;;5427579392.0;;;;
