Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;Net foreign income | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;Net foreign income | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;TV;2014;p0p100;376.783721924;4080.74023438;3703.95629883;239.659515381;3943.61572266;10908.0;4109956.75;44512716.0;40402756.0;2614206.0;43016960.0;0.9293976426;1.4869847298;;1.1394432783;;0.3294582665;
;TV;2013;p0p100;365.148590088;4059.52172852;3694.37329102;238.266860962;3932.63989258;10819.0;3950542.75;43919968.0;39969424.0;2577809.25;42547232.0;0.8846083283;1.427975297;;1.1032570601;;0.3150302172;
;TV;2012;p0p100;357.694793701;3915.95410156;3558.25927734;176.382644653;3734.64208984;10725.0;3836276.5;41998608.0;38162332.0;1891703.875;40054036.0;0.8662909865;1.4155912399;;1.0979911089;;0.3144719005;
;TV;2011;p0p100;354.081451416;4109.31396484;3755.23217773;283.342346191;4038.57470703;10628.0;3763177.75;43673788.0;39910608.0;3011362.5;42921972.0;0.8593482375;1.4222730398;;1.1099262238;;0.3166209757;
;TV;2010;p0p100;352.020263672;3843.85961914;3491.83935547;273.153869629;3764.99316406;10531.0;3707125.25;40479688.0;36772560.0;2876583.5;39649144.0;0.8523282409;1.4251866341;;1.1246643066;;0.3393836915;
;TV;2009;p0p100;351.239685059;4000.6328125;3649.39306641;524.510253906;4173.90332031;10441.0;3667293.5;41770608.0;38103312.0;5476411.5;43579724.0;0.8313736916;1.3992414474;;1.1145772934;;0.3539198041;
;TV;2008;p0p100;350.104217529;4224.77587891;3874.67163086;641.42980957;4516.1015625;10340.0;3620077.5;43684180.0;40064104.0;6632384.0;46696488.0;0.8260650635;1.4037530422;;1.1202197075;;0.3466315567;
;TV;2007;p0p100;346.1534729;3950.4128418;3604.25927734;605.900878906;4210.16015625;10243.0;3545650.0;40464080.0;36918428.0;6206243.0;43124672.0;0.7978926301;1.3837379217;;1.1038782597;;0.3609398603;
;TV;2006;p0p100;342.896697998;3753.47436523;3410.57788086;387.952819824;3798.53051758;10137.0;3475943.75;38048972.0;34573028.0;3932677.75;38505704.0;0.7990226746;1.4198230505;;1.1357749701;;0.3886271715;
;TV;2005;p0p100;343.427551269;3688.12329102;3344.69580078;533.263122559;3877.95874023;10027.0;3443548.0;36980812.0;33537264.0;5347029.5;38884292.0;0.767668426;1.3907940388;;1.1235738993;;0.3860462904;
;TV;2004;p0p100;349.29776001;3898.19604492;3548.8984375;591.718505859;4140.61669922;9894.0;3455952.0;38568752.0;35112800.0;5854463.0;40967264.0;0.76250875;1.4078162909;;1.1500731707;;0.3997331858;
;TV;2003;p0p100;355.894775391;4016.23535156;3660.34082031;872.428466797;4532.76904297;9767.0;3476024.25;39226572.0;35750548.0;8521009.0;44271556.0;0.7216028571;1.3579089642;;1.1188240051;;0.4033815265;
;TV;2002;p0p100;359.187042236;4201.72167969;3842.53491211;1670.17053223;5512.70556641;9635.0;3460767.25;40483592.0;37022824.0;16092093.0;53114916.0;0.6655630469;1.2800632715;;1.0546967983;;0.3848971426;
;TV;2001;p0p100;354.004211426;4205.47509766;3851.47094727;1332.28479004;5183.75585938;9512.0;3367288.0;40002480.0;36635192.0;12672693.0;49307884.0;0.6205386519;1.2227267027;;1.0008209944;;0.3590446115;
;TV;2000;p0p100;338.267944336;4008.17358398;3669.90576172;;4939.68554688;9420.0;3186484.0;37756996.0;34570512.0;;46531840.0;0.560195744;1.1307424307;;0.9261952043;;0.3299357891;
;TV;1999;p0p100;316.055419922;3564.87304688;3248.81762695;;4378.16113281;9345.0;2953538.0;33313738.0;30360200.0;;40913916.0;0.6412311792;1.3128156662;;1.0851597786;;0.40320912;
;TV;1998;p0p100;292.2449646;3598.93457031;3306.68969727;;4446.82421875;9306.0;2719631.5;33491686.0;30772054.0;;41382144.0;0.6169918776;1.2837965488;;1.0606477261;;0.392400533;
;TV;1997;p0p100;270.906341553;3015.17260742;2744.26635742;;3699.46582031;9277.0;2513198.25;27971756.0;25458558.0;;34319944.0;0.6453503966;1.3569002151;;1.1238080263;;0.4134014845;
;TV;1996;p0p100;256.502960205;2861.22705078;2604.72412109;;3511.15429688;9256.0;2374191.5;26483518.0;24109326.0;;32499244.0;0.6028125286;1.2648402452;;1.0701525211;;0.4111996591;
;TV;1995;p0p100;249.068389893;3051.17700195;2802.10888672;;3768.71459961;9230.0;2298901.25;28162364.0;25863464.0;;34785236.0;0.563446939;1.2131422758;;1.0210080147;;0.4244835079;
;TV;1994;p0p100;244.261077881;3225.89233398;2981.63134766;;4003.58642578;9190.0;2244759.25;29645950.0;27401192.0;;36792960.0;0.5272554159;;;0.9751577377;;0.4757016599;
;TV;1993;p0p100;237.154495239;2935.95556641;2698.80102539;;3628.9050293;9156.0;2171386.5;26881608.0;24710222.0;;33226254.0;0.5240011215;;;0.990398705;;0.598952353;
;TV;1992;p0p100;227.999725342;2834.58422852;2606.58447266;;3504.57446289;9109.0;2076849.5;25820228.0;23743378.0;;31923168.0;0.5647509694;;;1.0944200754;;0.8190804124;
;TV;1991;p0p100;216.215667725;2774.73999023;2558.52416992;;3437.55541992;9053.0;1957400.5;25119720.0;23162320.0;;31120190.0;0.5184774995;;;1.0309456587;;0.8237432241;
;TV;1990;p0p100;200.747970581;2692.95141602;2492.20336914;;3345.32446289;9003.0;1807334.0;24244642.0;22437308.0;;30117956.0;0.5040288568;;;1.038074255;;0.8304018378;
;TV;1989;p0p100;182.206237793;2348.6730957;2166.46704102;;2910.52124023;8947.0;1630199.25;21013578.0;19383380.0;;26040434.0;0.4939183891;;;1.0579645634;;0.9220156074;
;TV;1988;p0p100;162.402038574;2412.58837891;2250.18652344;;3014.48876953;8883.0;1442617.25;21431024.0;19988406.0;;26777704.0;0.449441582;;;1.0024318695;;0.9943911433;
;TV;1987;p0p100;141.656021118;2036.61279297;1894.95678711;;2540.15112305;8820.0;1249406.125;17962924.0;16713519.0;;22404132.0;0.4222027361;;;0.9755674005;;1.0799379349;
;TV;1986;p0p100;123.072570801;1829.38562012;1706.31298828;;2285.8581543;8747.0;1076515.75;16001636.0;14925120.0;;19994402.0;0.4085832536;;;0.9686902761;;1.1181463003;
;TV;1985;p0p100;108.851104736;1509.06884766;1400.21777344;;1878.28735352;8650.0;941562.0625;13053446.0;12111884.0;;16247186.0;0.3856453001;;;0.9330522418;;1.1136492491;
;TV;1984;p0p100;100.207557678;1558.90600586;1458.69848633;;1952.55639648;8530.0;854770.4375;13297469.0;12442698.0;;16655306.0;0.3720258474;;;0.9315901995;;1.099529624;
;TV;1983;p0p100;95.8251953125;1470.84558105;1375.02038574;;1840.98095703;8413.0;806177.375;12374224.0;11568047.0;;15488173.0;0.3584063947;;;0.9324223995;;1.0456628799;
;TV;1982;p0p100;95.6125717163;1370.74450684;1275.13195801;;1709.3807373;8284.0;792054.5625;11355248.0;10563193.0;;14160510.0;0.3286586106;;;0.8927819729;;0.9693353772;
;TV;1981;p0p100;98.995010376;1658.03552246;1559.04052734;;2084.30224609;8154.0;807205.3125;13519622.0;12712416.0;;16995400.0;0.3039285839;;;0.8760894537;;0.908845365;
;TV;1980;p0p100;103.26474762;1636.48498535;1533.22033691;;2051.6550293;8052.0;831487.75;13176977.0;12345490.0;;16519926.0;0.2863666415;;;0.9028009772;;0.8684897423;
;TV;1979;p0p100;107.847633362;1665.63476562;1557.78710938;;2085.45629883;7962.0;858682.875;13261784.0;12403101.0;;16604404.0;0.2697433233;;;0.9260932803;;0.8701607585;
;TV;1978;p0p100;112.365386963;1687.9597168;1575.59436035;;2110.33618164;7888.0;886338.1875;13314626.0;12428288.0;;16646331.0;0.2528404295;;;0.9391033649;;0.8548573852;
;TV;1977;p0p100;117.082519531;1735.30737305;1618.22497559;;2167.96630859;7816.0;915117.0;13563163.0;12648046.0;;16944824.0;0.2357933074;;;0.9362215996;;0.816368103;
;TV;1976;p0p100;121.864944458;1818.34680176;1696.48181152;;2272.52978516;7749.0;944331.4375;14090370.0;13146038.0;;17609834.0;0.2205443382;;;0.9287341237;;0.7734752297;
;TV;1975;p0p100;126.689628601;1851.04150391;1724.35192871;;2310.75756836;7677.0;972596.25;14210446.0;13237850.0;;17739686.0;0.2068322152;;;0.9184784889;;0.7555270195;
;TV;1974;p0p100;131.26512146;1894.40710449;1763.14196777;;2363.28564453;7616.0;999715.125;14427805.0;13428089.0;;17998784.0;0.1937982142;;;0.9375192523;;0.7164632082;
;TV;1973;p0p100;136.383270264;1946.93798828;1810.5546875;;2427.34033203;7537.0;1027920.6875;14674072.0;13646151.0;;18294864.0;0.1813950539;;;0.9533358812;;0.6760454178;
;TV;1972;p0p100;141.719558716;2006.29138184;1864.57177734;;2500.16040039;7458.0;1056944.5;14962921.0;13905976.0;;18646196.0;0.16973795;;;0.9408682585;;0.6447353363;
;TV;1971;p0p100;147.230987549;2067.53808594;1920.30700684;;2575.2980957;7381.0;1086711.875;15260498.0;14173786.0;;19008276.0;0.1589370966;;;0.9193920493;;0.60523808;
;TV;1970;p0p100;152.982345581;2123.24658203;1970.26428223;;2642.90405273;7303.0;1117230.125;15506070.0;14388840.0;;19301128.0;0.1488572508;;;0.9047685266;;0.5851919055;
;TV;1969;p0p100;;;;;;7214.0;;;;;;;;;;;;
;TV;1968;p0p100;;;;;;7133.0;;;;;;;;;;;;
;TV;1967;p0p100;;;;;;7040.0;;;;;;;;;;;;
;TV;1966;p0p100;;;;;;6938.0;;;;;;;;;;;;
;TV;1965;p0p100;;;;;;6815.0;;;;;;;;;;;;
;TV;1964;p0p100;;;;;;6684.0;;;;;;;;;;;;
;TV;1963;p0p100;;;;;;6538.0;;;;;;;;;;;;
;TV;1962;p0p100;;;;;;6389.0;;;;;;;;;;;;
;TV;1961;p0p100;;;;;;6246.0;;;;;;;;;;;;
;TV;1960;p0p100;;;;;;6104.0;;;;;;;;;;;;
;TV;1959;p0p100;;;;;;5982.0;;;;;;;;;;;;
;TV;1958;p0p100;;;;;;5864.0;;;;;;;;;;;;
