Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;Net foreign income | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;Net foreign income | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;DM;2014;p0p100;2569.33056641;21687.9550781;19118.625;-872.424438477;18246.2011719;72778.0;186990736.0;1578406016.0;1391415296.0;-63493304.0;1327922048.0;0.8957759142;2.3448898792;;1.796836853;2.7000000477;0.5195368528;
;DM;2013;p0p100;2578.05883789;20876.8398438;18298.78125;-506.454681397;17792.3261719;72400.0;186651456.0;1511483264.0;1324831744.0;-36667320.0;1288164480.0;0.8966977596;2.3682847023;;1.8297421932;2.7000000477;0.522474885;
;DM;2012;p0p100;2586.39526367;21108.2636719;18521.8691406;-728.722961426;17793.1464844;72044.0;186334256.0;1520723840.0;1334389504.0;-52500116.0;1281889408.0;0.8628747463;2.3069591522;;1.7893730402;2.7000000477;0.512488246;
;DM;2011;p0p100;2590.92871094;21433.9667969;18843.0371094;-392.705474853;18450.3320312;71718.0;185816224.0;1537201280.0;1351384960.0;-28164052.0;1323220864.0;0.880677104;2.3847813606;;1.8610571623;2.7000000477;0.530890882;
;DM;2010;p0p100;2580.87988281;21479.1484375;18898.2675781;-345.329315185;18552.9394531;71440.0;184378064.0;1534470400.0;1350092288.0;-24670326.0;1325421952.0;0.8689178228;2.3771779537;;1.87591362;2.7000000477;0.5660839677;
;DM;2009;p0p100;2545.80810547;21292.5859375;18746.7773438;-487.992645264;18258.7851562;71229.0;181335360.0;1516649472.0;1335314176.0;-34759228.0;1300555008.0;0.8882139325;2.4458627701;;1.9482719898;2.7000000477;0.6186488867;
;DM;2008;p0p100;2480.23193359;21582.4277344;19102.1953125;-695.469238281;18406.7265625;71074.0;176280000.0;1533949440.0;1357669376.0;-49429780.0;1308239616.0;0.8256127834;2.295466423;;1.8318228722;2.7000000477;0.5668241978;
;DM;2007;p0p100;2384.50317383;20052.5625;17668.0585938;-802.842468262;16865.2167969;70950.0;169180496.0;1422729344.0;1253548800.0;-56961672.0;1196587136.0;0.8135766983;2.3084793091;;1.8415915966;2.7000000477;0.602153182;
;DM;2006;p0p100;2280.32373047;18963.2089844;16682.8867188;-621.741699219;16061.1445312;70807.0;161462880.0;1342727936.0;1181265152.0;-44023664.0;1137241472.0;0.7998862863;2.3255274296;;1.8602851629;2.7000000477;0.6365321875;
;DM;2005;p0p100;2186.10571289;18180.8496094;15994.7441406;-1332.80712891;14661.9375;70627.0;154398096.0;1284058880.0;1129660800.0;-94132168.0;1035528640.0;0.7788732052;2.3087346554;;1.8651460409;2.7000000477;0.6408414245;
;DM;2004;p0p100;2110.65625;18304.0742188;16193.4179688;-1554.14135742;14639.2763672;70379.0;148545872.0;1288222464.0;1139676544.0;-109378912.0;1030297600.0;0.78546983;2.3727324009;;1.9383323193;2.7000000477;0.673709929;
;DM;2003;p0p100;2049.32275391;17906.6601562;15857.3378906;-1324.50769043;14532.8300781;70093.0;143643184.0;1255131520.0;1111488384.0;-92838720.0;1018649664.0;0.725490272;2.2336859703;;1.8404042721;2.7000000477;0.6635405421;
;DM;2002;p0p100;2001.14086914;16695.9765625;14694.8359375;-1324.94812012;13369.8876953;69824.0;139727664.0;1165779840.0;1026052224.0;-92513176.0;933539072.0;0.7494723201;2.3583920002;;1.9431760311;2.7000000477;0.7091354728;
;DM;2001;p0p100;1968.49072266;17080.90625;15112.4140625;-1210.93371582;13901.4804688;69670.0;137144752.0;1190026624.0;1052881920.0;-84365752.0;968516160.0;0.7443668246;2.3997480869;;1.9642313719;2.7000000477;0.7046681643;
;DM;2000;p0p100;1940.7755127;17021.7421875;15080.9658203;-1996.15454102;13084.8105469;69676.0;135225472.0;1186006912.0;1050781376.0;-139084064.0;911697280.0;0.7315961123;2.4160914421;;1.9790291786;2.7000000477;0.7049837708;
;DM;1999;p0p100;1906.59936523;16859.1582031;14952.5585938;-1248.31359863;13704.2441406;69903.0;133277016.0;1178505728.0;1045228672.0;-87260864.0;957967808.0;0.7268913388;2.4348754883;;2.012642622;2.7000000477;0.7478308082;
;DM;1998;p0p100;1861.44995117;16659.6015625;14798.1523438;-737.666015625;14060.4863281;70290.0;130841320.0;1171003520.0;1040162112.0;-51850544.0;988311552.0;0.7089489698;2.4135141373;;1.9939984083;2.7000000477;0.7377058864;
;DM;1997;p0p100;1805.77600098;16043.5029297;14237.7275391;-866.603149414;13371.1240234;70753.0;127764072.0;1135126016.0;1007361920.0;-61314772.0;946047168.0;0.6907749176;2.3763313293;;1.96811831;2.7000000477;0.7239875793;
;DM;1996;p0p100;1748.24841309;15566.8115234;13818.5634766;-963.753479004;12854.8085938;71145.0;124379136.0;1107500800.0;983121664.0;-68566240.0;914555392.0;0.6825803518;2.3432860374;;1.9826009274;2.7000000477;0.7618024945;
;DM;1995;p0p100;1696.62341309;14991.6347656;13295.0117188;-653.981018066;12641.0302734;71368.0;121084624.0;1069923008.0;948838400.0;-46673316.0;902165056.0;0.6554014683;2.3087890148;;1.9431290627;2.7000000477;0.8078548312;
;DM;1994;p0p100;1656.5826416;14700.3115234;13043.7294922;-532.513427734;12511.2158203;71373.0;118235272.0;1049205376.0;930970112.0;-38007080.0;892963008.0;0.6570934653;;;1.9883785248;2.7000000477;0.9699712396;
;DM;1993;p0p100;1626.42590332;14526.0341797;12899.6083984;-283.320465088;12616.2880859;71210.0;115817792.0;1034398912.0;918581120.0;-20175250.0;898405888.0;0.6199718118;;;1.9172021151;2.7000000477;1.1594449282;
;DM;1992;p0p100;1599.3067627;14613.0908203;13013.7832031;-348.796386719;12664.9873047;70970.0;113502800.0;1037091008.0;923588224.0;-24754080.0;898834176.0;0.5916458368;;;1.8758883476;2.7000000477;1.4039429426;
;DM;1991;p0p100;1562.83898926;14249.8828125;12687.0439453;-398.75704956;12288.2861328;70842.0;110714640.0;1009490176.0;898775552.0;-28248746.0;870526784.0;0.5621318817;;;1.8287830353;2.7000000477;1.4612288475;
;DM;1990;p0p100;1510.86291504;13982.0966797;12471.2333984;-232.648147583;12238.5859375;70926.0;107159464.0;991694208.0;884534720.0;-16500803.0;868033920.0;0.5396069288;;;1.8183130026;2.7000000477;1.454549551;
;DM;1989;p0p100;1441.15393066;13219.1806641;11778.0263672;-172.233627319;11605.7929688;71242.0;102670688.0;941760832.0;839090176.0;-12270268.0;826819904.0;0.5319503546;;;1.8642542362;2.7000000477;1.6246966124;
;DM;1988;p0p100;1357.19665527;13184.0400391;11826.84375;-24.8856296539;11801.9580078;71742.0;97368000.0;945849408.0;848481408.0;-1785344.875;846696064.0;0.4927134216;;;1.7980183363;2.7000000477;1.7835960388;
;DM;1987;p0p100;1260.82592773;12024.7402344;10763.9140625;-89.3342437744;10674.5800781;72370.0;91245976.0;870230464.0;778984448.0;-6465119.0;772519360.0;0.4620300829;;;1.7467253208;2.7000000477;1.9335978031;
;DM;1986;p0p100;1164.05041504;11071.4130859;9907.36230469;-130.077468872;9777.28515625;73025.0;85004784.0;808489920.0;723485120.0;-9498907.0;713986240.0;0.4435605109;;;1.7205818892;2.7000000477;1.9860447645;
;DM;1985;p0p100;1076.19250488;10253.5380859;9177.34570312;-104.387825012;9072.95800781;73643.0;79254048.0;755101312.0;675847296.0;-7687432.5;668159872.0;0.4177619517;;;1.6537311077;2.7000000477;1.9738191366;
;DM;1984;p0p100;999.932922363;10045.1845703;9045.25195312;-134.887573242;8910.36425781;74213.0;74208024.0;745483328.0;671275264.0;-10010411.0;661264832.0;0.3856502771;;;1.5800235271;2.7000000477;1.8648571968;
;DM;1983;p0p100;930.944030762;9453.32226562;8522.37792969;-8.282749176;8514.09472656;74747.0;69585272.0;706607488.0;637022208.0;-619110.6875;636403072.0;0.3619357646;;;1.5405881405;2.7000000477;1.7276890278;
;DM;1982;p0p100;868.363037109;9151.88964844;8283.52636719;61.3581542969;8344.88476562;75170.0;65274848.0;687947520.0;622672704.0;4612292.5;627284992.0;0.3351289928;;;1.4894657135;2.7000000477;1.61718297;
;DM;1981;p0p100;812.231628418;8766.35839844;7954.12695312;81.6263504028;8035.75341797;75375.0;61221960.0;660764288.0;599542336.0;6152586.0;605694912.0;0.3206678629;;;1.5123435259;2.7000000477;1.5688881874;
;DM;1980;p0p100;765.536193848;7827.51611328;7061.98046875;41.9921379089;7103.97216797;75314.0;57655592.0;589521536.0;531865984.0;3162596.0;535028576.0;0.3207821846;;;1.6546187401;2.7000000477;1.5917344093;
;DM;1979;p0p100;735.843200684;6881.17578125;6145.33251953;-19.0127830505;6126.31982422;74925.0;55133052.0;515572096.0;460439040.0;-1424532.75;459014496.0;0.2749162316;;;1.544267416;2.7000000477;1.4509994984;
;DM;1978;p0p100;723.824645996;8520.79980469;7796.97509766;-28.097951889;7768.87695312;74242.0;53738188.0;632601216.0;578863040.0;-2086048.125;576776960.0;0.2284789532;;;1.3884530067;2.7000000477;1.2638963461;
;DM;1977;p0p100;709.97845459;7707.20117188;6997.22216797;5.0392541885;7002.26171875;73411.0;52120228.0;565793344.0;513673088.0;369936.6875;514043040.0;0.2057733834;;;1.3367632627;2.7000000477;1.1656330824;
;DM;1976;p0p100;689.054016113;7590.35986328;6901.30615234;38.7253913879;6940.03125;72642.0;50054260.0;551378944.0;501324672.0;2813089.75;504137760.0;0.1836001128;;;1.2649883032;2.6146707535;1.0535168648;
;DM;1975;p0p100;658.239196777;7151.34912109;6493.109375;;6529.59521484;72094.0;47455096.0;515569344.0;468114240.0;;470744640.0;0.1670904756;;;1.2140053511;2.1697957516;0.9986231327;
;DM;1974;p0p100;619.064575195;6966.23632812;6347.171875;;6382.71289062;71807.0;44453168.0;500224544.0;455771360.0;;458323456.0;0.154657349;;;1.2241061926;2.0532324314;0.9354763627;
;DM;1973;p0p100;573.206054688;6544.6015625;5971.39550781;;6004.78564453;71744.0;41124096.0;469535904.0;428411808.0;;430807328.0;0.1326925159;;;1.1409983635;1.9592192173;0.8091237545;
;DM;1972;p0p100;525.265258789;6032.13964844;5506.87451172;;5537.64990234;71734.0;37679380.0;432709504.0;395030144.0;;397237792.0;0.1229144409;;;1.1147329807;1.9212781191;0.7638770938;
;DM;1971;p0p100;480.20993042;5617.25488281;5137.04492188;;5165.70361328;71569.0;34368144.0;402021312.0;367653184.0;;369704256.0;0.1265031695;;;1.1972779036;1.9748727083;0.7881710529;
;DM;1970;p0p100;440.874328613;5267.84521484;4826.97070312;;4853.84716797;71073.0;31334262.0;374401568.0;343067296.0;;344977472.0;0.1231007874;;;1.224183321;2.0;0.7917850018;
;DM;1969;p0p100;;;;;;70213.0;;;;;;0.1095265895;;;1.1471301317;2.0;0.7191483378;
;DM;1968;p0p100;;;;;;69040.0;;;;;;0.1050959751;;;1.1552244425;2.0;0.6875473857;
;DM;1967;p0p100;;;;;;67686.0;;;;;;0.099740006;;;1.143692255;1.7619082928;0.6591489315;
;DM;1966;p0p100;;;;;;66311.0;;;;;;0.0987990126;;;1.1663768291;1.7142900229;0.6706663966;
;DM;1965;p0p100;;;;;;65038.0;;;;;;0.0964217857;;;1.1712822914;1.7142900229;0.660222888;
;DM;1964;p0p100;;;;;;63926.0;;;;;;0.0941017568;;;1.1649708748;1.7142900229;0.6886495352;
;DM;1963;p0p100;;;;;;62918.0;;;;;;;;;;1.7142900229;;
;DM;1962;p0p100;;;;;;61982.0;;;;;;;;;;1.7142900229;;
;DM;1961;p0p100;;;;;;61032.0;;;;;;;;;;1.7142900229;;
;DM;1960;p0p100;;;;;;60011.0;;;;;;;;;;1.7142900229;;
;DM;1959;p0p100;;;;;;58922.0;;;;;;;;;;;;
;DM;1958;p0p100;;;;;;57772.0;;;;;;;;;;;;
