;NG;1955;p0p100;141331.125;222932.109375;424414.59375;669460.75;;;;2.77641193062e+12;8.33751036723e+12;;;
;NG;1955;p99.9p100;3249253.0;;9757443.0;;1.8176524639;1.8176524639;5368156.5;;;0.0229900591;0.0229900591;1787609.625
;NG;1955;p99.99p100;8138229.0;;24438942.0;;0.9953849316;0.9953849316;24552252.0;;;0.0057592262;0.0057592262;8175961.5
;NG;1955;p99.95p99.99;3697646.0;;11103958.0;;;;13619934.0;;;0.0104653761;0.0104653761;4535472.5
;NG;1955;p99.9p99.95;1912478.375;;5743134.5;;;;5368156.5;;;0.0067654583;0.0067654583;1787609.625
;NG;1955;p99.9p99.99;2705925.5;;8125841.0;;;;5368156.5;;;0.0172308329;0.0172308329;1787609.625
;NG;1955;p99.95p100;4585868.5;;13771272.0;;1.0111114979;1.0111114979;13619934.0;;;0.0162246022;0.0162246022;4535472.5
;NG;1955;p99.995p100;10668611.0;;32037628.0;;;;;;;0.0037749577;0.0037749577;
;NG;1954;p0p100;143459.09375;226446.625;421447.59375;665244.5625;;;;2.73496355635e+12;8.03465120973e+12;;;
;NG;1954;p99.9p100;3198391.5;;9396089.0;;2.0921566486;2.0921566486;4491102.0;;;0.022294512;0.022294512;1528753.375
;NG;1954;p99.99p100;8112786.5;;23833374.0;;0.9767088294;0.9767088294;24401720.0;;;0.0056560603;0.0056560603;8306249.0
;NG;1954;p99.95p99.99;3733668.0;;10968600.0;;;;13351511.0;;;0.0104105808;0.0104105808;4544801.5
;NG;1954;p99.9p99.95;1787018.875;;5249822.5;;;;4491102.0;;;0.0062278705;0.0062278705;1528753.375
;NG;1954;p99.9p99.99;2652239.25;;7791627.5;;;;4491102.0;;;0.0166384522;0.0166384522;1528753.375
;NG;1954;p99.95p100;4609596.0;;13541861.0;;1.014256835;1.014256835;13351511.0;;;0.0160666406;0.0160666406;4544801.5
;NG;1954;p99.995p100;10445468.0;;30686220.0;;;;;;;0.0036411779;0.0036411779;
;NG;1953;p0p100;131018.132812;206953.625;398535.5;629518.75;;;;2.42415435776e+12;7.37387688755e+12;;;
;NG;1953;p99.99p100;8335869.0;;25356336.0;;0.9931906462;0.9931906462;25530180.0;;;0.0063634338;0.0063634338;8393020.0
