Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency
;KE;1970;p99.95p99.99;5418723.0;;11493212.0;;;;14637995.0;;;0.0207662731;0.0207662731;6901399.5
;KE;1970;p99.9p99.95;3902762.5;;8277831.0;;;;11347343.0;;;0.0186941139;0.0186941139;5349950.5
;KE;1970;p99.9p99.99;4576556.0;;9706960.0;;;;11347343.0;;;0.0394603871;0.0394603871;5349950.5
;KE;1970;p99.75p100;3747954.25;;7949480.0;;;;;;;0.089769356;0.089769356;
;KE;1970;p99.95p100;6388965.0;;13551112.0;;0.9257491827;0.9257491827;14637995.0;;;0.0306065977;0.0306065977;6901399.5
;KE;1970;p99.995p100;12656444.0;;26844550.0;;;;;;;0.0060638441;0.0060638441;
;KE;1969;p0p100;113770.257812;173447.1875;241454.609375;368106.9375;;;;6.4311558144e+11;1.36488419328e+12;;;
;KE;1969;p99.9p100;5488582.0;;11648416.0;;0.9490500689;0.9490500689;12273764.0;;;0.0482420549;0.0482420549;5783237.5
;KE;1969;p99.99p100;10666681.0;;22637896.0;;0.9045854807;0.9045854807;25025712.0;;;0.0093771871;0.0093771871;11791789.0
;KE;1969;p99.95p99.99;5779530.0;;12265896.0;;;;15762868.0;;;0.0203203466;0.0203203466;7427257.5
;KE;1969;p99.9p99.95;4219935.5;;8955969.0;;;;12273764.0;;;0.0185445193;0.0185445193;5783237.5
;KE;1969;p99.9p99.99;4913123.0;;10427121.0;;;;12273764.0;;;0.0388648659;0.0388648659;5783237.5
;KE;1969;p99.75p100;4039137.5;;8572261.0;;;;;;;0.0887563601;0.0887563601;
;KE;1969;p99.95p100;6757077.0;;14340543.0;;0.9097674489;0.9097673893;15762868.0;;;0.0296975337;0.0296975337;7427257.5
;KE;1969;p99.995p100;12886364.0;;27348728.0;;;;;;;0.0056642666;0.0056642666;
;KE;1968;p0p100;108828.242188;165912.875;229508.609375;349894.8125;;;;5.96904706048e+11;1.2588164055e+12;;;
;KE;1968;p99.9p100;5568720.5;;11743912.0;;0.9450846314;0.9450846314;12426307.0;;;0.0511691533;0.0511691533;5892298.0
;KE;1968;p99.99p100;10590558.0;;22334500.0;;0.8667801619;0.8667801619;25767202.0;;;0.0097330585;0.0097330585;12218275.0
;KE;1968;p99.95p99.99;5922382.5;;12489753.0;;;;15791962.0;;;0.0217681844;0.0217681844;7488222.0
;KE;1968;p99.9p99.95;4281158.0;;9028563.0;;;;12426307.0;;;0.0196679104;0.0196679104;5892298.0
;KE;1968;p99.9p99.99;5010627.5;;10566946.0;;;;12426307.0;;;0.0414360948;0.0414360948;5892298.0
;KE;1968;p99.75p100;4125112.25;;8699477.0;;;;;;;0.0947619006;0.0947619006;
;KE;1968;p99.95p100;6856129.0;;14458937.0;;0.9155883789;0.9155883789;15791962.0;;;0.0315012448;0.0315012448;7488222.0
;KE;1968;p99.995p100;12589156.0;;26549356.0;;;;;;;0.0057849162;0.0057849162;
;KE;1967;p0p100;104449.007812;159236.578125;217912.390625;332215.90625;;;;5.56099567616e+11;1.1601927209e+12;;;
;KE;1967;p99.9p100;5320757.5;;11100718.0;;0.9362737536;0.9362737536;11856274.0;;;0.0509405434;0.0509405434;5682908.0
;KE;1967;p99.99p100;10339717.0;;21571794.0;;0.8868993521;0.8868993521;24322708.0;;;0.0099009397;0.0099009397;11658276.0
;KE;1967;p99.95p99.99;5619112.0;;11723176.0;;;;14843233.0;;;0.0215194281;0.0215194281;7114606.5
;KE;1967;p99.9p99.95;4078021.25;;8507992.0;;;;11856274.0;;;0.0195201747;0.0195201747;5682908.0
;KE;1967;p99.9p99.99;4762984.5;;9937034.0;;;;11856274.0;;;0.041039601;0.041039601;5682908.0
;KE;1967;p99.75p100;3939720.25;;8219454.5;;;;;;;0.0942976102;0.0942976102;
;KE;1967;p99.95p100;6563345.5;;13693135.0;;0.9225170612;0.9225170016;14843233.0;;;0.0314203687;0.0314203687;7114606.5
;KE;1967;p99.995p100;12488119.0;;26054014.0;;;;;;;0.0059790858;0.0059790858;
;KE;1966;p0p100;103468.835938;157742.265625;216707.109375;330378.40625;;;;5.34790406144e+11;1.12007525171e+12;;;
;KE;1966;p99.9p100;5139942.0;;10765193.0;;0.9270836115;0.9270836115;11611890.0;;;0.0496755913;0.0496755913;5544205.5
;KE;1966;p99.99p100;9687280.0;;20289224.0;;0.9009193778;0.9009193778;22520576.0;;;0.0093640629;0.0093640629;10752660.0
;KE;1966;p99.95p99.99;5433637.0;;11380313.0;;;;14596457.0;;;0.0210062433;0.0210062433;6969215.0
;KE;1966;p99.9p99.95;3995280.75;;8367792.0;;;;11611890.0;;;0.0193052851;0.0193052851;5544205.5
;KE;1966;p99.9p99.99;4634582.0;;9706757.0;;;;11611890.0;;;0.0403115302;0.0403115302;5544205.5
;KE;1966;p99.75p100;3842359.0;;8047510.0;;;;;;;0.0928384662;0.0928384662;
;KE;1966;p99.95p100;6284467.0;;13162308.0;;0.9017467499;0.9017467499;14596457.0;;;0.0303703062;0.0303703062;6969215.0
;KE;1966;p99.995p100;11677927.0;;24458474.0;;;;;;;0.0056441459;0.0056441459;
;KE;1965;p0p100;94432.75;143966.40625;191598.03125;292098.65625;;;;4.73946783744e+11;9.61607827456e+11;;;
;KE;1965;p99.9p100;5474713.5;;11107844.0;;0.9607012272;0.9607012272;11562226.0;;;0.0579739846;0.0579739846;5698664.0
;KE;1965;p99.99p100;11202858.0;;22729886.0;;0.9438297153;0.9438297749;24082612.0;;;0.0118652871;0.0118652871;11869576.0
;KE;1965;p99.95p99.99;5745622.0;;11657501.0;;;;14418167.0;;;0.0243378244;0.0243378244;7106269.5
;KE;1965;p99.9p99.95;4112065.0;;8343118.0;;;;11562226.0;;;0.021770874;0.021770874;5698664.0
;KE;1965;p99.9p99.99;4838126.5;;9816250.0;;;;11562226.0;;;0.0461086966;0.0461086966;5698664.0
;KE;1965;p99.75p100;3996609.25;;8108865.5;;;;;;;0.1058055982;0.1058055982;
;KE;1965;p99.95p100;6837199.5;;13872242.0;;0.962136209;0.9621362686;14418167.0;;;0.0362031125;0.0362031125;7106269.5
;KE;1965;p99.995p100;13858412.0;;28117834.0;;;;;;;0.0073389322;0.0073389322;
;KE;1964;p0p100;94275.4609375;143726.609375;192887.53125;294064.53125;;;;4.61481607168e+11;9.44191045632e+11;;;
;KE;1964;p99.9p100;5015003.5;;10260693.0;;0.9321927428;0.9321927428;11007051.0;;;0.0531945266;0.0531945266;5379792.5
;KE;1964;p99.99p100;10252225.0;;20976044.0;;0.9407516718;0.9407516718;22297110.0;;;0.0108765578;0.0108765578;10897907.0
;KE;1964;p99.5p99.9;2269531.5;;4643460.0;;;;5126687.0;;;0.0962938219;0.0962938219;2505713.0
;KE;1964;p99.95p99.99;5194003.5;;10626927.0;;;;13466573.0;;;0.0220379345;0.0220379345;6581905.0
;KE;1964;p99.9p99.95;3824096.5;;7824099.0;;;;11007051.0;;;0.0202800352;0.0202800352;5379792.5
;KE;1964;p99.9p99.99;4432974.5;;9069862.0;;;;11007051.0;;;0.0423179679;0.0423179679;5379792.5
;KE;1964;p99.5p100;2818616.75;;;;1.1248761415;;5126687.0;;;0.1494883448;0.1494883448;2505713.0
;KE;1964;p99.75p100;3721476.5;;7614138.5;;;;;;;0.0986861512;0.0986861512;
;KE;1964;p99.95p100;6205768.0;;12696997.0;;0.9428529143;0.9428529143;13466573.0;;;0.0329144932;0.0329144932;6581905.0
;KE;1964;p99.995p100;12812697.0;;26214770.0;;;;;;;0.0067964783;0.0067964783;
;KE;1963;p0p100;91508.7265625;139508.609375;187484.375;285827.21875;;;;4.36888305664e+11;8.95102943232e+11;;;
;KE;1963;p99.9p100;4975502.0;;10193879.0;;0.9613999128;0.9613999724;10603161.0;;;0.0543711856;0.0543711856;5175267.5
;KE;1963;p99.99p100;10254030.0;;21008604.0;;0.9557898045;0.9557898641;21980358.0;;;0.0112073822;0.0112073822;10728332.0
;KE;1963;p99.5p99.9;2257710.0;;4625628.5;;;;5253760.5;;;0.0986884981;0.0986884981;2564293.25
;KE;1963;p99.95p99.99;5207297.5;;10668785.0;;;;13034740.0;;;0.0227623563;0.0227623563;6362090.0
;KE;1963;p99.9p99.95;3734091.25;;7650459.0;;;;10603161.0;;;0.0204014461;0.0204014461;5175267.5
;KE;1963;p99.9p99.99;4388882.0;;8992004.0;;;;10603161.0;;;0.0431638025;0.0431638025;5175267.5
;KE;1963;p99.5p100;2801259.25;;;;1.0924098492;;5253760.5;;;0.1530596763;0.1530596763;2564293.25
;KE;1963;p99.75p100;3671624.5;;7522476.0;;;;;;;0.1003079489;0.1003079489;
;KE;1963;p99.95p100;6216764.5;;12736995.0;;0.9771575928;0.9771575928;13034740.0;;;0.0339697376;0.0339697376;6362090.0
;KE;1963;p99.995p100;12868382.0;;26364922.0;;;;;;;0.0070323991;0.0070323991;
;KE;1962;p0p100;86697.7578125;132174.109375;174667.65625;266287.625;;;;4.03867828224e+11;8.13661683712e+11;;;
;KE;1962;p99.9p100;4645286.0;;9358733.0;;0.9403170943;0.9403171539;9952741.0;;;0.0535795391;0.0535795391;4940127.0
;KE;1962;p99.99p100;9227887.0;;18591178.0;;0.9090323448;0.9090324044;20451612.0;;;0.0106455097;0.0106455097;10151330.0
;KE;1962;p99.5p99.9;2187968.5;;4408041.5;;;;5124059.0;;;0.1009471416;0.1009471416;2543369.75
;KE;1962;p99.95p99.99;4872057.0;;9815603.0;;;;12207530.0;;;0.0224787313;0.0224787313;6059310.5
;KE;1962;p99.9p99.95;3547114.0;;7146275.5;;;;9952741.0;;;0.0204552971;0.0204552971;4940127.0
;KE;1962;p99.9p99.99;4136006.75;;8332702.0;;;;9952741.0;;;0.0429340266;0.0429340266;4940127.0
;KE;1962;p99.5p100;2679423.5;;;;1.0534934998;;5124059.0;;;0.1545266807;0.1545266807;2543369.75
;KE;1962;p99.75p100;3466782.5;;6984434.0;;;;;;;0.0999673828;0.0999673828;
;KE;1962;p99.95p100;5743327.0;;11570927.0;;0.9478515387;0.9478515983;12207530.0;;;0.033124242;0.033124242;6059310.5
;KE;1962;p99.995p100;11216352.0;;22597284.0;;;;;;;0.0064697252;0.0064697252;
;KE;1961;p0p100;81792.8515625;124696.390625;161180.90625;245726.5625;;;;3.71853492224e+11;7.3277407232e+11;;;
;KE;1961;p99.9p100;4584996.5;;9035189.0;;0.9660829902;0.9660829902;9352394.0;;;0.0560554788;0.0560554788;4745965.5
;KE;1961;p99.99p100;9562551.0;;18843952.0;;0.9376466274;0.9376466274;20097072.0;;;0.0116931209;0.0116931209;10198459.0
;KE;1961;p99.5p99.9;2158845.25;;4254218.0;;;;5015507.5;;;0.1055764407;0.1055764407;2545169.25
;KE;1961;p99.95p99.99;4774208.5;;9408050.0;;;;11681475.0;;;0.0233481973;0.0233481973;5927880.5
;KE;1961;p99.9p99.95;3437865.25;;6774653.5;;;;9352394.0;;;0.0210141595;0.0210141595;4745965.5
;KE;1961;p99.9p99.99;4031825.0;;7945110.0;;;;9352394.0;;;0.0443623587;0.0443623587;4745965.5
;KE;1961;p99.5p100;2644067.25;;;;1.0388571024;;5015507.5;;;0.1616319269;0.1616319269;2545169.25
;KE;1961;p99.75p100;3409151.75;;6718070.5;;;;;;;0.1042006835;0.1042006835;
;KE;1961;p99.95p100;5731991.0;;11295455.0;;0.9669545293;0.9669545293;11681475.0;;;0.0350413211;0.0350413211;5927880.5
;KE;1961;p99.995p100;11803869.0;;23260692.0;;;;;;;0.0072169071;0.0072169071;
;KE;1960;p0p100;91358.78125;139280.015625;179298.4375;273347.4375;;;;4.05520678912e+11;7.95864662016e+11;;;
;KE;1960;p99.9p100;5099146.5;;10007456.0;;0.9939543605;0.9939543009;10068326.0;;;0.0558138005;0.0558138005;5130161.5
;KE;1960;p99.99p100;10811370.0;;21218122.0;;0.9477133751;0.9477133751;22388756.0;;;0.0118359337;0.0118359337;11407848.0
;KE;1960;p99.5p99.9;2375906.75;;4662895.0;;;;5610472.5;;;0.1040255353;0.1040255353;2858730.5
;KE;1960;p99.95p99.99;5345228.5;;10490411.0;;;;12865423.0;;;0.0234036352;0.0234036352;6555379.5
;KE;1960;p99.9p99.95;3759545.75;;7378389.5;;;;10068326.0;;;0.0205742307;0.0205742307;5130161.5
;KE;1960;p99.9p99.99;4464328.5;;8761579.0;;;;10068326.0;;;0.0439778678;0.0439778678;5130161.5
;KE;1960;p99.5p100;2920545.25;;;;1.0216231346;;5610472.5;;;0.1598393321;0.1598393321;2858730.5
;KE;1960;p99.75p100;3750057.25;;7359768.0;;;;;;;0.1026188657;0.1026188657;
;KE;1960;p99.95p100;6438587.0;;12636209.0;;0.9821837544;0.9821837544;12865423.0;;;0.0352395698;0.0352395698;6555379.5
;KE;1960;p99.995p100;13350326.0;;26201014.0;;;;;;;0.0073077492;0.0073077492;
;KE;1959;p0p100;89365.4375;136241.078125;175467.15625;267506.5;;;;3.89516886016e+11;7.64808200192e+11;;;
;KE;1959;p99.9p100;5001244.0;;9819838.0;;1.0157696009;1.0157696009;9667387.0;;;0.0559632443;0.0559632443;4923601.0
;KE;1959;p99.5p99.9;2209816.75;;4338928.5;;;;4866362.5;;;0.0989116728;0.0989116728;2478438.75
;KE;1959;p99.9p99.95;3675126.75;;7216034.0;;;;9667387.0;;;0.0205608606;0.0205608606;4923601.0
;KE;1959;p99.5p100;2768093.0;;;;1.1168695688;;4866362.5;;;0.1548749208;0.1548749208;2478438.75
;KE;1959;p99.75p100;3609041.75;;7086277.5;;;;;;;0.1009629294;0.1009629294;
;KE;1959;p99.95p100;6327203.5;;12423331.0;;0.9805935621;0.9805935621;12669195.0;;;0.0354023874;0.0354023874;6452422.0
;KE;1958;p0p100;88906.7265625;135541.765625;174420.546875;265910.90625;;;;3.80605104128e+11;7.46685333504e+11;;;
;KE;1958;p99.9p100;4927921.5;;9667781.0;;0.9724454284;0.9724454284;9941721.0;;;0.0554272793;0.0554272793;5067556.0
;KE;1958;p99.5p99.9;2152523.25;;4222901.0;;;;4981431.0;;;0.0968443081;0.0968443081;2539166.0
;KE;1958;p99.9p99.95;3546103.5;;6956878.5;;;;9941721.0;;;0.019941384;0.019941384;5067556.0
;KE;1958;p99.5p100;2707593.75;;;;1.0663319826;;4981431.0;;;0.1522715837;0.1522715837;2539166.0
;KE;1958;p99.75p100;3536387.0;;6937816.5;;;;;;;0.099440828;0.099440828;
;KE;1958;p99.95p100;6309575.0;;12378361.0;;0.9352169037;0.9352169037;13235818.0;;;0.0354858972;0.0354858972;6746643.5
;KE;1957;p0p100;89544.5625;136514.171875;176090.796875;268457.28125;;;;3.76599707648e+11;7.4058924032e+11;;;
;KE;1957;p99.9p100;5040144.0;;9911523.0;;0.9920589328;0.9920589924;9990860.0;;;0.0562857054;0.0562857054;5080488.5
;KE;1957;p99.5p99.9;2126302.5;;4181407.25;;;;5013571.5;;;0.0949831754;0.0949831754;2549469.25
;KE;1957;p99.9p99.95;3509709.75;;6901899.5;;;;9990860.0;;;0.019596139;0.019596139;5080488.5
;KE;1957;p99.5p100;2709061.25;;;;1.0625981092;;5013571.5;;;0.1512688845;0.1512688845;2549469.25
;KE;1957;p99.75p100;3565854.5;;7012309.5;;;;;;;0.0995552093;0.0995552093;
;KE;1957;p99.95p100;6570395.5;;12920787.0;;0.9722725749;0.9722725749;13289264.0;;;0.0366895683;0.0366895683;6757771.5
;KE;1956;p0p100;87834.78125;133907.53125;173747.625;264885.0;;;;3.6299063296e+11;7.18038564864e+11;;;
;KE;1956;p99.9p100;5238641.0;;10362654.0;;1.0526380539;1.0526380539;9844460.0;;;0.0596412197;0.0596412197;4976678.0
;KE;1956;p99.5p99.9;1935344.375;;3828341.0;;;;4582655.5;;;0.0881358534;0.0881358534;2316673.5
;KE;1956;p99.9p99.95;3195728.25;;6321530.0;;;;9844460.0;;;0.018190382;0.018190382;4976678.0
;KE;1956;p99.5p100;2595993.25;;;;1.1205693483;;4582655.5;;;0.1477770656;0.1477770656;2316673.5
;KE;1956;p99.75p100;3437688.75;;6800157.0;;;;;;;0.0978452265;0.0978452265;
;KE;1956;p99.95p100;7281310.0;;14403296.0;;1.0525753498;1.0525753498;13683862.0;;;0.0414508358;0.0414508358;6917614.0
;KE;1955;p0p100;85166.4296875;129839.539062;167454.859375;255291.4375;;;;3.45938788352e+11;6.80187396096e+11;;;
;KE;1955;p99.9p100;5029194.0;;9888438.0;;1.0703219175;1.0703219175;9238752.0;;;0.0590506084;0.0590506084;4698768.0
;KE;1955;p99.5p99.9;1888938.875;;3714045.5;;;;4394635.0;;;0.088717714;0.088717714;2235082.25
;KE;1955;p99.9p99.95;3132716.25;;6159569.5;;;;9238752.0;;;0.0183903985;0.0183903985;4698768.0
;KE;1955;p99.5p100;2516980.25;;;;1.1261241436;;4394635.0;;;0.1477683187;0.1477683187;2235082.25
;KE;1955;p99.75p100;3363893.5;;6614112.0;;;;;;;0.0987446085;0.0987446085;
;KE;1955;p99.95p100;6925446.0;;13616863.0;;1.0702580214;1.0702581406;12722971.0;;;0.04066021;0.04066021;6470819.0
;KE;1954;p0p100;80659.6953125;122968.835938;158683.28125;241918.828125;;;;3.21141407744e+11;6.3178735616e+11;;;
;KE;1954;p99.9p100;5163643.0;;10158529.0;;1.1052997112;1.1052997112;9190746.0;;;0.0640168115;0.0640168115;4671713.0
;KE;1954;p99.5p99.9;1918551.625;;3774401.5;;;;4454985.0;;;0.0951432139;0.0951432139;2264496.5
;KE;1954;p99.9p99.95;3273960.75;;6440922.5;;;;9190746.0;;;0.0202934295;0.0202934295;4671713.0
;KE;1954;p99.5p100;2567559.75;;;;1.1338325739;;4454985.0;;;0.1591600329;0.1591600329;2264496.5
;KE;1954;p99.75p100;3475629.5;;6837669.0;;;;;;;0.1077250019;0.1077250019;
;KE;1954;p99.95p100;7053100.0;;13875692.0;;1.1052337885;1.1052339077;12554530.0;;;0.0437233858;0.0437233858;6381545.5
;KE;1953;p0p100;74227.03125;113161.992188;144188.34375;219820.734375;;;;2.89759690752e+11;5.62867273728e+11;;;
;KE;1953;p99.9p100;5183974.5;;10070034.0;;1.1895216703;1.1895216703;8465616.0;;;0.0698385462;0.0698385462;4358033.0
;KE;1953;p99.5p99.9;1819385.5;;3534213.75;;;;3729255.25;;;0.0980445668;0.0980445668;1919791.375
;KE;1953;p99.9p99.95;3345341.0;;6498430.5;;;;8465616.0;;;0.0225328878;0.0225328878;4358033.0
;KE;1953;p99.5p100;2492293.0;;;;1.2982103825;;3729255.25;;;0.167883113;0.167883113;1919791.375
;KE;1953;p99.75p100;3451949.75;;6705521.0;;;;;;;0.1162631139;0.1162631139;
;KE;1953;p99.95p100;7022389.0;;13641212.0;;1.1894507408;1.1894507408;11468496.0;;;0.0473056585;0.0473056585;5903892.0
