;UY;2011;p95p99;1358509.0;;2522177.5;;;;1740985.625;;;0.1988571435;0.1988571435;937739.125
;UY;2011;p99.5p99.9;3689049.25;;6849006.5;;;;5154265.0;;;0.0540000014;0.0540000014;2776218.25
;UY;2011;p99.95p99.99;11613500.0;;21561366.0;;;;16037917.0;;;0.0170000009;0.0170000009;8638430.0
;UY;2011;p99.9p99.95;7105365.0;;13191662.0;;;;11425365.0;;;0.0130000003;0.0130000003;6153992.5
;UY;2011;p99.9p99.99;9109080.0;;16911714.0;;;;11425365.0;;;0.0299999993;0.0299999993;6153992.5
;UY;2011;p99p99.5;2240762.5;;4160149.5;;;;3733257.75;;;0.0410000011;0.0410000011;2010827.75
;UY;2011;p95p100;1873806.125;;3478866.5;;1.9982168674;1.9982167482;1740985.625;;;0.3428571522;0.3428571522;937739.125
;UY;2011;p99.5p100;5629232.5;;10451107.0;;2.0276620388;2.0276620388;5154265.0;;;0.1030000001;0.1030000001;2776218.25
;UY;2011;p99.95p100;19674050.0;;36526400.0;;2.2775027752;2.2775027752;16037917.0;;;0.0359999985;0.0359999985;8638430.0
;UY;2010;p0p100;249770.234375;249770.234375;480214.75;480214.75;;;;5.92152297472e+11;1.13848745984e+12;;;
;UY;2010;p99p100;3646649.0;;7011142.0;;1.885682106;1.8856822252;3718093.25;;;0.1459999979;0.1459999979;1933862.0
;UY;2010;p99.9p100;12238899.0;;23530826.0;;2.0506775379;2.0506775379;11474659.0;;;0.0489999987;0.0489999987;5968222.0
;UY;2010;p99.99p100;42453896.0;;81622968.0;;2.1409263611;2.1409261227;38125072.0;;;0.0170000009;0.0170000009;19829686.0
;UY;2010;p90p100;1248850.875;;2401073.25;;2.1013801098;2.1013801098;1142617.25;;;0.5;0.5;594300.3125
;UY;2010;p90p95;723765.875;;1391531.125;;;;1142617.25;;;0.1448863596;0.1448863596;594300.3125
;UY;2010;p95p99;1305758.375;;2510485.0;;;;1705528.25;;;0.2091136426;0.2091136426;887082.6875
;UY;2010;p99.5p99.9;3434333.75;;6602939.5;;;;5127386.0;;;0.0549999997;0.0549999997;2666866.0
;UY;2010;p99.95p99.99;11863886.0;;22809816.0;;;;16392838.0;;;0.0189999994;0.0189999994;8526275.0
;UY;2010;p99.9p99.95;6494497.0;;12486489.0;;;;11474659.0;;;0.0130000003;0.0130000003;5968222.0
;UY;2010;p99.9p99.99;8881010.0;;17074862.0;;;;11474659.0;;;0.0320000015;0.0320000015;5968222.0
;UY;2010;p99p99.5;2098072.0;;4033807.75;;;;3718093.25;;;0.0419999994;0.0419999994;1933862.0
;UY;2010;p95p100;1773936.0;;3410615.5;;1.9997413158;1.9997413158;1705528.25;;;0.3551136255;0.3551136255;887082.6875
;UY;2010;p99.5p100;5195226.0;;9988477.0;;1.9480640888;1.9480640888;5127386.0;;;0.1040000021;0.1040000021;2666866.0
;UY;2010;p99.95p100;17982616.0;;34573848.0;;2.1090824604;2.1090824604;16392838.0;;;0.0359999985;0.0359999985;8526275.0
;UY;2009;p0p100;233995.03125;233995.03125;460021.1875;460021.1875;;;;5.49490491392e+11;1.08026776781e+12;;;
;UY;2009;p99p100;3322732.5;;6532307.0;;1.8201797009;1.8201797009;3588825.5;;;0.1420000046;0.1420000046;1825497.0
;UY;2009;p99.9p100;10763910.0;;21161248.0;;2.046169281;2.046169281;10341885.0;;;0.0460000001;0.0460000001;5260518.0
;UY;2009;p99.99p100;39772556.0;;78190632.0;;2.4709746838;2.4709744453;31643640.0;;;0.0170000009;0.0170000009;16095898.0
;UY;2009;p90p100;1166163.875;;2292613.25;;2.0712583065;2.0712583065;1106869.75;;;0.4983713329;0.4983713329;563021.9375
;UY;2009;p90p95;685978.75;;1348596.0;;;;1106869.75;;;0.146579802;0.146579802;563021.9375
;UY;2009;p95p99;1227253.75;;2412712.5;;;;1661511.625;;;0.2097915262;0.2097915262;845146.8125
