Variable Name;.;.;.;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency
;SE;2013;p99.99p100;34855985.2516;2.4384760857;;0.01243073;0.01243073;14294168.0
;SE;2013;p90p100;858868.464583;1.7080391645;;0.3062485;0.3062485;502838.875
;SE;2013;p90p95;544341.580025;;;0.0970485;0.0970485;502838.875
;SE;2013;p95p99;854893.907978;;;0.12193255;0.12193255;616274.6875
;SE;2013;p99.5p99.9;2208988.5158;;;0.0315066;0.0315066;1529688.25
;SE;2013;p99.95p99.99;7953757.35905;;;0.01134454;0.01134454;
;SE;2013;p99.9p99.95;4351291.04972;;;0.00775718;0.00775718;3602513.5
;SE;2013;p99.9p99.99;5952466.71711;;;0.01910172;0.01910172;3602513.5
;SE;2013;p99p99.5;1358963.94683;;;0.0242284;0.0242284;1329272.625
;SE;2013;p95p100;1173395.34914;1.9040135145;;0.2092;0.2092;616274.6875
;SE;2013;p99.5p100;3535842.07759;2.3114788532;;0.06303905;0.06303905;1529688.25
;SE;2013;p99.95p100;13334844.3067;;;0.02377527;0.02377527;
;SE;2012;p0p100;271815.495117;;2.15739602809e+12;;;
;SE;2012;p99p100;2355926.88607;1.8456168175;;0.08667367;0.08667367;1276498.375
;SE;2012;p99.9p100;8575220.55939;2.4862360954;;0.03154754;0.03154754;3449077.25
;SE;2012;p99.99p100;34491603.9482;2.4622917175;;0.01269145;0.01269145;14007928.0
;SE;2012;p90p100;827785.89139;1.7052322626;;0.3045397;0.3045397;485438.78125
;SE;2012;p90p95;528606.531568;;;0.0972363;0.0972363;485438.78125
;SE;2012;p95p99;819725.300321;;;0.12062973;0.12062973;610618.1875
;SE;2012;p99.5p99.9;2089643.28749;;;0.03075097;0.03075097;1439797.625
;SE;2012;p99.95p99.99;7639720.80157;;;0.0112427;0.0112427;
;SE;2012;p99.9p99.95;4139174.72584;;;0.00761339;0.00761339;3449077.25
;SE;2012;p99.9p99.99;5695050.26159;;;0.01885609;0.01885609;3449077.25
;SE;2012;p99p99.5;1325110.4931;;;0.02437516;0.02437516;1276498.375
;SE;2012;p95p100;1126965.25121;1.8456135988;;0.2073034;0.2073034;610618.1875
;SE;2012;p99.5p100;3386743.27903;2.3522355556;;0.06229851;0.06229851;1439797.625
;SE;2012;p99.95p100;13010737.5998;;;0.02393415;0.02393415;
;SE;2011;p0p100;263912.130427;;2.08108180053e+12;;;
;SE;2011;p99p100;2377461.77902;1.8885273933;;0.09008527;0.09008527;1258897.125
;SE;2011;p99.9p100;8710711.32214;2.464717865;;0.03300568;0.03300568;3534161.5
;SE;2011;p99.99p100;35791286.3119;2.6383876801;;0.01356407;0.01356407;13565590.0
;SE;2011;p90p100;815093.462121;1.7395972013;;0.3088504;0.3088504;468553.0
;SE;2011;p90p95;515232.353585;;;0.0976144;0.0976144;468553.0
;SE;2011;p95p99;799328.238887;;;0.12115073;0.12115073;590383.8125
;SE;2011;p99.5p99.9;2113264.80781;;;0.03202989;0.03202989;1454236.25
;SE;2011;p99.95p99.99;7578378.92014;;;0.01148641;0.01148641;
;SE;2011;p99.9p99.95;4199251.84635;;;0.0079552;0.0079552;3534161.5
;SE;2011;p99.9p99.99;5701160.70072;;;0.01944161;0.01944161;3534161.5
;SE;2011;p99p99.5;1322185.17691;;;0.0250497;0.0250497;1258897.125
;SE;2011;p95p100;1114954.57066;1.8885250092;;0.211236;0.211236;590383.8125
;SE;2011;p99.5p100;3432738.38112;2.3605093956;;0.06503557;0.06503557;1454236.25
;SE;2011;p99.95p100;13221633.0152;;;0.02505048;0.02505048;
;SE;2010;p0p100;263429.240224;;2.06281401353e+12;;;
;SE;2010;p99p100;2366585.14998;1.8798835278;;0.08983752;0.08983752;1258899.875
;SE;2010;p99.9p100;8480631.14182;2.4407382011;;0.03219279;0.03219279;3474617.25
;SE;2010;p99.99p100;34462810.8863;2.6149322987;;0.01308455;0.01308455;13179236.0
;SE;2010;p90p100;816458.142923;1.7443538904;;0.3099346;0.3099346;468057.625
;SE;2010;p90p95;518682.024532;;;0.0984481;0.0984481;468057.625
;SE;2010;p95p99;801147.005685;;;0.12164898;0.12164898;592714.9375
;SE;2010;p99.5p99.9;2112833.16919;;;0.03208205;0.03208205;1461345.125
;SE;2010;p99.95p99.99;7385423.04005;;;0.01121447;0.01121447;
;SE;2010;p99.9p99.95;4159200.99873;;;0.00789377;0.00789377;3474617.25
;SE;2010;p99.9p99.99;5593148.68528;;;0.01910824;0.01910824;3474617.25
;SE;2010;p99p99.5;1346792.71827;;;0.02556268;0.02556268;1258899.875
;SE;2010;p95p100;1114234.26131;1.8798822165;;0.2114865;0.2114865;592714.9375
;SE;2010;p99.5p100;3386377.58169;2.3173017502;;0.06427484;0.06427484;1461345.125
;SE;2010;p99.95p100;12801546.1544;;;0.02429902;0.02429902;
;SE;2009;p0p100;261384.969239;;2.02915609762e+12;;;
;SE;2009;p99p100;2198938.92791;1.8296546936;;0.08412637;0.08412637;1201832.75
;SE;2009;p99.9p100;7570679.09214;2.4440255165;;0.02896334;0.02896334;3097627.0
;SE;2009;p99.99p100;31429829.1984;2.9143300056;;0.01202634;0.01202634;10784581.0
;SE;2009;p90p100;784869.858222;1.6666285992;;0.3002736;0.3002736;470932.65625
;SE;2009;p90p95;509837.003852;;;0.0975261;0.0975261;470932.65625
;SE;2009;p95p99;775144.083085;;;0.11862113;0.11862113;579291.875
;SE;2009;p99.5p99.9;1918827.06288;;;0.02936406;0.02936406;1322112.375
;SE;2009;p99.95p99.99;6393858.11611;;;0.00978475;0.00978475;
;SE;2009;p99.9p99.95;3739252.2552;;;0.00715225;0.00715225;3097627.0
;SE;2009;p99.9p99.99;4919135.68673;;;0.016937;0.016937;3097627.0
;SE;2009;p99p99.5;1348693.86218;;;0.02579897;0.02579897;1201832.75
;SE;2009;p95p100;1059902.71259;1.8296523094;;0.2027475;0.2027475;579291.875
;SE;2009;p99.5p100;3049183.99365;2.3062970638;;0.0583274;0.0583274;1322112.375
;SE;2009;p99.95p100;11401649.2087;;;0.02181109;0.02181109;
;SE;2008;p0p100;260575.252301;;2.00200358314e+12;;;
;SE;2008;p99p100;2342458.88339;1.9336106777;;0.08989559;0.08989559;1211442.875
;SE;2008;p99.9p100;8887429.64677;2.6894910336;;0.03410652;0.03410652;3304502.5
;SE;2008;p99.99p100;39261550.8591;2.8525452614;;0.01506976;0.01506976;13763691.0
;SE;2008;p90p100;788907.559054;1.7042720318;;0.3027562;0.3027562;462900.03125
;SE;2008;p90p95;500888.584324;;;0.0961121;0.0961121;462900.03125
;SE;2008;p95p99;760543.917831;;;0.11674851;0.11674851;556951.8125
;SE;2008;p99.5p99.9;1950330.84168;;;0.02993891;0.02993891;1306964.375
;SE;2008;p99.95p99.99;7383724.41833;;;0.01133469;0.01133469;
;SE;2008;p99.9p99.95;4014228.69228;;;0.00770207;0.00770207;3304502.5
;SE;2008;p99.9p99.99;5511856.73503;;;0.01903676;0.01903676;3304502.5
;SE;2008;p99p99.5;1347183.70343;;;0.02585016;0.02585016;1211442.875
;SE;2008;p95p100;1076926.53379;1.9336080551;;0.2066441;0.2066441;556951.8125
;SE;2008;p99.5p100;3337734.06335;2.5538065434;;0.06404543;0.06404543;1306964.375
;SE;2008;p99.95p100;13760049.6976;;;0.02640445;0.02640445;
;SE;2007;p0p100;265712.436684;;2.02085545898e+12;;;
;SE;2007;p99p100;2642937.86074;2.0169975758;;0.099466;0.099466;1310332.75
;SE;2007;p99.9p100;10411430.2623;2.6854441166;;0.03918257;0.03918257;3876986.25
;SE;2007;p99.99p100;43644209.6667;2.6093895435;;0.01642808;0.01642808;16725832.0
;SE;2007;p90p100;842277.406412;1.8001182079;;0.3169884;0.3169884;467901.15625
;SE;2007;p90p95;510585.991459;;;0.0960787;0.0960787;467901.15625
;SE;2007;p95p99;806727.108757;;;0.1214437;0.1214437;582038.1875
;SE;2007;p99.5p99.9;2259477.15567;;;0.03401394;0.03401394;1518479.625
;SE;2007;p99.95p99.99;9188565.86299;;;0.01383258;0.01383258;
;SE;2007;p99.9p99.95;4741668.59594;;;0.00892191;0.00892191;3876986.25
;SE;2007;p99.9p99.99;6718165.5533;;;0.02275449;0.02275449;3876986.25
;SE;2007;p99p99.5;1396027.38028;;;0.02626949;0.02626949;1310332.75
;SE;2007;p95p100;1173968.82137;2.0169961452;;0.2209097;0.2209097;582038.1875
;SE;2007;p99.5p100;3889848.3412;2.5616731644;;0.07319651;0.07319651;1518479.625
;SE;2007;p99.95p100;16080516.0719;;;0.03026066;0.03026066;
;SE;2006;p0p100;259542.802616;;1.95316237361e+12;;;
;SE;2006;p99p100;2473445.28664;2.0284106731;;0.0953;0.0953;1219400.625
;SE;2006;p99.9p100;9784889.70976;2.6990320683;;0.0377;0.0377;3625332.75
;SE;2006;p99.99p100;41260459.1974;2.5953886509;;0.0159;0.0159;15897604.0
;SE;2006;p90p100;797315.305617;1.7676377296;;0.3072;0.3072;451062.625
;SE;2006;p90p95;500917.493438;;;0.0965;0.0965;451062.625
;SE;2006;p95p99;748780.589576;;;0.1154;0.1154;539368.5625
;SE;2006;p99.5p99.9;2043895.4441;;;0.0315;0.0315;1360000.875
;SE;2006;p99.95p99.99;8564767.56961;;;0.0132;0.0132;
;SE;2006;p99.9p99.95;4464459.8197;;;0.0086;0.0086;3625332.75
;SE;2006;p99.9p99.99;6286909.34018;;;0.0218;0.0218;3625332.75
;SE;2006;p99p99.5;1354814.73203;;;0.0261;0.0261;1219400.625
;SE;2006;p95p100;1093713.1178;2.0277657509;;0.2107;0.2107;539368.5625
;SE;2006;p99.5p100;3592075.84125;2.6412305832;;0.0692;0.0692;1360000.875
;SE;2006;p99.95p100;15104685.3848;;;0.0291;0.0291;
;SE;2005;p0p100;249813.273897;;1.86075442143e+12;;;
;SE;2005;p99p100;2245823.42071;2.0097835064;;0.0899;0.0899;1117445.5
;SE;2005;p99.9p100;8318888.92535;2.4041602612;;0.0333;0.0333;3460205.75
;SE;2005;p99.99p100;31471249.4445;2.3319733143;;0.0126;0.0126;13495545.0
;SE;2005;p90p100;743693.921397;1.7381254435;;0.2977;0.2977;427871.25
;SE;2005;p90p95;487135.756373;;;0.0975;0.0975;427871.25
;SE;2005;p95p99;688859.716857;;;0.1103;0.1103;497658.875
;SE;2005;p99.5p99.9;2017238.0507;;;0.0323;0.0323;1403744.5
;SE;2005;p99.95p99.99;7681627.95723;;;0.0123;0.0123;
;SE;2005;p99.9p99.95;4197167.10919;;;0.0084;0.0084;3460205.75
;SE;2005;p99.9p99.99;5745893.29974;;;0.0207;0.0207;3460205.75
;SE;2005;p99p99.5;1214093.64012;;;0.0243;0.0243;1117445.5
;SE;2005;p95p100;1000252.08642;2.0099151134;;0.2002;0.2002;497658.875
;SE;2005;p99.5p100;3277553.20131;2.3348646164;;0.0656;0.0656;1403744.5
;SE;2005;p99.95p100;12440119.4169;;;0.0249;0.0249;
;SE;2004;p0p100;239635.198347;;1.77223293512e+12;;;
;SE;2004;p99p100;1885930.77492;1.9027941227;;0.0787;0.0787;991137.5625
;SE;2004;p99.9p100;6709871.81743;2.6149358749;;0.028;0.028;2565979.5
;SE;2004;p99.99p100;28751452.2768;2.7453298569;;0.012;0.012;10472859.0
;SE;2004;p90p100;676010.720949;1.6148098707;;0.2821;0.2821;418631.78125
;SE;2004;p90p95;473039.760068;;;0.0987;0.0987;418631.78125
;SE;2004;p95p99;627244.783674;;;0.1047;0.1047;461891.15625
;SE;2004;p99.5p99.9;1629516.01653;;;0.0272;0.0272;1129994.125
;SE;2004;p99.95p99.99;5691239.51652;;;0.0095;0.0095;
;SE;2004;p99.9p99.95;3115483.32919;;;0.0065;0.0065;2565979.5
;SE;2004;p99.9p99.99;4260320.72062;;;0.016;0.016;2565979.5
;SE;2004;p99p99.5;1126286.48566;;;0.0235;0.0235;991137.5625
;SE;2004;p95p100;878981.681829;1.9030060768;;0.1834;0.1834;461891.15625
;SE;2004;p99.5p100;2645575.06418;2.3412289619;;0.0552;0.0552;1129994.125
;SE;2004;p99.95p100;10303831.8412;;;0.0215;0.0215;
;SE;2003;p0p100;232542.490608;;1.70924779214e+12;;;
;SE;2003;p99p100;1771975.4282;1.9114916325;;0.0762;0.0762;927011.875
;SE;2003;p99.9p100;6301982.48831;2.7045693398;;0.0271;0.0271;2330124.25
;SE;2003;p99.99p100;27202956.7446;2.7807283401;;0.0117;0.0117;9782673.0
;SE;2003;p90p100;644840.158113;1.599691391;;0.2773;0.2773;403102.84375
;SE;2003;p90p95;441830.61681;;;0.095;0.095;403102.84375
;SE;2003;p95p99;616818.611484;;;0.1061;0.1061;502606.78125
;SE;2003;p99.5p99.9;1482455.33978;;;0.0255;0.0255;1011053.25
;SE;2003;p99.95p99.99;5348386.62689;;;0.0092;0.0092;
;SE;2003;p99.9p99.95;2883735.82925;;;0.0062;0.0062;2330124.25
;SE;2003;p99.9p99.99;3979190.59466;;;0.0154;0.0154;2330124.25
;SE;2003;p99p99.5;1097601.57757;;;0.0236;0.0236;927011.875
;SE;2003;p95p100;847849.699416;1.6869046688;;0.1823;0.1823;502606.78125
;SE;2003;p99.5p100;2446349.27882;2.4196047783;;0.0526;0.0526;1011053.25
;SE;2003;p99.95p100;9719821.67965;;;0.0209;0.0209;
;SE;2002;p0p100;227678.731785;;1.66474063579e+12;;;
;SE;2002;p99p100;1728083.20087;1.8972340822;;0.0759;0.0759;910843.4375
;SE;2002;p99.9p100;5965259.49924;2.5405862331;;0.0262;0.0262;2347985.5
;SE;2002;p99.99p100;24129941.164;2.4744236469;;0.0106;0.0106;9751742.0
;SE;2002;p90p100;636134.217062;1.6047530174;;0.2794;0.2794;396406.3125
;SE;2002;p90p95;438053.770089;;;0.0962;0.0962;396406.3125
;SE;2002;p95p99;610747.862818;;;0.1073;0.1073;495577.6875
;SE;2002;p99.5p99.9;1468524.82577;;;0.0258;0.0258;1006539.9375
;SE;2002;p99.95p99.99;5350359.5613;;;0.0094;0.0094;
;SE;2002;p99.9p99.95;2823420.87859;;;0.0062;0.0062;2347985.5
;SE;2002;p99.9p99.99;3946560.52358;;;0.0156;0.0156;2347985.5
;SE;2002;p99p99.5;1088305.36234;;;0.0239;0.0239;910843.4375
;SE;2002;p95p100;834214.664036;1.6833176613;;0.1832;0.1832;495577.6875
;SE;2002;p99.5p100;2367861.03941;2.3524758816;;0.052;0.052;1006539.9375
;SE;2002;p99.95p100;9106723.60103;;;0.02;0.02;
;SE;2001;p0p100;228447.171201;;1.66152441605e+12;;;
;SE;2001;p99p100;1969216.56093;2.1016933918;;0.0862;0.0862;936966.625
;SE;2001;p99.9p100;7675924.03871;2.7745623589;;0.0336;0.0336;2766535.0
;SE;2001;p99.99p100;31977298.7678;2.4064152241;;0.014;0.014;13288354.0
;SE;2001;p90p100;660440.637014;1.6827762127;;0.2891;0.2891;392470.875
;SE;2001;p90p95;436790.9021;;;0.0956;0.0956;392470.875
;SE;2001;p95p99;612809.228918;;;0.1073;0.1073;491298.65625
;SE;2001;p99.5p99.9;1593415.84434;;;0.0279;0.0279;1061789.375
;SE;2001;p99.95p99.99;6910410.18712;;;0.0121;0.0121;
;SE;2001;p99.9p99.95;3426956.06813;;;0.0075;0.0075;2766535.0
;SE;2001;p99.9p99.99;4975234.80132;;;0.0196;0.0196;2766535.0
;SE;2001;p99p99.5;1128530.14049;;;0.0247;0.0247;936966.625
;SE;2001;p95p100;884090.371928;1.7994967699;;0.1935;0.1935;491298.65625
;SE;2001;p99.5p100;2809902.98137;2.6463844776;;0.0615;0.0615;1061789.375
;SE;2001;p99.95p100;11924385.5165;;;0.0261;0.0261;
;SE;2000;p0p100;236802.565161;;1.71435517774e+12;;;
;SE;2000;p99p100;2633247.03639;2.5321912766;;0.1112;0.1112;1039908.4375
;SE;2000;p99.9p100;12337572.4888;3.2578792572;;0.0521;0.0521;3786995.0
;SE;2000;p99.99p100;58480529.3869;2.8823184967;;0.0247;0.0247;20289406.0
;SE;2000;p90p100;741428.654901;1.8752815723;;0.3131;0.3131;395369.25
;SE;2000;p90p95;444241.506418;;;0.0938;0.0938;395369.25
;SE;2000;p95p99;639958.589179;;;0.1081;0.1081;499626.59375
;SE;2000;p99.5p99.9;1971377.36026;;;0.0333;0.0333;1256087.75
;SE;2000;p99.95p99.99;10241537.5794;;;0.0173;0.0173;
;SE;2000;p99.9p99.95;4783758.54046;;;0.0101;0.0101;3786995.0
;SE;2000;p99.9p99.99;7209558.60209;;;0.0274;0.0274;3786995.0
;SE;2000;p99p99.5;1221902.40178;;;0.0258;0.0258;1039908.4375
;SE;2000;p95p100;1038615.80338;2.078783989;;0.2193;0.2193;499626.59375
;SE;2000;p99.5p100;4044591.671;3.2199914455;;0.0854;0.0854;1256087.75
;SE;2000;p99.95p100;19890485.9944;;;0.042;0.042;
;SE;1999;p0p100;224054.432189;;1.6166045044e+12;;;
;SE;1999;p99p100;2083708.17288;2.2099692822;;0.093;0.093;942867.5
;SE;1999;p99.9p100;8290120.58911;2.7327387333;;0.037;0.037;3033630.75
;SE;1999;p99.99p100;34946691.8263;2.5632374287;;0.0156;0.0156;13633810.0
;SE;1999;p90p100;666561.766076;1.7383486032;;0.2975;0.2975;383445.40625
;SE;1999;p90p95;427943.856539;;;0.0955;0.0955;383445.40625
;SE;1999;p95p99;610547.99033;;;0.109;0.109;475439.25
;SE;1999;p99.5p99.9;1719614.25438;;;0.0307;0.0307;1143664.75
;SE;1999;p99.95p99.99;7337658.32585;;;0.0131;0.0131;
;SE;1999;p99.9p99.95;3719573.10613;;;0.0083;0.0083;3033630.75
;SE;1999;p99.9p99.99;5327690.85628;;;0.0214;0.0214;3033630.75
;SE;1999;p99p99.5;1133716.48976;;;0.0253;0.0253;942867.5
;SE;1999;p95p100;905179.675612;1.9038808346;;0.202;0.202;475439.25
;SE;1999;p99.5p100;3033699.856;2.6526129246;;0.0677;0.0677;1143664.75
;SE;1999;p99.95p100;12860123.2458;;;0.0287;0.0287;
;SE;1998;p0p100;209929.162238;;1.51155943306e+12;;;
;SE;1998;p99p100;1715122.86032;2.1866562366;;0.0817;0.0817;784358.6875
;SE;1998;p99.9p100;6612853.62949;2.8817899227;;0.0315;0.0315;2294703.5
;SE;1998;p99.99p100;29595100.3523;2.7346463203;;0.0141;0.0141;10822277.0
;SE;1998;p90p100;593469.589484;1.6398694515;;0.2827;0.2827;361900.5
;SE;1998;p90p95;398445.447768;;;0.0949;0.0949;361900.5
;SE;1998;p95p99;556836.794115;;;0.1061;0.1061;453818.625
;SE;1998;p99.5p99.9;1333047.45475;;;0.0254;0.0254;874365.375
;SE;1998;p99.95p99.99;5615509.93114;;;0.0107;0.0107;
;SE;1998;p99.9p99.95;2813254.626;;;0.0067;0.0067;2294703.5
;SE;1998;p99.9p99.99;4058763.29232;;;0.0174;0.0174;2294703.5
;SE;1998;p99p99.5;1041249.61899;;;0.0248;0.0248;784358.6875
;SE;1998;p95p100;788493.731199;1.7374644279;;0.1878;0.1878;453818.625
;SE;1998;p99.5p100;2388996.10165;2.7322628498;;0.0569;0.0569;874365.375
;SE;1998;p99.95p100;10411999.7066;;;0.0248;0.0248;
;SE;1997;p0p100;198200.795488;;1.42448519813e+12;;;
;SE;1997;p99p100;1508309.46294;1.8300799131;;0.0761;0.0761;824176.8125
;SE;1997;p99.9p100;5846998.63165;2.7009005547;;0.0295;0.0295;2164833.0
;SE;1997;p99.99p100;24572820.568;2.5353627205;;0.0124;0.0124;9692034.0
;SE;1997;p90p100;557538.694002;1.6365658045;;0.2813;0.2813;340676.0
;SE;1997;p90p95;378563.421807;;;0.0955;0.0955;340676.0
;SE;1997;p95p99;543565.379527;;;0.1097;0.1097;424320.25
;SE;1997;p99.5p99.9;1268482.49595;;;0.0256;0.0256;842421.8125
;SE;1997;p99.95p99.99;5202682.71143;;;0.0105;0.0105;
;SE;1997;p99.9p99.95;2616440.08748;;;0.0066;0.0066;2164833.0
;SE;1997;p99.9p99.99;3765938.34891;;;0.0171;0.0171;2164833.0
;SE;1997;p99p99.5;832444.118838;;;0.021;0.021;824176.8125
;SE;1997;p95p100;736513.966197;1.7357501984;;0.1858;0.1858;424320.25
;SE;1997;p99.5p100;2184174.80705;2.5927329063;;0.0551;0.0551;842421.8125
;SE;1997;p99.95p100;9077172.08124;;;0.0229;0.0229;
;SE;1996;p0p100;191135.418676;;1.37185727295e+12;;;
;SE;1996;p99p100;1336037.78627;1.7644541264;;0.0699;0.0699;757196.125
;SE;1996;p99.9p100;4778446.75709;2.7180964947;;0.025;0.025;1758012.25
;SE;1996;p99.99p100;20256991.971;2.5848093033;;0.0106;0.0106;7836938.5
;SE;1996;p90p100;521035.001962;1.5801023245;;0.2726;0.2726;329747.625
;SE;1996;p90p95;365068.545029;;;0.0955;0.0955;329747.625
;SE;1996;p95p99;512242.622563;;;0.1072;0.1072;402577.8125
;SE;1996;p99.5p99.9;1079912.87494;;;0.0226;0.0226;713290.5
;SE;1996;p99.95p99.99;4157124.7851;;;0.0087;0.0087;
;SE;1996;p99.9p99.95;2179101.60748;;;0.0057;0.0057;1758012.25
;SE;1996;p99.9p99.99;3058266.68762;;;0.0144;0.0144;1758012.25
;SE;1996;p99p99.5;852464.739163;;;0.0223;0.0223;757196.125
;SE;1996;p95p100;677001.458896;1.6816661358;;0.1771;0.1771;402577.8125
;SE;1996;p99.5p100;1819610.83337;2.5510094166;;0.0476;0.0476;713290.5
;SE;1996;p99.95p100;7377482.0551;;;0.0193;0.0193;
;SE;1995;p0p100;179161.777624;;1.28342486791e+12;;;
;SE;1995;p99p100;1074971.72075;1.6417353153;;0.06;0.06;654777.75
;SE;1995;p99.9p100;3224953.60673;2.1499245167;;0.018;0.018;1500031.125
;SE;1995;p99.99p100;11106187.5676;2.1763641834;;0.0062;0.0062;5103092.5
;SE;1995;p90p100;462058.127152;1.5002931356;;0.2579;0.2579;307978.5625
;SE;1995;p90p95;336824.070976;;;0.094;0.094;307978.5625
;SE;1995;p95p99;465372.480648;;;0.1039;0.1039;376927.90625
