Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
;IM;2014;p0p100;8878.09863281;57914.5976562;49036.5;49036.5;82590.0;733242176.0;4783166976.0;4049924608.0;4049924608.0;0.9437605739;0.8731774688;;0.6690964699;0.6077296138;0.193462342;
;IM;2013;p0p100;8770.40722656;55528.328125;46757.921875;46757.921875;82013.0;719287424.0;4554044928.0;3834757376.0;3834757376.0;0.9487704039;0.885659039;;0.6842622161;0.6396605968;0.1953880787;
;IM;2012;p0p100;8514.45117188;53536.7460938;45022.2929688;45022.2929688;81406.0;693127424.0;4358212096.0;3665084672.0;3665084672.0;0.9344004989;0.8829636574;;0.6848631501;0.6330469847;0.1961493194;
;IM;2011;p0p100;8153.85791016;50791.421875;42637.5625;42637.5625;80759.0;658497408.0;4101864448.0;3443366912.0;3443366912.0;0.934533298;0.8944257498;;0.6980000138;0.6241408587;0.1991136372;
;IM;2010;p0p100;7736.87695312;48873.9960938;41137.1171875;41137.1171875;80072.0;619507200.0;3913438464.0;3293931264.0;3293931264.0;0.9790719748;0.9467061758;;0.7470787168;0.6471793652;0.2254417837;
;IM;2009;p0p100;7298.98925781;45088.7382812;37789.75;37789.75;79325.0;578992320.0;3576664320.0;2997671936.0;2997671936.0;0.9847607613;0.9584354162;;0.7634496093;0.6419192553;0.2424236834;
;IM;2008;p0p100;6870.24755859;44594.3242188;37724.0742188;37724.0742188;78534.0;539548032.0;3502170624.0;2962622464.0;2962622464.0;0.9051939845;0.8895161152;;0.709849596;0.5439662337;0.2196500152;
;IM;2007;p0p100;6447.10742188;41017.59375;34570.484375;34570.484375;77727.0;501114336.0;3188174336.0;2687059968.0;2687059968.0;0.891373992;0.8939332962;;0.7131361365;0.4997716546;0.2331772;
;IM;2006;p0p100;6050.82519531;38574.6914062;32523.8652344;32523.8652344;76914.0;465393184.0;2966933760.0;2501540608.0;2501540608.0;0.6126323938;0.6295218468;;0.503580451;0.5434866548;0.1723096967;
;IM;2005;p0p100;5692.86572266;36191.2851562;30498.421875;30498.421875;76118.0;433329568.0;2754808320.0;2321478912.0;2321478912.0;0.5931941867;0.6214722991;;0.5020657778;0.549998343;0.1725036651;
;IM;2004;p0p100;5376.67138672;34527.453125;29150.7832031;29150.7832031;75341.0;405083808.0;2601332992.0;2196249088.0;2196249088.0;0.5750117898;0.6139226556;;0.5015256405;0.5461800098;0.1743162423;
;IM;2003;p0p100;5090.67431641;33152.546875;28061.8710938;28061.8710938;74587.0;379698112.0;2472748800.0;2093050752.0;2093050752.0;0.5426540375;0.5905153751;;0.4865442216;0.6124724746;0.1754189581;
;IM;2002;p0p100;4815.60644531;31482.203125;26666.5976562;26666.5976562;73870.0;355728864.0;2325590272.0;1969861504.0;1969861504.0;0.5286451578;0.5879525542;;0.4844382703;0.6672233343;0.1767891049;
;IM;2001;p0p100;4535.36865234;30012.3984375;25477.0292969;25477.0292969;73192.0;331952704.0;2196667392.0;1864714752.0;1864714752.0;0.5135217309;0.5851337314;;0.4789411128;0.6946550012;0.1718201637;
;IM;2000;p0p100;4235.21728516;28731.6855469;24496.46875;24496.46875;72554.0;307281952.0;2084598656.0;1777316736.0;1777316736.0;0.5075964928;0.5924862027;;0.4853075743;0.6609308124;0.1728796959;
;IM;1999;p0p100;3907.53613281;27503.8144531;23596.2792969;23596.2792969;71952.0;281155040.0;1978954368.0;1697799424.0;1697799424.0;0.4915376306;0.5819446445;;0.4810293615;0.6180568337;0.1787344515;
;IM;1998;p0p100;3562.04711914;24381.6972656;20819.6484375;20819.6484375;71390.0;254294544.0;1740609280.0;1486314752.0;1486314752.0;0.4804861546;0.5781404972;;0.4776484072;0.6038236022;0.1767122895;
;IM;1997;p0p100;3237.11767578;21637.8046875;18400.6875;18400.6875;70869.0;229411296.0;1533449600.0;1304038272.0;1304038272.0;0.4693220258;0.570635736;;0.4726103246;0.6108360887;0.1738533676;
;IM;1996;p0p100;2963.63989258;20051.6542969;17088.0136719;17088.0136719;70431.0;208732128.0;1412258048.0;1203525888.0;1203525888.0;0.4571540356;0.5546917319;;0.469312042;0.6409582496;0.1803303361;
;IM;1995;p0p100;2752.63720703;18711.1972656;15958.5605469;15958.5605469;70070.0;192877296.0;1311093632.0;1118216320.0;1118216320.0;0.4457670152;0.5550120473;;0.4671106935;0.6336681247;0.1942010075;
;IM;1994;p0p100;2599.74536133;18007.8105469;15408.0664062;15408.0664062;69818.0;181509024.0;1257269376.0;1075760384.0;1075760384.0;0.4330404699;;;0.4631461203;0.6534265876;0.2259320319;
;IM;1993;p0p100;2491.94970703;17354.8847656;14862.9345703;14862.9345703;69656.0;173579248.0;1208871808.0;1035292544.0;1035292544.0;0.4223228395;;;0.4615918696;0.6667565703;0.2791517675;
;IM;1992;p0p100;2415.98388672;16964.3945312;14548.4101562;14548.4101562;69475.0;167850480.0;1178601216.0;1010750784.0;1010750784.0;0.4132804573;;;0.4631350935;0.5697741508;0.3466172516;
;IM;1991;p0p100;2356.79614258;16924.1914062;14567.3964844;14567.3964844;69096.0;162845184.0;1169393920.0;1006548800.0;1006548800.0;0.3983213305;;;0.4580102265;0.5670153499;0.3659580052;
;IM;1990;p0p100;2292.70898438;16819.2285156;14526.5205078;14526.5205078;68429.0;156887776.0;1150923008.0;994035264.0;994035264.0;0.3726443946;;;0.4438164234;0.5631771684;0.3550285101;
;IM;1989;p0p100;2207.35009766;16392.6914062;14185.3408203;14185.3408203;67388.0;148748912.0;1104670592.0;955921728.0;955921728.0;0.3417208791;;;0.4232755601;0.6111727357;0.3688844442;
;IM;1988;p0p100;2091.25805664;15653.9892578;13562.7314453;13562.7314453;66047.0;138121328.0;1033899008.0;895777728.0;895777728.0;0.3179423511;;;0.4100773036;0.5621701479;0.4067879915;
;IM;1987;p0p100;1944.609375;14305.0009766;12360.3925781;12360.3925781;64630.0;125680104.0;924532224.0;798852160.0;798852160.0;0.3044340611;;;0.4067852795;0.611926496;0.450304985;
;IM;1986;p0p100;1777.56921387;13260.7705078;11483.2011719;11483.2011719;63441.0;112770768.0;841276544.0;728505792.0;728505792.0;0.2889169455;;;0.3961075544;0.6821973324;0.457221657;
;IM;1985;p0p100;1603.12927246;11265.9208984;9662.79101562;9662.79101562;62696.0;100509792.0;706328192.0;605818368.0;605818368.0;0.2827763557;;;0.3956368566;0.7792459726;0.472214371;
;IM;1984;p0p100;1436.41015625;11256.4414062;9820.03027344;9820.03027344;62487.0;89756960.0;703381248.0;613624256.0;613624256.0;0.2684871852;;;0.3887864351;0.7518066764;0.4588736594;
;IM;1983;p0p100;;;;;62730.0;;;;;;;;;0.6597245932;;
;IM;1982;p0p100;;;;;63191.0;;;;;;;;;0.5724468231;;
;IM;1981;p0p100;;;;;63540.0;;;;;;;;;0.497641325;;
;IM;1980;p0p100;;;;;63551.0;;;;;;;;;0.4302949905;;
;IM;1979;p0p100;;;;;63151.0;;;;;;;;;0.4721811712;;
;IM;1978;p0p100;;;;;62406.0;;;;;;;;;0.521504581;;
;IM;1977;p0p100;;;;;61443.0;;;;;;;;;0.5732719898;;
;IM;1976;p0p100;;;;;60428.0;;;;;;;;;0.5565098524;;
;IM;1975;p0p100;;;;;59478.0;;;;;;;;;0.4520411789;;
;IM;1974;p0p100;;;;;58655.0;;;;;;;;;;;
;IM;1973;p0p100;;;;;57900.0;;;;;;;;;;;
;IM;1972;p0p100;;;;;57154.0;;;;;;;;;;;
;IM;1971;p0p100;;;;;56352.0;;;;;;;;;;;
;IM;1970;p0p100;;;;;55425.0;;;;;;;;;;;
;IM;1969;p0p100;;;;;54376.0;;;;;;;;;;;
;IM;1968;p0p100;;;;;53254.0;;;;;;;;;;;
;IM;1967;p0p100;;;;;52118.0;;;;;;;;;;;
;IM;1966;p0p100;;;;;51049.0;;;;;;;;;;;
;IM;1965;p0p100;;;;;50141.0;;;;;;;;;;;
;IM;1964;p0p100;;;;;49391.0;;;;;;;;;;;
;IM;1963;p0p100;;;;;48800.0;;;;;;;;;;;
;IM;1962;p0p100;;;;;48418.0;;;;;;;;;;;
;IM;1961;p0p100;;;;;48281.0;;;;;;;;;;;
;IM;1960;p0p100;;;;;48442.0;;;;;;;;;;;
;IM;1959;p0p100;;;;;48883.0;;;;;;;;;;;
;IM;1958;p0p100;;;;;49566.0;;;;;;;;;;;
