;SX;2015;p0p100;7285.45605469;49356.734375;42071.2773438;-2332.2265625;39739.0507812;38750.0;282311424.0;1912573440.0;1630262016.0;-90373776.0;1539888256.0;0.9980792403;1.8294985294;;1.406468749;1.7899999619;0.4136814177;
;SX;2014;p0p100;7446.2734375;50478.5039062;43032.2304688;-2200.13647461;40832.09375;37697.0;280702176.0;1902888192.0;1622185984.0;-82938544.0;1539247488.0;0.9951722622;1.8503602743;;1.4178898335;1.7899999619;0.4099682271;
;SX;2013;p0p100;7655.96777344;51405.6992188;43749.7304688;-1082.56115723;42667.171875;36439.0;278975808.0;1873172224.0;1594196480.0;-39447448.0;1554749056.0;0.9774999619;1.8337473869;;1.4167574644;1.7899999619;0.4045488834;
;SX;2012;p0p100;7891.08837891;52635.0507812;44743.9609375;-1636.55895996;43107.4023438;35133.0;277237600.0;1849227264.0;1571989632.0;-57497228.0;1514492416.0;0.9542703629;1.8121683598;;1.4055927992;1.7899999619;0.4025710523;
;SX;2011;p0p100;8108.57373047;53676.3867188;45567.8164062;-1967.26086426;43600.5546875;33976.0;275496896.0;1823708928.0;1548212096.0;-66839656.0;1481372416.0;0.9187623858;1.7671362162;;1.3790537119;1.7899999619;0.3933930993;
;SX;2010;p0p100;8259.39746094;54923.1132812;46663.71875;;44650.7617188;33124.0;273584288.0;1819273216.0;1545688960.0;;1479011840.0;0.8820677996;1.7140358686;;1.3526052237;;0.4081681371;
;SX;2009;p0p100;8304.75292969;55151.8632812;46847.109375;;44825.7695312;32632.0;271000704.0;1799715584.0;1528714880.0;;1462754560.0;0.8543617129;1.6710568666;;1.3310940266;;0.4226719141;
;SX;2008;p0p100;8239.87695312;55611.2148438;47371.3398438;;45333.1679688;32437.0;267276896.0;1803860992.0;1536584192.0;;1470471936.0;0.8481654525;1.6749817133;;1.3366650343;;0.4136066139;
;SX;2007;p0p100;8072.95214844;54932.9765625;46860.0234375;;44846.7070312;32439.0;261878496.0;1781970816.0;1520092288.0;;1454782336.0;0.8111104369;1.63471663;;1.3040966988;;0.4264061451;
;SX;2006;p0p100;7839.66308594;52650.1875;44810.5234375;;42880.8710938;32517.0;254922320.0;1712026112.0;1457103744.0;;1394357248.0;0.7927802801;1.6371217966;;1.3096011877;;0.4481051266;
;SX;2005;p0p100;7604.59960938;50218.8085938;42614.2070312;;40773.6679688;32531.0;247385232.0;1633668096.0;1386282752.0;;1326408192.0;0.7757027745;1.6331931353;;1.3193997145;;0.4533296227;
;SX;2004;p0p100;;;;;;32464.0;;;;;;;;;;;;
;SX;2003;p0p100;;;;;;32346.0;;;;;;;;;;;;
;SX;2002;p0p100;;;;;;32182.0;;;;;;;;;;;;
;SX;2001;p0p100;;;;;;32000.0;;;;;;;;;;;;
;SX;2000;p0p100;;;;;;31819.0;;;;;;;;;;;;
;SX;1999;p0p100;;;;;;31615.0;;;;;;;;;;;;
;SX;1998;p0p100;;;;;;31374.0;;;;;;;;;;;;
;SX;1997;p0p100;;;;;;31110.0;;;;;;;;;;;;
;SX;1996;p0p100;;;;;;30853.0;;;;;;;;;;;;
;SX;1995;p0p100;;;;;;30633.0;;;;;;;;;;;;
;SX;1994;p0p100;;;;;;30471.0;;;;;;;;;;;;
;SX;1993;p0p100;;;;;;30339.0;;;;;;;;;;;;
;SX;1992;p0p100;;;;;;30090.0;;;;;;;;;;;;
;SX;1991;p0p100;;;;;;29534.0;;;;;;;;;;;;
;SX;1990;p0p100;;;;;;28549.0;;;;;;;;;;;;
;SX;1989;p0p100;;;;;;27060.0;;;;;;;;;;;;
;SX;1988;p0p100;;;;;;25155.0;;;;;;;;;;;;
;SX;1987;p0p100;;;;;;23007.0;;;;;;;;;;;;
;SX;1986;p0p100;;;;;;20898.0;;;;;;;;;;;;
;SX;1985;p0p100;;;;;;19028.0;;;;;;;;;;;;
;SX;1984;p0p100;;;;;;17452.0;;;;;;;;;;;;
;SX;1983;p0p100;;;;;;16120.0;;;;;;;;;;;;
;SX;1982;p0p100;;;;;;15002.0;;;;;;;;;;;;
;SX;1981;p0p100;;;;;;14019.0;;;;;;;;;;;;
;SX;1980;p0p100;;;;;;13096.0;;;;;;;;;;;;
;SX;1979;p0p100;;;;;;12249.0;;;;;;;;;;;;
;SX;1978;p0p100;;;;;;11481.0;;;;;;;;;;;;
;SX;1977;p0p100;;;;;;10797.0;;;;;;;;;;;;
;SX;1976;p0p100;;;;;;10161.0;;;;;;;;;;;;
;SX;1975;p0p100;;;;;;9557.0;;;;;;;;;;;;
;SX;1974;p0p100;;;;;;8975.0;;;;;;;;;;;;
;SX;1973;p0p100;;;;;;8428.0;;;;;;;;;;;;
;SX;1972;p0p100;;;;;;7896.0;;;;;;;;;;;;
;SX;1971;p0p100;;;;;;7375.0;;;;;;;;;;;;
;SX;1970;p0p100;;;;;;6864.0;;;;;;;;;;;;
;SX;1969;p0p100;;;;;;6356.0;;;;;;;;;;;;
;SX;1968;p0p100;;;;;;5859.0;;;;;;;;;;;;
;SX;1967;p0p100;;;;;;5365.0;;;;;;;;;;;;
;SX;1966;p0p100;;;;;;4896.0;;;;;;;;;;;;
;SX;1965;p0p100;;;;;;4460.0;;;;;;;;;;;;
;SX;1964;p0p100;;;;;;4067.0;;;;;;;;;;;;
;SX;1963;p0p100;;;;;;3696.0;;;;;;;;;;;;
;SX;1962;p0p100;;;;;;3373.0;;;;;;;;;;;;
;SX;1961;p0p100;;;;;;3077.0;;;;;;;;;;;;
;SX;1960;p0p100;;;;;;2833.0;;;;;;;;;;;;
;SX;1959;p0p100;;;;;;2629.0;;;;;;;;;;;;
;SX;1958;p0p100;;;;;;2463.0;;;;;;;;;;;;
