Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency
;UG;1970;p99.95p99.99;75296992.0;;126464792.0;;;;154608560.0;;;0.0161524098;0.0161524098;92053760.0
;UG;1970;p99.9p99.95;51449208.0;;86411328.0;;;;113938832.0;;;0.0137946149;0.0137946149;67839048.0
;UG;1970;p99.9p99.99;62048748.0;;104213752.0;;;;113938832.0;;;0.0299470257;0.0299470257;67839048.0
;UG;1970;p99.95p100;89854896.0;;150915472.0;;0.9761132598;0.9761132598;154608560.0;;;0.024094861;0.024094861;92053760.0
;UG;1969;p0p100;1846794.875;2793940.75;3196003.75;4835104.0;;;;9.25767408026e+12;1.60210322719e+13;;;
;UG;1969;p99.9p100;73300600.0;;126851664.0;;1.0062583685;1.0062583685;126062712.0;;;0.0396902002;0.0396902002;72844712.0
;UG;1969;p99.99p100;147977296.0;;256084736.0;;0.9301415086;0.9301415086;275318048.0;;;0.0080139842;0.0080139842;159091168.0
;UG;1969;p99.95p99.99;77888688.0;;134791664.0;;;;166584720.0;;;0.0168703105;0.0168703105;96260152.0
;UG;1969;p99.9p99.95;54690904.0;;94646320.0;;;;126062712.0;;;0.0148059046;0.0148059046;72844712.0
;UG;1969;p99.9p99.99;65001544.0;;112489576.0;;;;126062712.0;;;0.0316762142;0.0316762142;72844712.0
;UG;1969;p99.95p100;91908080.0;;159053168.0;;0.9547884464;0.9547884464;166584720.0;;;0.0248842947;0.0248842947;96260152.0
;UG;1968;p0p100;1815475.875;2746559.5;3220675.0;4872428.0;;;;8.83910560973e+12;1.5680674988e+13;;;
;UG;1968;p99.9p100;73818304.0;;130954520.0;;1.0119979382;1.0119979382;129401968.0;;;0.0406600572;0.0406600572;72943136.0
;UG;1968;p99.99p100;147138032.0;;261024560.0;;0.9263067245;0.9263067842;281790624.0;;;0.0081059989;0.0081059989;158843744.0
;UG;1968;p99.95p99.99;78314168.0;;138930240.0;;;;173052624.0;;;0.0172550902;0.0172550902;97548760.0
;UG;1968;p99.9p99.95;55553844.0;;98553160.0;;;;129401968.0;;;0.0152989691;0.0152989691;72943136.0
;UG;1968;p99.9p99.99;65670048.0;;116499416.0;;;;129401968.0;;;0.0325540565;0.0325540565;72943136.0
;UG;1968;p99.95p100;92080584.0;;163352016.0;;0.9439441562;0.9439441562;173052624.0;;;0.025361089;0.025361089;97548760.0
;UG;1967;p0p100;1905319.75;2882480.75;3266686.0;4942036.5;;;;9.01170331648e+12;1.54506373366e+13;;;
;UG;1967;p99.9p100;78060704.0;;133835696.0;;1.0106548071;1.0106548071;132424736.0;;;0.040969342;0.040969342;77237752.0
;UG;1967;p99.99p100;156104448.0;;267642320.0;;0.9234102964;0.9234102368;289841184.0;;;0.0081944438;0.0081944438;169052096.0
;UG;1967;p99.95p99.99;82770672.0;;141910976.0;;;;178074224.0;;;0.0173770469;0.0173770469;103863168.0
;UG;1967;p99.9p99.95;58679920.0;;100607192.0;;;;132424736.0;;;0.0153978532;0.0153978532;77237752.0
;UG;1967;p99.9p99.99;69387456.0;;118965344.0;;;;132424736.0;;;0.0327748992;0.0327748992;77237752.0
;UG;1967;p99.95p100;97439176.0;;167060240.0;;0.9381494522;0.9381495118;178074224.0;;;0.0255714897;0.0255714897;103863168.0
;UG;1966;p0p100;2063986.0;3122520.5;3410705.75;5159918.0;;;;9.48535138714e+12;1.56744003092e+13;;;
;UG;1966;p99.9p100;85632976.0;;141507200.0;;0.9786109924;0.9786109328;144600064.0;;;0.0414885953;0.0414885953;87504616.0
;UG;1966;p99.99p100;168154464.0;;277872736.0;;0.9364336729;0.9364336729;296735072.0;;;0.0081484262;0.0081484262;179569008.0
;UG;1966;p99.95p99.99;89678272.0;;148191984.0;;;;189286288.0;;;0.0173799228;0.0173799228;114546456.0
;UG;1966;p99.9p99.95;65888224.0;;108879296.0;;;;144600064.0;;;0.0159602463;0.0159602463;87504616.0
;UG;1966;p99.9p99.99;76462104.0;;126352472.0;;;;144600064.0;;;0.0333401673;0.0333401673;87504616.0
;UG;1966;p99.95p100;105375384.0;;174131232.0;;0.9199357629;0.9199357629;189286288.0;;;0.025528349;0.025528349;114546456.0
;UG;1965;p0p100;2150292.5;3253089.75;3557239.0;5381602.0;;;;9.60369577165e+12;1.58874394952e+13;;;
;UG;1965;p99.9p100;91115792.0;;150733296.0;;1.0141876936;1.0141878128;148624640.0;;;0.042373132;0.042373132;89841152.0
;UG;1965;p99.99p100;185933040.0;;307589920.0;;0.9573422074;0.9573421478;321295712.0;;;0.0086483071;0.0086483071;194217952.0
;UG;1965;p99.95p99.99;95816864.0;;158510304.0;;;;198726704.0;;;0.0178242717;0.0178242717;120127024.0
;UG;1965;p99.9p99.95;68386632.0;;113132328.0;;;;148624640.0;;;0.0159005523;0.0159005523;89841152.0
;UG;1965;p99.9p99.99;80578448.0;;133301320.0;;;;148624640.0;;;0.0337248258;0.0337248258;89841152.0
;UG;1965;p99.95p100;113842248.0;;188329776.0;;0.9476822615;0.9476822615;198726704.0;;;0.0264725797;0.0264725797;120127024.0
;UG;1964;p0p100;2005962.125;3034738.5;3565505.25;5394108.0;;;;8.70746370867e+12;1.54771159777e+13;;;
;UG;1964;p99.9p100;87006752.0;;154650496.0;;0.9831762314;0.9831761718;157296832.0;;;0.0433735177;0.0433735177;88495584.0
;UG;1964;p99.99p100;166946976.0;;296740576.0;;0.9095261693;0.9095261097;326258432.0;;;0.00832392;0.00832392;183553792.0
;UG;1964;p99.95p99.99;92343192.0;;164135776.0;;;;208684912.0;;;0.0184140578;0.0184140578;117406648.0
;UG;1964;p99.9p99.95;66745364.0;;118636808.0;;;;157296832.0;;;0.016635539;0.016635539;88495584.0
;UG;1964;p99.9p99.99;78122744.0;;138859568.0;;;;157296832.0;;;0.0350495949;0.0350495949;88495584.0
;UG;1964;p99.75p100;60183340.0;;106973112.0;;;;;;;0.0750055015;0.0750055015;
;UG;1964;p99.95p100;107265728.0;;190659888.0;;0.9136256576;0.9136256576;208684912.0;;;0.0267379768;0.0267379768;117406648.0
;UG;1963;p0p100;1889289.75;2858229.5;3288621.25;4975221.5;;;;7.9722750935e+12;1.38770634506e+13;;;
;UG;1963;p99.9p100;84504528.0;;147094112.0;;0.9901142716;0.990114212;148562768.0;;;0.0447276235;0.0447276235;85348256.0
;UG;1963;p99.99p100;166287520.0;;289450912.0;;0.9465523362;0.9465523362;305794944.0;;;0.00880305;0.00880305;175677040.0
;UG;1963;p99.95p99.99;89415888.0;;155643152.0;;;;196179344.0;;;0.0189314336;0.0189314336;112703648.0
;UG;1963;p99.9p99.95;64214584.0;;111776104.0;;;;148562768.0;;;0.0169931408;0.0169931408;85348256.0
;UG;1963;p99.9p99.99;75415720.0;;131273536.0;;;;148562768.0;;;0.0359245725;0.0359245725;85348256.0
;UG;1963;p99.75p100;58600408.0;;102003704.0;;;;;;;0.0775428414;0.0775428414;
;UG;1963;p99.95p100;104792048.0;;182407888.0;;0.9298017621;0.9298017621;196179344.0;;;0.0277344827;0.0277344827;112703648.0
;UG;1962;p0p100;1688244.875;2554077.0;2875922.0;4350865.5;;;;6.92660679475e+12;1.17994611016e+13;;;
;UG;1962;p99.9p100;82574296.0;;140665168.0;;0.9966733456;0.996673286;141134672.0;;;0.0489106998;0.0489106998;82849912.0
;UG;1962;p99.99p100;172210864.0;;293360896.0;;1.0075228214;1.0075227022;291170496.0;;;0.0102022784;0.0102022784;170925040.0
;UG;1962;p99.95p99.99;85834144.0;;146218304.0;;;;183520992.0;;;0.0203372389;0.0203372389;107731840.0
;UG;1962;p99.9p99.95;62034600.0;;105675824.0;;;;141134672.0;;;0.0183711816;0.0183711816;82849912.0
;UG;1962;p99.9p99.99;72612704.0;;123695600.0;;;;141134672.0;;;0.0387084186;0.0387084186;82849912.0
;UG;1962;p99.75p100;57455072.0;;97874608.0;;;;;;;0.0850809887;0.0850809887;
;UG;1962;p99.95p100;103111544.0;;175650320.0;;0.9571130276;0.957112968;183520992.0;;;0.0305395164;0.0305395164;107731840.0
;UG;1961;p0p100;1716308.5;2596533.25;2703229.75;4089606.25;;;;6.84807212237e+12;1.07858886656e+13;;;
;UG;1961;p99.9p100;80371016.0;;126586400.0;;0.9898173809;0.9898174405;127888640.0;;;0.0468272343;0.0468272343;81197824.0
;UG;1961;p99.99p100;171207136.0;;269655616.0;;1.0372267962;1.0372267962;259977488.0;;;0.0099769672;0.0099769672;165062400.0
;UG;1961;p99.95p99.99;82177832.0;;129432184.0;;;;164623168.0;;;0.0191525519;0.0191525519;104520952.0
;UG;1961;p99.9p99.95;60753880.0;;95688912.0;;;;127888640.0;;;0.0176977143;0.0176977143;81197824.0
;UG;1961;p99.9p99.99;70276112.0;;110686664.0;;;;127888640.0;;;0.0368502662;0.0368502662;81197824.0
;UG;1961;p99.75p100;55993844.0;;88191736.0;;;;;;;0.0815613717;0.0815613717;
;UG;1961;p99.95p100;99985816.0;;157480208.0;;0.9566102624;0.9566102624;164623168.0;;;0.0291295201;0.0291295201;104520952.0
;UG;1960;p0p100;1805365.875;2731264.5;2850758.5;4312796.5;;;;7.00668759245e+12;1.10638923776e+13;;;
;UG;1960;p99.9p100;83684512.0;;132141824.0;;0.9979039431;0.9979040027;132419376.0;;;0.0463526212;0.0463526212;83860288.0
;UG;1960;p99.99p100;191276672.0;;302034944.0;;1.1094278097;1.1094278097;272243904.0;;;0.0105966562;0.0105966562;172410208.0
;UG;1960;p99.95p99.99;84170368.0;;132909008.0;;;;167757232.0;;;0.0186492484;0.0186492484;106239512.0
;UG;1960;p99.9p99.95;61772236.0;;97541296.0;;;;132419376.0;;;0.0171067156;0.0171067156;83860288.0
;UG;1960;p99.9p99.99;71727456.0;;113261056.0;;;;132419376.0;;;0.0357559621;0.0357559621;83860288.0
;UG;1960;p99.75p100;58285920.0;;92036240.0;;;;;;;0.0807119831;0.0807119831;
;UG;1960;p99.95p100;105594184.0;;166738224.0;;0.9939256907;0.9939257503;167757232.0;;;0.0292459056;0.0292459056;106239512.0
;UG;1959;p0p100;1848892.625;2797114.25;2791942.5;4223816.0;;;;6.98816397312e+12;1.05525605827e+13;;;
;UG;1959;p99.9p100;80301440.0;;121260160.0;;1.0236678123;1.0236679316;118456544.0;;;0.0434316248;0.0434316248;78444824.0
;UG;1959;p99.99p100;187863456.0;;283685472.0;;1.0822438002;1.0822438002;262127120.0;;;0.0101625491;0.0101625491;173586992.0
;UG;1959;p99.95p99.99;81128832.0;;122509568.0;;;;150463184.0;;;0.0175521728;0.0175521728;99640400.0
;UG;1959;p99.9p99.95;58121940.0;;87767736.0;;;;118456544.0;;;0.015716901;0.015716901;78444824.0
;UG;1959;p99.9p99.99;68347736.0;;103209320.0;;;;118456544.0;;;0.0332690738;0.0332690738;78444824.0
;UG;1959;p99.75p100;56254700.0;;84948080.0;;;;;;;0.0760653242;0.0760653242;
;UG;1959;p99.95p100;102478296.0;;154748592.0;;1.0284813643;1.0284814835;150463184.0;;;0.0277147219;0.0277147219;99640400.0
;UG;1958;p0p100;1852680.5;2802845.0;2716300.25;4109380.0;;;;6.82089408102e+12;1.00004265984e+13;;;
;UG;1958;p99.9p100;78673576.0;;115346952.0;;1.0193450451;1.0193450451;113157904.0;;;0.0424641818;0.0424641818;77180512.0
;UG;1958;p99.99p100;179697936.0;;263463424.0;;1.0847996473;1.0847995281;242868304.0;;;0.0097009577;0.0097009577;165650816.0
;UG;1958;p99.95p99.99;79558992.0;;116645104.0;;;;145787328.0;;;0.0171773471;0.0171773471;99435744.0
;UG;1958;p99.9p99.95;57755488.0;;84677984.0;;;;113157904.0;;;0.015585877;0.015585877;77180512.0
;UG;1958;p99.9p99.99;67446416.0;;98886296.0;;;;113157904.0;;;0.0327632241;0.0327632241;77180512.0
;UG;1958;p99.75p100;55206528.0;;80940840.0;;;;;;;0.074495405;0.074495405;
;UG;1958;p99.95p100;99589168.0;;146012272.0;;1.0015429258;1.0015429258;145787328.0;;;0.0268783048;0.0268783048;99435744.0
;UG;1957;p0p100;1938340.875;2932437.0;2760048.25;4175564.75;;;;6.95257582797e+12;9.89993317171e+12;;;
;UG;1957;p99.9p100;77702736.0;;110642720.0;;1.0330306292;1.0330306292;107104976.0;;;0.0400867239;0.0400867239;75218232.0
;UG;1957;p99.99p100;178876912.0;;254706960.0;;1.1150368452;1.1150368452;228429184.0;;;0.0092298836;0.0092298836;160422416.0
;UG;1957;p99.95p99.99;78671104.0;;112021600.0;;;;139521616.0;;;0.0162350051;0.0162350051;97983952.0
;UG;1957;p99.9p99.95;56688312.0;;80719792.0;;;;107104976.0;;;0.0146218352;0.0146218352;75218232.0
;UG;1957;p99.9p99.99;66458924.0;;94632400.0;;;;107104976.0;;;0.0308568403;0.0308568403;75218232.0
;UG;1957;p99.75p100;54043292.0;;76953496.0;;;;;;;0.069702968;0.069702968;
;UG;1957;p99.95p100;98714656.0;;140562080.0;;1.0074573755;1.0074573755;139521616.0;;;0.0254648887;0.0254648887;97983952.0
;UG;1956;p0p100;1794398.375;2714672.25;2695406.25;4077770.5;;;;6.27183714304e+12;9.42106738688e+12;;;
;UG;1956;p99.9p100;67886840.0;;101974352.0;;1.0302252769;1.0302252769;98982584.0;;;0.0378321595;0.0378321595;65895144.0
;UG;1956;p99.9p99.95;47972360.0;;72060368.0;;;;98982584.0;;;0.0133662857;0.0133662857;65895144.0
;UG;1956;p99.75p100;47018372.0;;70627352.0;;;;;;;0.0655070841;0.0655070841;
;UG;1956;p99.95p100;87798952.0;;131884784.0;;1.0001627207;1.0001627207;131863328.0;;;0.0244658738;0.0244658738;87784664.0
;UG;1955;p0p100;1789432.75;2707160.0;2596161.5;3927627.0;;;;6.09588923597e+12;8.84409473434e+12;;;
;UG;1955;p99.9p100;69880328.0;;101384424.0;;1.1140823364;1.1140824556;91002624.0;;;0.0390511602;0.0390511602;62724560.0
;UG;1955;p99.9p99.95;46869800.0;;68000080.0;;;;91002624.0;;;0.0130953239;0.0130953239;62724560.0
;UG;1955;p99.75p100;46790524.0;;67885064.0;;;;;;;0.0653705448;0.0653705448;
;UG;1955;p99.95p100;92888112.0;;134764784.0;;1.0929332972;1.0929332972;123305592.0;;;0.0259558372;0.0259558372;84989736.0
;UG;1954;p0p100;1385169.0;2095565.875;2492080.25;3770166.75;;;;4.62083273523e+12;8.31341513933e+12;;;
;UG;1954;p99.9p100;56567168.0;;101770912.0;;1.1295831203;1.1295832396;90095984.0;;;0.0408372097;0.0408372097;50077912.0
;UG;1954;p99.9p99.95;37777548.0;;67966200.0;;;;90095984.0;;;0.013635451;0.013635451;50077912.0
;UG;1954;p99.75p100;37385112.0;;67260160.0;;;;;;;0.0674738511;0.0674738511;
;UG;1954;p99.95p100;75354544.0;;135571600.0;;1.1231484413;1.1231484413;120706744.0;;;0.0272017587;0.0272017587;67092240.0
;UG;1953;p0p100;1068449.625;1616414.0;2600612.75;3934361.25;;;;3.49089772339e+12;8.49686560768e+12;;;
;UG;1953;p99.9p100;44389264.0;;108043728.0;;1.1993820667;1.1993819475;90082832.0;;;0.0415449552;0.0415449552;37010112.0
;UG;1953;p99.9p99.95;28458590.0;;69268376.0;;;;90082832.0;;;0.0133167384;0.0133167384;37010112.0
;UG;1953;p99.75p100;28622112.0;;69666392.0;;;;;;;0.0669710636;0.0669710636;
;UG;1953;p99.95p100;60318036.0;;146814448.0;;1.1979602575;1.1979602575;122553696.0;;;0.0282282159;0.0282282159;50350616.0
;UG;1952;p0p100;2043059.0;3090861.0;2552476.25;3861537.5;;;;6.53882084557e+12;8.16921287066e+12;;;
;UG;1952;p99.9p100;68205280.0;;85211616.0;;1.2252225876;1.2252224684;69547872.0;;;0.03338347;0.03338347;55667668.0
;UG;1952;p99.9p99.95;43625212.0;;54502744.0;;;;69547872.0;;;0.0106756706;0.0106756706;55667668.0
;UG;1952;p99.75p100;42672316.0;;53312252.0;;;;;;;0.0522161536;0.0522161536;
;UG;1952;p99.95p100;92782416.0;;115916824.0;;1.1871722937;1.1871724129;97641104.0;;;0.0227077994;0.0227077994;78154128.0
;UG;1951;p0p100;1866723.625;2824090.25;2457698.75;3718152.5;;;;5.85276063744e+12;7.70565210112e+12;;;
;UG;1951;p99.9p100;61915048.0;;81516376.0;;1.2619218826;1.2619217634;64597008.0;;;0.0331673399;0.0331673399;49064092.0
;UG;1951;p99.9p99.95;38209940.0;;50306604.0;;;;64597008.0;;;0.0102337515;0.0102337515;49064092.0
;UG;1951;p99.95p100;85617328.0;;112722424.0;;1.2398421764;1.2398421764;90916752.0;;;0.0229335856;0.0229335856;69055024.0
;UG;1950;p0p100;1592062.5;2408566.5;2641507.5;3996229.25;;;;4.89045308211e+12;8.11410862899e+12;;;
;UG;1950;p99.9p100;54565516.0;;90533640.0;;1.278398633;1.278398633;70818008.0;;;0.0342730321;0.0342730321;42682708.0
;UG;1950;p99.9p99.95;33984608.0;;56386352.0;;;;70818008.0;;;0.0106723644;0.0106723644;42682708.0
;UG;1950;p99.95p100;75143968.0;;124676864.0;;1.2128502131;1.2128500938;102796592.0;;;0.0236006677;0.0236006677;61956512.0
;UG;1949;p0p100;1409909.125;2132994.25;;;;;;4.29170517606e+12;;;;
;UG;1949;p99.9p100;47101652.0;;;;1.2475540638;;;;;0.033407148;0.033407148;37755200.0
;UG;1949;p99.99p100;125357032.0;;;;1.1214681864;;;;;0.0088926181;0.0088926181;111779400.0
;UG;1949;p99.9p99.95;29547296.0;;;;;;;;;0.0104776798;0.0104776798;37755200.0
;UG;1949;p99.9p99.99;38404880.0;;;;;;;;;0.0245145299;0.0245145299;37755200.0
